Country,Code,FourTypes_Mean,AnyType_Rate,BEING_Index_Mean,N_TYPES,N_BEING
Japan,JPN,0.06801440566778183,0.16189229488372803,-0.2866472100101455,6109,5914
South Korea,KOR,0.031804509460926056,0.09112782031297684,,6650,0
Philippines,PHL,0.3425964415073395,0.5524678826332092,1.2724548901545973,7233,6145
Thailand,THA,0.138393372297287,0.24603267014026642,0.14184626973604914,8633,8297
United Kingdom,GBR,0.10115429013967514,0.22014763951301575,0.22512031442917113,13818,12149
Finland,FIN,0.06629491597414017,0.14480438828468323,-0.03183952561291609,5649,5017
Germany,DEU,0.04058888182044029,0.09484498202800751,-0.014095144804088584,5451,2348
Poland,POL,0.11053333431482315,0.223822221159935,0.06868374825731925,5625,5021
Italy,ITA,0.08731438219547272,0.16385234892368317,-0.07409782859782861,11785,8658
United States,USA,0.0988011583685875,0.21909880638122559,0.15291235632183908,4838,4524
Canada,CAN,0.09472255408763885,0.20067982375621796,0.17009689691817212,22653,18820
Mexico,MEX,0.05726812034845352,0.11165913194417953,-0.015500156576200436,7299,3832
Brazil,BRA,0.08315405249595642,0.16022822260856628,0.1410588833281201,10691,6394
Israel,ISR,0.0,0.0,,6623,0
Jordan,JOR,0.1748298555612564,0.3011268675327301,0.25482436293436295,8963,7770
Morocco,MAR,0.0843484029173851,0.1626064032316208,0.3924410849453322,6814,2378
Singapore,SGP,0.10204463452100754,0.23292391002178192,0.2621820065944418,6676,6369
Kazakhstan,KAZ,0.11303634941577911,0.17834623157978058,0.08703578307801692,19507,15471
Australia,AUS,0.10314930230379105,0.20696419477462769,0.3501480151228733,14273,10580
New Zealand,NZL,0.11789243668317795,0.24072574079036713,0.39796270983213433,6173,5004
