Country,Code,BEINGBULLIED_Mean,FourTypes_Mean,N_BEING,N_TYPES
Philippines,PHL,1.2724548901545973,0.3425964415073395,7233,7233
New Zealand,NZL,0.3979627098321343,0.11789243668317795,6173,6173
Morocco,MAR,0.3924410849453322,0.0843484029173851,6814,6814
Australia,AUS,0.3501480151228733,0.10314930230379105,14273,14273
Singapore,SGP,0.2621820065944418,0.10204463452100754,6676,6676
Jordan,JOR,0.2548243629343629,0.1748298555612564,8963,8963
United Kingdom,GBR,0.22512031442917113,0.10115429013967514,13818,13818
Canada,CAN,0.17009689691817212,0.09472255408763885,22653,22653
United States,USA,0.15291235632183908,0.0988011583685875,4838,4838
Thailand,THA,0.14184626973604914,0.138393372297287,8633,8633
Brazil,BRA,0.1410588833281201,0.08315405249595642,10691,10691
Kazakhstan,KAZ,0.0870357830780169,0.11303634941577911,19507,19507
Poland,POL,0.06868374825731925,0.11053333431482315,5625,5625
Germany,DEU,-0.014095144804088583,0.04058888182044029,5451,5451
Mexico,MEX,-0.01550015657620043,0.05726812034845352,7299,7299
Finland,FIN,-0.0318395256129161,0.06629491597414017,5649,5649
Italy,ITA,-0.07409782859782861,0.08731438219547272,11785,11785
Japan,JPN,-0.2866472100101454,0.06801440566778183,6109,6109
South Korea,KOR,,0.031804509460926056,6650,6650
Israel,ISR,,0.0,6623,6623
