Type,Feature,Points
BULLY_PHYSICAL,BELONG,574
BULLY_PHYSICAL,EMOSUPS,530
BULLY_PHYSICAL,ST004D01T,496
BULLY_PHYSICAL,ST207Q02HA,372
BULLY_PHYSICAL,PV1READ,316
BULLY_PHYSICAL,ST207Q03HA,249
BULLY_PHYSICAL,ST207Q01HA,230
BULLY_PHYSICAL,PERCOMP,228
BULLY_PHYSICAL,PERCOOP,218
BULLY_PHYSICAL,DISCLIMA,184
BULLY_PHYSICAL,ST206Q01HA,182
BULLY_PHYSICAL,ST207Q04HA,178
BULLY_PHYSICAL,ST207Q05HA,155
BULLY_PHYSICAL,ST184Q01HA,44
BULLY_PHYSICAL,PV1MATH,38
BULLY_PHYSICAL,PV1SCIE,35
BULLY_PHYSICAL,GRADE,33
BULLY_PHYSICAL,SCREADDIFF,33
BULLY_PHYSICAL,ATTLNACT,30
BULLY_PHYSICAL,REPEAT,24
BULLY_PHYSICAL,GFOFAIL,13
BULLY_PHYSICAL,METASUM,10
BULLY_PHYSICAL,SCREADCOMP,8
BULLY_PHYSICAL,ST185Q01HA,7
BULLY_PHYSICAL,TEACHSUP,7
BULLY_PHYSICAL,EUDMO,6
BULLY_PHYSICAL,SWBP,6
BULLY_PHYSICAL,AGE,5
BULLY_PHYSICAL,DURECEC,4
BULLY_PHYSICAL,EDUSHORT,4
BULLY_PHYSICAL,BSMJ,3
BULLY_PHYSICAL,RATCMP2,3
BULLY_PHYSICAL,TEACHINT,2
BULLY_PHYSICAL,UNDREM,2
BULLY_PHYSICAL,WORKMAST,2
BULLY_PHYSICAL,COMPETE,1
BULLY_PHYSICAL,JOYREAD,1
BULLY_PHYSICAL,MASTGOAL,1
BULLY_PHYSICAL,METASPAM,1
BULLY_RELATIONAL,BELONG,712
BULLY_RELATIONAL,EMOSUPS,473
BULLY_RELATIONAL,PERCOMP,320
BULLY_RELATIONAL,ST207Q02HA,308
BULLY_RELATIONAL,ST207Q01HA,292
BULLY_RELATIONAL,PERCOOP,284
BULLY_RELATIONAL,ST206Q01HA,265
BULLY_RELATIONAL,ST207Q05HA,251
BULLY_RELATIONAL,DISCLIMA,181
BULLY_RELATIONAL,PV1READ,176
BULLY_RELATIONAL,ST004D01T,170
BULLY_RELATIONAL,ST207Q03HA,144
BULLY_RELATIONAL,ST207Q04HA,143
BULLY_RELATIONAL,SWBP,90
BULLY_RELATIONAL,PV1MATH,76
BULLY_RELATIONAL,GFOFAIL,73
BULLY_RELATIONAL,PV1SCIE,47
BULLY_RELATIONAL,GRADE,42
BULLY_RELATIONAL,SCREADDIFF,37
BULLY_RELATIONAL,ATTLNACT,32
BULLY_RELATIONAL,ST184Q01HA,32
BULLY_RELATIONAL,REPEAT,31
BULLY_RELATIONAL,ST185Q01HA,20
BULLY_RELATIONAL,WORKMAST,8
BULLY_RELATIONAL,SCREADCOMP,7
BULLY_RELATIONAL,ADAPTIVITY,6
BULLY_RELATIONAL,TEACHINT,5
BULLY_RELATIONAL,TEACHSUP,4
BULLY_RELATIONAL,METASUM,3
BULLY_RELATIONAL,UNDREM,2
BULLY_RELATIONAL,BSMJ,1
BULLY_THREAT,BELONG,622
BULLY_THREAT,ST004D01T,470
BULLY_THREAT,PV1READ,418
BULLY_THREAT,EMOSUPS,415
BULLY_THREAT,ST207Q02HA,300
BULLY_THREAT,PERCOMP,245
BULLY_THREAT,ST206Q01HA,228
BULLY_THREAT,ST207Q03HA,228
BULLY_THREAT,ST207Q01HA,177
BULLY_THREAT,PERCOOP,164
BULLY_THREAT,DISCLIMA,157
BULLY_THREAT,ST207Q05HA,147
BULLY_THREAT,ST207Q04HA,140
BULLY_THREAT,PV1SCIE,75
BULLY_THREAT,SCREADDIFF,67
BULLY_THREAT,ATTLNACT,62
BULLY_THREAT,PV1MATH,57
BULLY_THREAT,SWBP,44
BULLY_THREAT,ST184Q01HA,33
BULLY_THREAT,REPEAT,32
BULLY_THREAT,GFOFAIL,21
BULLY_THREAT,GRADE,21
BULLY_THREAT,ST185Q01HA,21
BULLY_THREAT,METASUM,14
BULLY_THREAT,UNDREM,14
BULLY_THREAT,METASPAM,10
BULLY_THREAT,EDUSHORT,9
BULLY_THREAT,TEACHSUP,8
BULLY_THREAT,WORKMAST,7
BULLY_THREAT,EUDMO,6
BULLY_THREAT,PERFEED,5
BULLY_THREAT,RATCMP2,5
BULLY_THREAT,MASTGOAL,4
BULLY_THREAT,COMPETE,3
BULLY_THREAT,TEACHINT,3
BULLY_THREAT,STIMREAD,2
BULLY_THREAT,RATCMP1,1
BULLY_VERBAL,BELONG,721
BULLY_VERBAL,PERCOMP,403
BULLY_VERBAL,ST004D01T,367
BULLY_VERBAL,ST207Q01HA,359
BULLY_VERBAL,EMOSUPS,318
BULLY_VERBAL,ST207Q02HA,307
BULLY_VERBAL,DISCLIMA,245
BULLY_VERBAL,PERCOOP,231
BULLY_VERBAL,ST207Q05HA,217
BULLY_VERBAL,ST206Q01HA,182
BULLY_VERBAL,ST207Q03HA,173
BULLY_VERBAL,GFOFAIL,171
BULLY_VERBAL,ST207Q04HA,127
BULLY_VERBAL,SWBP,91
BULLY_VERBAL,PV1READ,41
BULLY_VERBAL,ST185Q01HA,40
BULLY_VERBAL,GRADE,30
BULLY_VERBAL,COMPETE,23
BULLY_VERBAL,SCREADDIFF,23
BULLY_VERBAL,JOYREAD,20
BULLY_VERBAL,ATTLNACT,19
BULLY_VERBAL,REPEAT,18
BULLY_VERBAL,ST184Q01HA,18
BULLY_VERBAL,RATCMP2,11
BULLY_VERBAL,MASTGOAL,10
BULLY_VERBAL,METASUM,9
BULLY_VERBAL,RESILIENCE,9
BULLY_VERBAL,EDUSHORT,7
BULLY_VERBAL,PV1MATH,7
BULLY_VERBAL,PV1SCIE,6
BULLY_VERBAL,UNDREM,6
BULLY_VERBAL,SCREADCOMP,5
BULLY_VERBAL,WORKMAST,4
BULLY_VERBAL,BSMJ,3
BULLY_VERBAL,DURECEC,3
BULLY_VERBAL,EUDMO,3
BULLY_VERBAL,TEACHSUP,3
BULLY_VERBAL,AGE,2
BULLY_VERBAL,TEACHINT,2
BULLY_VERBAL,METASPAM,1
