Country,Type,Rank,Feature,Importance
ALB,BEINGBULLIED,1,BELONG,0.08472845
ALB,BEINGBULLIED,2,ST004D01T,0.052598685
ALB,BEINGBULLIED,3,ATTLNACT,0.037947655
ALB,BEINGBULLIED,4,PV1READ,0.03359132
ALB,BEINGBULLIED,5,GFOFAIL,0.031523034
ALB,BEINGBULLIED,6,JOYREAD,0.031401154
ALB,BEINGBULLIED,7,EMOSUPS,0.02859131
ALB,BEINGBULLIED,8,SCREADDIFF,0.02782912
ALB,BEINGBULLIED,9,ST207Q03HA,0.0271565
ALB,BEINGBULLIED,10,PV1MATH,0.026174266
ARE,BEINGBULLIED,1,ST004D01T,0.14885701
ARE,BEINGBULLIED,2,BELONG,0.10456405
ARE,BEINGBULLIED,3,ST207Q03HA,0.067843005
ARE,BEINGBULLIED,4,DISCLIMA,0.042730372
ARE,BEINGBULLIED,5,GFOFAIL,0.03836943
ARE,BEINGBULLIED,6,ST207Q04HA,0.03528149
ARE,BEINGBULLIED,7,ST207Q05HA,0.03331962
ARE,BEINGBULLIED,8,ST207Q01HA,0.032587405
ARE,BEINGBULLIED,9,PV1READ,0.031032464
ARE,BEINGBULLIED,10,EMOSUPS,0.022723662
ARG,BEINGBULLIED,1,BELONG,0.113222644
ARG,BEINGBULLIED,2,ST004D01T,0.036344495
ARG,BEINGBULLIED,3,PERCOMP,0.03607397
ARG,BEINGBULLIED,4,GFOFAIL,0.03558275
ARG,BEINGBULLIED,5,EMOSUPS,0.03502194
ARG,BEINGBULLIED,6,DISCLIMA,0.029564744
ARG,BEINGBULLIED,7,ST207Q01HA,0.028487498
ARG,BEINGBULLIED,8,SWBP,0.025208427
ARG,BEINGBULLIED,9,ST206Q01HA,0.022053825
ARG,BEINGBULLIED,10,TEACHSUP,0.02168569
AUS,BEINGBULLIED,1,BELONG,0.15693101
AUS,BEINGBULLIED,2,DISCLIMA,0.04484897
AUS,BEINGBULLIED,3,ST004D01T,0.044232354
AUS,BEINGBULLIED,4,GFOFAIL,0.032595556
AUS,BEINGBULLIED,5,PERCOMP,0.032041553
AUS,BEINGBULLIED,6,ST185Q01HA,0.031661883
AUS,BEINGBULLIED,7,ST207Q01HA,0.030909441
AUS,BEINGBULLIED,8,PERCOOP,0.029270072
AUS,BEINGBULLIED,9,EMOSUPS,0.026668767
AUS,BEINGBULLIED,10,PV1READ,0.022836415
AUT,BEINGBULLIED,1,BELONG,0.09496191
AUT,BEINGBULLIED,2,ST004D01T,0.041748326
AUT,BEINGBULLIED,3,PERCOOP,0.04141851
AUT,BEINGBULLIED,4,ST207Q02HA,0.03614381
AUT,BEINGBULLIED,5,EMOSUPS,0.030471219
AUT,BEINGBULLIED,6,DISCLIMA,0.029975936
AUT,BEINGBULLIED,7,SWBP,0.02732116
AUT,BEINGBULLIED,8,ST207Q04HA,0.02690812
AUT,BEINGBULLIED,9,SCREADCOMP,0.026110152
AUT,BEINGBULLIED,10,GFOFAIL,0.024755532
BEL,BEINGBULLIED,1,BELONG,0.10670879
BEL,BEINGBULLIED,2,EMOSUPS,0.03655781
BEL,BEINGBULLIED,3,ST207Q02HA,0.03546386
BEL,BEINGBULLIED,4,PERCOMP,0.03171976
BEL,BEINGBULLIED,5,GFOFAIL,0.031477366
BEL,BEINGBULLIED,6,ST207Q05HA,0.030856488
