Country,Type,Prevalence
ALB,BEINGBULLIED,-0.05421186641803697
ALB,BULLY_VERBAL,0.08256015096713319
ALB,BULLY_THREAT,0.07108035854694135
ALB,BULLY_PHYSICAL,0.10897939927661582
ALB,BULLY_RELATIONAL,0.10048749803428211
ARE,BEINGBULLIED,0.26866153891789274
ARE,BULLY_VERBAL,0.1739378534004254
ARE,BULLY_THREAT,0.11422939254033304
ARE,BULLY_PHYSICAL,0.16294029153913991
ARE,BULLY_RELATIONAL,0.15012709446490635
ARG,BEINGBULLIED,0.14057545688545686
ARG,BULLY_VERBAL,0.11014613778705637
ARG,BULLY_THREAT,0.05369519832985386
ARG,BULLY_PHYSICAL,0.10864300626304801
ARG,BULLY_RELATIONAL,0.09052192066805846
AUS,BEINGBULLIED,0.3501480151228733
AUS,BULLY_VERBAL,0.15820079871085266
AUS,BULLY_THREAT,0.07041266727387374
AUS,BULLY_PHYSICAL,0.08904925383591396
AUS,BULLY_RELATIONAL,0.09493449169761087
AUT,BEINGBULLIED,-0.02668921122487676
AUT,BULLY_VERBAL,0.11231990591002647
AUT,BULLY_THREAT,0.04278153484269333
AUT,BULLY_PHYSICAL,0.08350485151426051
AUT,BULLY_RELATIONAL,0.08438694501617171
BEL,BEINGBULLIED,-0.11492093993325919
BEL,BULLY_VERBAL,0.09345132743362831
BEL,BULLY_THREAT,0.02654867256637168
BEL,BULLY_PHYSICAL,0.04825958702064897
BEL,BULLY_RELATIONAL,0.07091445427728614
BGR,BEINGBULLIED,0.19210612300189647
BGR,BULLY_VERBAL,0.12353607857952399
BGR,BULLY_THREAT,0.11371363808084624
BGR,BULLY_PHYSICAL,0.1752927842840952
BGR,BULLY_RELATIONAL,0.14336985266339253
BIH,BEINGBULLIED,-0.0607486384976526
BIH,BULLY_VERBAL,0.10108024691358025
BIH,BULLY_THREAT,0.1007716049382716
BIH,BULLY_PHYSICAL,0.11712962962962963
BIH,BULLY_RELATIONAL,0.12854938271604938
BLR,BEINGBULLIED,-0.16276016550686478
BLR,BULLY_VERBAL,0.09960365328278477
BLR,BULLY_THREAT,0.049801826641392384
BLR,BULLY_PHYSICAL,0.0727210063760124
BLR,BULLY_RELATIONAL,0.08788557642598656
BRA,BEINGBULLIED,0.1410588833281201
BRA,BULLY_VERBAL,0.09952296324010851
BRA,BULLY_THREAT,0.058834533719951364
BRA,BULLY_PHYSICAL,0.08708259283509494
BRA,BULLY_RELATIONAL,0.0871761294546815
BRN,BEINGBULLIED,0.8224645353793691
BRN,BULLY_VERBAL,0.27094317516110134
BRN,BULLY_THREAT,0.1369361452841242
BRN,BULLY_PHYSICAL,0.13796133567662566
BRN,BULLY_RELATIONAL,0.11906854130052724
CAN,BEINGBULLIED,0.17009689691817212
CAN,BULLY_VERBAL,0.14753012845980665
CAN,BULLY_THREAT,0.058535293338630646
CAN,BULLY_PHYSICAL,0.08219661854941951
CAN,BULLY_RELATIONAL,0.09062817286893568
CHE,BEINGBULLIED,0.008005776275007035
CHE,BULLY_VERBAL,0.07935417382342838
CHE,BULLY_THREAT,0.04397114393679148
CHE,BULLY_PHYSICAL,0.07265544486430779
CHE,BULLY_RELATIONAL,0.07402954311233254
CHL,BEINGBULLIED,-0.005175417085427146
CHL,BULLY_VERBAL,0.0873901062852644
CHL,BULLY_THREAT,0.03792153260726939
CHL,BULLY_PHYSICAL,0.06311507676157985
CHL,BULLY_RELATIONAL,0.07807374360320168
COL,BEINGBULLIED,0.1624214368706429
COL,BULLY_VERBAL,0.1219090667375698
COL,BULLY_THREAT,0.06793406009040148
COL,BULLY_PHYSICAL,0.10542408933794203
COL,BULLY_RELATIONAL,0.12230789683594788
CRI,BEINGBULLIED,-0.024819064459090195
CRI,BULLY_VERBAL,0.11120343442736463
CRI,BULLY_THREAT,0.06785763744633708
CRI,BULLY_PHYSICAL,0.06204126852236532
CRI,BULLY_RELATIONAL,0.13142224068688546
CZE,BEINGBULLIED,-0.01304035859820702
CZE,BULLY_VERBAL,0.113263997720473
CZE,BULLY_THREAT,0.05470864795554922
CZE,BULLY_PHYSICAL,0.11654081778031058
CZE,BULLY_RELATIONAL,0.11782305171676877
DEU,BEINGBULLIED,-0.014095144804088584
DEU,BULLY_VERBAL,0.057971014492753624
DEU,BULLY_THREAT,0.022564667033571822
DEU,BULLY_PHYSICAL,0.03870849385433865
DEU,BULLY_RELATIONAL,0.043111355714547786
DNK,BEINGBULLIED,0.03269111295681063
DNK,BULLY_VERBAL,0.10839754473031213
DNK,BULLY_THREAT,0.027556484262766096
DNK,BULLY_PHYSICAL,0.07339689173305472
DNK,BULLY_RELATIONAL,0.06125114274520047
DOM,BEINGBULLIED,0.5176022190408017
DOM,BULLY_VERBAL,0.06750088121254846
DOM,BULLY_THREAT,0.05868875572788156
DOM,BULLY_PHYSICAL,0.08054282692985548
DOM,BULLY_RELATIONAL,0.07648924920690871
ESP,BEINGBULLIED,-0.23716659466706394
ESP,BULLY_VERBAL,0.06360070111009097
ESP,BULLY_THREAT,0.03191163787107364
ESP,BULLY_PHYSICAL,0.05987257602314776
ESP,BULLY_RELATIONAL,0.06003950699719
EST,BEINGBULLIED,0.08477418410041841
EST,BULLY_VERBAL,0.15763732129420616
EST,BULLY_THREAT,0.05398796087283672
EST,BULLY_PHYSICAL,0.0863431151241535
EST,BULLY_RELATIONAL,0.08276899924755456
FIN,BEINGBULLIED,-0.03183952561291609
FIN,BULLY_VERBAL,0.10585944414940697
FIN,BULLY_THREAT,0.03717472118959108
FIN,BULLY_PHYSICAL,0.05682421667551779
FIN,BULLY_RELATIONAL,0.06532129580456718
FRA,BEINGBULLIED,-0.05321974861525352
