Country,Type,AUC,Rank,Feature,Importance
ALB,BULLY_VERBAL,0.9688584161810079,1,BELONG,0.06474256
ALB,BULLY_VERBAL,0.9688584161810079,2,ST004D01T,0.04761529
ALB,BULLY_VERBAL,0.9688584161810079,3,ATTLNACT,0.043325327
ALB,BULLY_VERBAL,0.9688584161810079,4,JOYREAD,0.031194035
ALB,BULLY_VERBAL,0.9688584161810079,5,ST207Q03HA,0.030450696
ALB,BULLY_VERBAL,0.9688584161810079,6,ST206Q01HA,0.029760137
ALB,BULLY_VERBAL,0.9688584161810079,7,ST207Q01HA,0.027806815
ALB,BULLY_VERBAL,0.9688584161810079,8,ST207Q04HA,0.027366638
ALB,BULLY_VERBAL,0.9688584161810079,9,PV1MATH,0.026894977
ALB,BULLY_VERBAL,0.9688584161810079,10,GFOFAIL,0.026588108
ALB,BULLY_THREAT,0.9789102025345662,1,BELONG,0.08161209
ALB,BULLY_THREAT,0.9789102025345662,2,ST207Q02HA,0.058554772
ALB,BULLY_THREAT,0.9789102025345662,3,ST004D01T,0.05198828
ALB,BULLY_THREAT,0.9789102025345662,4,SCREADDIFF,0.03619367
ALB,BULLY_THREAT,0.9789102025345662,5,PV1MATH,0.030429611
ALB,BULLY_THREAT,0.9789102025345662,6,PV1READ,0.029209359
ALB,BULLY_THREAT,0.9789102025345662,7,EMOSUPS,0.028004637
ALB,BULLY_THREAT,0.9789102025345662,8,ATTLNACT,0.027544763
ALB,BULLY_THREAT,0.9789102025345662,9,GFOFAIL,0.026768422
ALB,BULLY_THREAT,0.9789102025345662,10,ST206Q01HA,0.024991747
ALB,BULLY_PHYSICAL,0.9598180381801984,1,BELONG,0.088955745
ALB,BULLY_PHYSICAL,0.9598180381801984,2,EMOSUPS,0.052865747
ALB,BULLY_PHYSICAL,0.9598180381801984,3,ST207Q02HA,0.0446193
ALB,BULLY_PHYSICAL,0.9598180381801984,4,ATTLNACT,0.039585073
ALB,BULLY_PHYSICAL,0.9598180381801984,5,ST004D01T,0.0335099
ALB,BULLY_PHYSICAL,0.9598180381801984,6,PV1MATH,0.031657252
ALB,BULLY_PHYSICAL,0.9598180381801984,7,ST207Q04HA,0.029206006
ALB,BULLY_PHYSICAL,0.9598180381801984,8,SCREADDIFF,0.027926682
ALB,BULLY_PHYSICAL,0.9598180381801984,9,ST207Q05HA,0.027898371
ALB,BULLY_PHYSICAL,0.9598180381801984,10,GFOFAIL,0.02753728
ALB,BULLY_RELATIONAL,0.9614369589721703,1,BELONG,0.08664442
ALB,BULLY_RELATIONAL,0.9614369589721703,2,EMOSUPS,0.043286763
ALB,BULLY_RELATIONAL,0.9614369589721703,3,ATTLNACT,0.038702007
ALB,BULLY_RELATIONAL,0.9614369589721703,4,ST207Q02HA,0.035017524
ALB,BULLY_RELATIONAL,0.9614369589721703,5,PV1MATH,0.030989012
ALB,BULLY_RELATIONAL,0.9614369589721703,6,GFOFAIL,0.030852852
ALB,BULLY_RELATIONAL,0.9614369589721703,7,ST004D01T,0.02913676
ALB,BULLY_RELATIONAL,0.9614369589721703,8,SCREADDIFF,0.02767086
ALB,BULLY_RELATIONAL,0.9614369589721703,9,PERCOOP,0.025440572
ALB,BULLY_RELATIONAL,0.9614369589721703,10,ST206Q01HA,0.025395269
ARE,BULLY_VERBAL,0.8616140374653148,1,ST004D01T,0.082951754
ARE,BULLY_VERBAL,0.8616140374653148,2,BELONG,0.07097361
ARE,BULLY_VERBAL,0.8616140374653148,3,ST207Q01HA,0.05665445
ARE,BULLY_VERBAL,0.8616140374653148,4,ST207Q03HA,0.041993774
ARE,BULLY_VERBAL,0.8616140374653148,5,DISCLIMA,0.036749434
ARE,BULLY_VERBAL,0.8616140374653148,6,ST207Q05HA,0.036437932
ARE,BULLY_VERBAL,0.8616140374653148,7,ST207Q02HA,0.035994098
ARE,BULLY_VERBAL,0.8616140374653148,8,GFOFAIL,0.034058288
ARE,BULLY_VERBAL,0.8616140374653148,9,ST207Q04HA,0.030781591
ARE,BULLY_VERBAL,0.8616140374653148,10,PERCOOP,0.027476469
ARE,BULLY_THREAT,0.9075309282257711,1,ST004D01T,0.083999924
ARE,BULLY_THREAT,0.9075309282257711,2,BELONG,0.0833037
ARE,BULLY_THREAT,0.9075309282257711,3,SCREADDIFF,0.05187593
ARE,BULLY_THREAT,0.9075309282257711,4,PV1READ,0.048663124
ARE,BULLY_THREAT,0.9075309282257711,5,ST207Q03HA,0.039819017
ARE,BULLY_THREAT,0.9075309282257711,6,ST207Q04HA,0.03444765
ARE,BULLY_THREAT,0.9075309282257711,7,ST206Q01HA,0.034065753
ARE,BULLY_THREAT,0.9075309282257711,8,DISCLIMA,0.02827461
ARE,BULLY_THREAT,0.9075309282257711,9,EMOSUPS,0.026248986
ARE,BULLY_THREAT,0.9075309282257711,10,ST207Q05HA,0.026246771
ARE,BULLY_PHYSICAL,0.8935330927169993,1,ST004D01T,0.097776815
ARE,BULLY_PHYSICAL,0.8935330927169993,2,BELONG,0.088991225
ARE,BULLY_PHYSICAL,0.8935330927169993,3,PV1READ,0.055561677
ARE,BULLY_PHYSICAL,0.8935330927169993,4,ST207Q04HA,0.04001811
ARE,BULLY_PHYSICAL,0.8935330927169993,5,SCREADDIFF,0.038616534
ARE,BULLY_PHYSICAL,0.8935330927169993,6,EMOSUPS,0.036353048
