,SumNormImportance
BELONG,2.453305061906576
ST004D01T,1.6225081775337458
EMOSUPS,1.0612565260380507
DISCLIMA,0.9490289390087128
ST207Q03HA,0.9297446180135012
ST207Q04HA,0.86287821829319
PV1READ,0.8481773026287556
PERCOMP,0.8433675263077021
ST207Q02HA,0.8161857454106212
ST207Q01HA,0.7633088678121567
GFOFAIL,0.7549088932573795
PERCOOP,0.7538329567760229
ST207Q05HA,0.7248808369040489
ST206Q01HA,0.7153993137180805
SCREADDIFF,0.6095840726047754
SWBP,0.6027480103075504
ATTLNACT,0.5707056950777769
TEACHSUP,0.5682885833084583
PV1SCIE,0.5474848533049226
PERFEED,0.5360844470560551
ST184Q01HA,0.5262191686779261
WORKMAST,0.5259059611707926
PV1MATH,0.525722224265337
DIRINS,0.522995250299573
MASTGOAL,0.5215413412079215
UNDREM,0.5186136234551668
JOYREAD,0.516934902407229
TEACHINT,0.5159677285701036
GRADE,0.5130292717367411
ST185Q01HA,0.5119156073778868
STIMREAD,0.5093241492286325
RESILIENCE,0.5019138501957059
RATCMP1,0.5010760091245174
EUDMO,0.49865972623229027
SCREADCOMP,0.49850040674209595
BSMJ,0.4971266156062484
METASUM,0.49707102682441473
COMPETE,0.4955772077664733
EDUSHORT,0.49533844366669655
ADAPTIVITY,0.48843496665358543
RATCMP2,0.476015979424119
DURECEC,0.4680349687114358
METASPAM,0.46740269660949707
AGE,0.459162431769073
REPEAT,0.41383791249245405
