,SumNormImportance
EMOSUPS,2.142902798950672
BELONG,2.0624415278434753
ST004D01T,2.020514314994216
ST207Q02HA,1.711041733622551
ST207Q01HA,1.572309399023652
ST207Q03HA,1.5172094414010644
PV1READ,1.4142266381531954
ST206Q01HA,1.29238788690418
PERCOOP,1.281138801947236
PERCOMP,1.2605697866529226
ST207Q04HA,1.1925585325807333
ST207Q05HA,1.1862673833966255
DISCLIMA,1.0723731266334653
ATTLNACT,0.868131123483181
PV1SCIE,0.8570041917264462
SCREADDIFF,0.8098349059000611
GFOFAIL,0.8039796343073249
ST184Q01HA,0.7579717570915818
PV1MATH,0.7570000449195504
RESILIENCE,0.749673729762435
WORKMAST,0.7356204092502594
METASUM,0.7249389728531241
UNDREM,0.723305206745863
JOYREAD,0.7218089122325182
SWBP,0.7124061109498143
PERFEED,0.695857796818018
MASTGOAL,0.6957522379234433
DURECEC,0.6952746761962771
RATCMP1,0.691231669858098
METASPAM,0.6878130761906505
BSMJ,0.6860798662528396
COMPETE,0.6819931082427502
SCREADCOMP,0.6808734433725476
TEACHINT,0.6803982369601727
STIMREAD,0.6729936888441443
ADAPTIVITY,0.6699432451277971
EUDMO,0.6682689962908626
TEACHSUP,0.6546787517145276
AGE,0.6482286704704165
DIRINS,0.646964474581182
EDUSHORT,0.645237241871655
ST185Q01HA,0.5988957453519106
REPEAT,0.562887120526284
GRADE,0.5568562326952815
RATCMP2,0.5321559738367796
