,SumNormImportance
BELONG,2.4352911356836557
ST004D01T,1.9597914777696133
PV1READ,1.845087930560112
EMOSUPS,1.7546294424682856
ST207Q02HA,1.4573435941711068
PERCOMP,1.3743440974503756
ST207Q03HA,1.3519669277593493
ST206Q01HA,1.2815589290112257
ST207Q05HA,1.2232645591720939
PERCOOP,1.2056600116193295
ST207Q01HA,1.159707199782133
DISCLIMA,1.1284370115026832
ST207Q04HA,1.1063395896926522
PV1SCIE,1.0104116974398494
SCREADDIFF,0.9640744794160128
ATTLNACT,0.9081051498651505
PV1MATH,0.9027690710499883
ST184Q01HA,0.8837561337277293
METASUM,0.8753777807578444
METASPAM,0.8350136447697878
UNDREM,0.8213732894510031
GFOFAIL,0.8169524697586894
WORKMAST,0.816657523624599
SWBP,0.8048433559015393
RESILIENCE,0.7995329098775983
PERFEED,0.7947615571320057
TEACHSUP,0.7894663065671921
MASTGOAL,0.7859542826190591
COMPETE,0.7796056112274528
JOYREAD,0.7726404871791601
TEACHINT,0.7628040509298444
BSMJ,0.7624128628522158
ADAPTIVITY,0.7480528093874454
RATCMP1,0.7457361714914441
DIRINS,0.7413303954526782
STIMREAD,0.7396359350532293
EDUSHORT,0.7242963640019298
SCREADCOMP,0.7237323494628072
EUDMO,0.7210928611457348
ST185Q01HA,0.7007024437189102
AGE,0.6992196161299944
DURECEC,0.67543825507164
REPEAT,0.576452970970422
GRADE,0.5745913800783455
RATCMP2,0.459784965030849
