,SumNormImportance
BELONG,2.243177231401205
ST004D01T,1.077892016619444
PERCOMP,1.068372953683138
ST207Q01HA,1.0310628646984696
ST207Q02HA,0.9825077410787344
EMOSUPS,0.958793930709362
PERCOOP,0.9066672101616859
ST207Q05HA,0.8543383730575442
DISCLIMA,0.8281240928918123
ST207Q03HA,0.8092349739745259
ST206Q01HA,0.7875476963818073
GFOFAIL,0.7627088585868478
ST207Q04HA,0.7006671065464616
SWBP,0.6468170089647174
PV1READ,0.6194878779351711
ST185Q01HA,0.6076693618670106
SCREADDIFF,0.5805598311126232
ST184Q01HA,0.5801212135702372
PV1MATH,0.56088887155056
GRADE,0.5608810419216752
EUDMO,0.5581534830853343
PV1SCIE,0.5580255230888724
RESILIENCE,0.553643461316824
COMPETE,0.5508097345009446
METASUM,0.5471545718610287
MASTGOAL,0.5406098514795303
ATTLNACT,0.5363354412838817
WORKMAST,0.5275514423847198
PERFEED,0.5254998803138733
TEACHINT,0.5207337308675051
BSMJ,0.5196455176919699
EDUSHORT,0.514550369232893
TEACHSUP,0.5127520700916648
JOYREAD,0.5113530792295933
UNDREM,0.5089802807196975
RATCMP1,0.5081348726525903
AGE,0.5041631469503045
DIRINS,0.5012016491964459
ADAPTIVITY,0.5011824779212475
SCREADCOMP,0.49743810296058655
STIMREAD,0.4968402683734894
METASPAM,0.4923046035692096
DURECEC,0.4678131425753236
REPEAT,0.46183451265096664
RATCMP2,0.41576895443722606
