,AggregateScore
BELONG,2.852061402052641
ST004D01T,1.702963313087821
DISCLIMA,1.0931641478091478
EMOSUPS,1.0113919358700514
PV1READ,0.9848982524126768
ST207Q03HA,0.9367631347849965
ST207Q02HA,0.917859572917223
GFOFAIL,0.9026483912020922
ST207Q01HA,0.8921055095270276
PERCOMP,0.8679259046912193
ST207Q04HA,0.8273437451571226
ST207Q05HA,0.7923331735655665
PERCOOP,0.7622903883457184
SCREADDIFF,0.7550119403749704
SWBP,0.7093842960894108
ST206Q01HA,0.6907692532986403
PV1MATH,0.6788450386375189
ATTLNACT,0.6747654872015119
PV1SCIE,0.638335207477212
RESILIENCE,0.613400025293231
COMPETE,0.5979081830009818
MASTGOAL,0.5926238922402263
JOYREAD,0.589798167347908
GRADE,0.588314694352448
ST184Q01HA,0.5848696669563651
REPEAT,0.5821759225800633
ADAPTIVITY,0.5762072978541255
SCREADCOMP,0.5720453355461359
TEACHINT,0.5676220059394836
BSMJ,0.5593695696443319
TEACHSUP,0.5556018874049187
WORKMAST,0.5462049245834351
RATCMP1,0.5453817788511515
PERFEED,0.5444554826244712
STIMREAD,0.5370357148349285
EDUSHORT,0.5362144913524389
METASPAM,0.536161064170301
DIRINS,0.5342879630625248
METASUM,0.529811954125762
AGE,0.5232834238559008
UNDREM,0.5194582622498274
EUDMO,0.5065223416313529
RATCMP2,0.49694056622684
ST185Q01HA,0.48943134769797325
DURECEC,0.4840142223984003
