,AggregateScore
EMOSUPS,1.8345524836331606
BELONG,1.7565303537994623
ST004D01T,1.5877818074077368
ST207Q02HA,1.4322206247597933
PV1READ,1.255966516211629
PERCOOP,1.1891395691782236
ST207Q01HA,1.1843633595854044
ST207Q03HA,1.1478838231414557
PERCOMP,1.1438756510615349
DISCLIMA,0.9738521967083216
ST206Q01HA,0.9545186506584287
ST207Q04HA,0.9501466145738959
ST207Q05HA,0.9168599508702755
SCREADDIFF,0.7050082590430975
PV1MATH,0.6953760730102658
ST184Q01HA,0.6787217417731881
PV1SCIE,0.6653034659102559
GRADE,0.6577541250735521
ATTLNACT,0.6575121451169252
GFOFAIL,0.6470134928822517
METASUM,0.6396960327401757
WORKMAST,0.6210919339209795
TEACHINT,0.6111533679068089
BSMJ,0.6019278736785054
TEACHSUP,0.5913648130372167
PERFEED,0.5870133005082607
MASTGOAL,0.5863632103428245
JOYREAD,0.5807252721861005
UNDREM,0.5756739359349012
EDUSHORT,0.5685248766094446
COMPETE,0.5666742296889424
DIRINS,0.5647383583709598
ADAPTIVITY,0.5617918698117137
METASPAM,0.5615678997710347
RATCMP1,0.5587683022022247
RESILIENCE,0.558451215736568
STIMREAD,0.5541299767792225
AGE,0.5461468966677785
EUDMO,0.5432932246476412
ST185Q01HA,0.5425188029184937
SCREADCOMP,0.5413554208353162
DURECEC,0.5117349838837981
REPEAT,0.5003077937290072
SWBP,0.4878904251381755
RATCMP2,0.4027155917137861
