,AggregateScore
BELONG,1.7883814070373774
ST206Q01HA,1.1642950670793653
EMOSUPS,1.0664443653076887
PERCOMP,1.0022443123161793
PERCOOP,0.8791976477950811
ST207Q01HA,0.8642359562218189
ST207Q02HA,0.8404435943812132
ST207Q05HA,0.7206513192504644
ST207Q04HA,0.6976571902632713
PV1READ,0.6957095852121711
ST207Q03HA,0.6862482521682978
DISCLIMA,0.6647503869608045
GFOFAIL,0.6458879718557
PV1MATH,0.6438253372907639
PV1SCIE,0.5840296000242233
SWBP,0.5540243964642286
RESILIENCE,0.5103608733043075
ST184Q01HA,0.4997466867789626
TEACHINT,0.497239843942225
SCREADDIFF,0.4894043570384383
ST004D01T,0.4880703054368496
BSMJ,0.4879700681194663
ATTLNACT,0.4857008857652545
DURECEC,0.484837519004941
COMPETE,0.4838934615254402
REPEAT,0.4812265783548355
DIRINS,0.4788860846310854
MASTGOAL,0.4758643163368106
SCREADCOMP,0.474621519446373
METASUM,0.47244640346616507
TEACHSUP,0.47158041689544916
ADAPTIVITY,0.47120956145226955
STIMREAD,0.4698038473725319
PERFEED,0.46688672713935375
METASPAM,0.46619246900081635
RATCMP1,0.4653146294876933
JOYREAD,0.4650338254868984
ST185Q01HA,0.46314863953739405
EDUSHORT,0.4582629632204771
AGE,0.45304717123508453
UNDREM,0.45200330298393965
GRADE,0.4498523520305753
EUDMO,0.4475074838846922
WORKMAST,0.430779249407351
RATCMP2,0.2610821146517992
