,AggregateScore
BELONG,3.0988591462373734
PERCOMP,1.7400676999241114
ST004D01T,1.6691043740138412
PERCOOP,1.6174610909074545
EMOSUPS,1.5040991809219122
ST207Q01HA,1.4337656609714031
ST207Q02HA,1.3978229444473982
ST206Q01HA,1.3321771686896682
ST207Q05HA,1.331086470745504
DISCLIMA,1.2933084154501557
ST207Q04HA,1.2292342446744442
GFOFAIL,1.2099532913416624
ST207Q03HA,1.1991910124197602
PV1READ,1.018495132215321
ATTLNACT,0.943708217702806
SCREADDIFF,0.9421992544084787
METASUM,0.9115060782060027
JOYREAD,0.897265930660069
UNDREM,0.8931544627994299
PV1MATH,0.8879385944455862
SWBP,0.8843617653474212
MASTGOAL,0.8821027362719178
PV1SCIE,0.8807554161176085
COMPETE,0.8800494531169534
DURECEC,0.8702153600752354
WORKMAST,0.8637361032888293
ST184Q01HA,0.8623141115531325
STIMREAD,0.8567579388618469
RATCMP1,0.8550866544246674
BSMJ,0.8547749808058143
SCREADCOMP,0.8531436789780855
TEACHINT,0.8515904452651739
RESILIENCE,0.8501651799306273
METASPAM,0.8419620953500271
EDUSHORT,0.840331100858748
ADAPTIVITY,0.8395584654062986
PERFEED,0.8226505452767015
DIRINS,0.8207279555499554
TEACHSUP,0.8120449734851718
AGE,0.8011439144611359
EUDMO,0.7992087109014392
ST185Q01HA,0.751054335385561
RATCMP2,0.7150049526244402
GRADE,0.6306057339534163
REPEAT,0.5302556296810508
