Country,Cluster,IsMedoid
ALB,0,False
ARE,0,True
ARG,1,False
AUS,0,False
AUT,1,False
BEL,1,False
BGR,0,False
BIH,0,False
BLR,0,False
BRA,0,False
BRN,0,False
CAN,0,False
CHE,1,False
CHL,0,False
COL,0,False
CRI,1,False
CZE,1,False
DEU,1,False
DNK,1,False
DOM,0,False
ESP,1,True
EST,0,False
FIN,0,False
FRA,1,False
GBR,0,False
GEO,0,False
GRC,0,False
HKG,0,False
HRV,1,False
HUN,0,False
IDN,0,False
IRL,1,False
ISL,0,False
ITA,0,False
JOR,0,False
JPN,0,False
KAZ,0,False
KOR,1,False
KSV,0,False
LTU,0,False
LUX,1,False
LVA,1,False
MAC,0,False
MAR,1,False
MDA,0,False
MEX,0,False
MLT,0,False
MNE,0,False
MYS,0,False
NLD,1,False
NOR,0,False
NZL,1,False
PAN,1,False
PER,0,False
PHL,1,False
POL,1,False
PRT,1,False
QAT,0,False
QAZ,0,False
QCI,0,False
QMR,0,False
QRT,0,False
ROU,0,False
RUS,0,False
SAU,0,False
SGP,0,False
SRB,0,False
SVK,1,False
SVN,0,False
SWE,1,False
TAP,1,False
THA,0,False
TUR,0,False
UKR,1,False
URY,0,False
USA,1,False
VNM,0,False
