Country,Cluster,IsMedoid
ALB,1,False
ARE,0,False
ARG,0,False
AUS,1,False
AUT,1,False
BEL,0,False
BGR,0,False
BIH,1,False
BLR,0,False
BRA,1,False
BRN,0,False
CAN,1,False
CHE,1,False
CHL,1,False
COL,0,False
CRI,1,False
CZE,0,False
DEU,0,False
DNK,0,False
DOM,1,False
ESP,1,False
EST,1,False
FIN,0,False
FRA,1,False
GBR,0,False
GEO,0,False
GRC,0,False
HKG,0,False
HRV,0,False
HUN,0,False
IDN,0,False
IRL,0,False
ISL,1,False
ITA,1,False
JOR,0,False
JPN,0,False
KAZ,0,False
KOR,0,False
KSV,1,False
LTU,0,False
LUX,1,False
LVA,1,False
MAC,1,False
MAR,1,False
MDA,1,False
MEX,0,False
MLT,1,False
MNE,1,False
MYS,0,False
NLD,0,False
NOR,0,False
NZL,1,False
PAN,1,False
PER,0,False
PHL,0,False
POL,0,False
PRT,0,False
QAT,0,False
QAZ,0,False
QCI,0,False
QMR,1,False
QRT,0,True
ROU,0,False
RUS,0,False
SAU,1,False
SGP,0,False
SRB,1,True
SVK,0,False
SVN,0,False
SWE,0,False
TAP,1,False
THA,0,False
TUR,0,False
UKR,1,False
URY,1,False
USA,1,False
VNM,1,False
