,AggregateScore
BELONG,1.3793415576219559
ST004D01T,0.5457154884934425
DISCLIMA,0.44752628915011883
GFOFAIL,0.4071023538708687
SWBP,0.3742299173027277
REPEAT,0.3482850482687354
EMOSUPS,0.34749503061175346
PERCOMP,0.3418425992131233
ST207Q01HA,0.33216543681919575
ST206Q01HA,0.31318267062306404
PERCOOP,0.2986221741884947
ST207Q05HA,0.29752063006162643
ST207Q04HA,0.2941415188834071
ST207Q02HA,0.28803515806794167
PV1READ,0.2808225154876709
ST185Q01HA,0.27296875230968
EUDMO,0.2686166623607278
ST207Q03HA,0.2590529518201947
RESILIENCE,0.24913992546498775
SCREADDIFF,0.24707166943699121
PV1MATH,0.24484065733850002
TEACHSUP,0.24474617652595043
PV1SCIE,0.23975006770342588
ST184Q01HA,0.23868455551564693
COMPETE,0.23554245475679636
WORKMAST,0.2306585991755128
METASUM,0.22661740891635418
ATTLNACT,0.2256513638421893
TEACHINT,0.22461933176964521
SCREADCOMP,0.22114128060638905
STIMREAD,0.21839851792901754
DIRINS,0.21770028676837683
PERFEED,0.21764393337070942
JOYREAD,0.21691596787422895
MASTGOAL,0.21614885423332453
BSMJ,0.21575009264051914
METASPAM,0.2145262509584427
UNDREM,0.21035046596080065
RATCMP1,0.20917093381285667
EDUSHORT,0.20376149751245975
DURECEC,0.20098348334431648
ADAPTIVITY,0.20050609670579433
GRADE,0.198561011813581
AGE,0.1952619981020689
RATCMP2,0.1391904829069972
