,AggregateScore
BELONG,3.4182881116867065
EMOSUPS,2.0470097567886114
PERCOOP,1.6633119396865368
PERCOMP,1.6047211792320013
ST207Q02HA,1.5713140722364187
ST207Q05HA,1.5482246670871973
ST207Q01HA,1.517126977443695
ST206Q01HA,1.4622322777286172
ST004D01T,1.4554489217698574
PV1READ,1.4077291209250689
ST207Q03HA,1.3544834274798632
DISCLIMA,1.3509538266807795
ST207Q04HA,1.3024495653808117
GFOFAIL,1.0731554292142391
SCREADDIFF,1.0663913916796446
ATTLNACT,1.0642303358763456
PV1MATH,1.0357280317693949
PV1SCIE,1.0315938647836447
SWBP,1.0291848788037896
ST184Q01HA,1.0010502394288778
WORKMAST,0.9499702854081988
METASUM,0.911593179218471
MASTGOAL,0.903595982119441
JOYREAD,0.9026825549080968
METASPAM,0.8891466800123453
RESILIENCE,0.8882916988804936
ADAPTIVITY,0.8840948613360524
COMPETE,0.8832244146615267
TEACHINT,0.8826266471296549
UNDREM,0.880204482935369
PERFEED,0.8793475469574332
TEACHSUP,0.8654456594958901
BSMJ,0.8583794347941875
RATCMP1,0.8562991954386234
STIMREAD,0.8560567665845156
DIRINS,0.854068024083972
SCREADCOMP,0.8486066740006208
EDUSHORT,0.8475745702162385
AGE,0.8275653049349785
DURECEC,0.808829789981246
EUDMO,0.7973877461627126
ST185Q01HA,0.7905550803989172
GRADE,0.7597368862479925
RATCMP2,0.69326779153198
REPEAT,0.47682125633582473
