,AggregateScore
BELONG,1.8817736133933067
ST004D01T,1.3427598243579268
EMOSUPS,1.3295921720564365
ST207Q02HA,1.2905503800138831
PV1READ,1.1425504200160503
ST207Q03HA,1.13805147446692
ST207Q01HA,1.1281046159565449
PERCOOP,1.0605324320495129
PERCOMP,1.0421107187867165
ST206Q01HA,0.9916384117677808
ST207Q04HA,0.8746044468134642
ST207Q05HA,0.8291686428710818
DISCLIMA,0.7986668860539794
ATTLNACT,0.7383049707859755
PV1SCIE,0.7041099211201072
PV1MATH,0.679196241311729
SCREADDIFF,0.6657821508124471
GFOFAIL,0.6572670312598348
UNDREM,0.6144620655104518
METASUM,0.6071393731981516
MASTGOAL,0.5969177391380072
ST184Q01HA,0.5952282045036554
SCREADCOMP,0.5836928533390164
RATCMP1,0.5719718262553215
TEACHINT,0.5712209828197956
BSMJ,0.5667028715834022
EDUSHORT,0.5656258501112461
JOYREAD,0.5634506605565548
SWBP,0.5630926759913564
WORKMAST,0.5600362177938223
DURECEC,0.5528277596458793
STIMREAD,0.5499159162864089
ADAPTIVITY,0.549249310977757
RESILIENCE,0.5412999922409654
COMPETE,0.5402667792513967
PERFEED,0.5368314329534769
METASPAM,0.5355496974661946
GRADE,0.5305775003507733
DIRINS,0.5272199399769306
EUDMO,0.5244766417890787
AGE,0.5130387023091316
TEACHSUP,0.4936741152778268
ST185Q01HA,0.49023692589253187
REPEAT,0.443026106338948
RATCMP2,0.41750383004546165
