Country,Cluster,IsMedoid
ALB,2,False
ARE,2,False
ARG,1,False
AUS,0,False
AUT,2,False
BEL,2,False
BGR,1,False
BIH,2,False
BLR,1,False
BRA,2,False
BRN,2,False
CAN,2,False
CHE,1,False
CHL,1,False
COL,1,False
CRI,0,False
CZE,1,False
DEU,2,False
DNK,0,False
DOM,1,False
ESP,1,False
EST,2,False
FIN,0,True
FRA,0,False
GBR,0,False
GEO,2,False
GRC,1,False
HKG,1,False
HRV,2,False
HUN,2,False
IDN,2,False
IRL,2,False
ISL,0,False
ITA,1,False
JOR,1,False
JPN,1,False
KAZ,1,False
KSV,1,False
LTU,1,True
LUX,2,False
LVA,2,False
MAC,1,False
MAR,1,False
MDA,2,False
MEX,1,False
MLT,0,False
MNE,2,False
MYS,1,False
NLD,2,False
NOR,1,False
NZL,2,False
PAN,1,False
PER,2,False
PHL,2,False
POL,0,False
PRT,0,False
QAT,1,False
QAZ,2,False
QCI,0,False
QMR,1,False
QRT,2,False
ROU,1,False
RUS,2,False
SAU,1,False
SGP,2,False
SRB,2,False
SVK,1,False
SVN,2,True
SWE,0,False
TAP,2,False
THA,2,False
TUR,2,False
UKR,1,False
URY,2,False
USA,0,False
VNM,1,False
