Country,Cluster,IsMedoid
ALB,0,False
ARE,1,False
ARG,0,False
AUS,1,False
AUT,0,False
BEL,1,False
BGR,1,False
BIH,0,True
BLR,1,False
BRA,1,False
BRN,0,False
CAN,0,False
CHE,1,False
CHL,0,False
COL,1,True
CRI,0,False
CZE,0,False
DEU,0,False
DNK,1,False
DOM,1,False
ESP,1,False
EST,0,False
FIN,0,False
FRA,1,False
GBR,0,False
GEO,0,False
GRC,0,False
HKG,0,False
HRV,1,False
HUN,1,False
IDN,1,False
IRL,0,False
ISL,0,False
ITA,1,False
JOR,0,False
JPN,0,False
KAZ,0,False
KOR,0,False
KSV,0,False
LTU,1,False
LUX,0,False
LVA,1,False
MAC,1,False
MAR,0,False
MDA,1,False
MEX,1,False
MLT,0,False
MNE,0,False
MYS,0,False
NLD,1,False
NOR,1,False
NZL,0,False
PAN,0,False
PER,1,False
PHL,0,False
POL,1,False
PRT,0,False
QAT,0,False
QAZ,0,False
QCI,1,False
QMR,0,False
QRT,0,False
ROU,0,False
RUS,1,False
SAU,0,False
SGP,1,False
SRB,1,False
SVK,0,False
SVN,1,False
SWE,0,False
TAP,1,False
THA,1,False
TUR,0,False
UKR,0,False
URY,1,False
USA,1,False
VNM,1,False
