Country,Cluster,IsMedoid
ALB,1,False
ARE,0,False
ARG,1,False
AUS,0,False
AUT,1,False
BEL,1,False
BGR,1,False
BIH,1,False
BLR,0,False
BRA,0,False
BRN,0,False
CAN,1,False
CHE,0,False
CHL,0,False
COL,1,False
CRI,1,False
CZE,0,False
DEU,1,False
DNK,0,False
DOM,1,False
ESP,0,True
EST,1,False
FIN,0,False
FRA,0,False
GBR,0,False
GEO,1,False
GRC,1,False
HKG,0,False
HRV,0,False
HUN,0,False
IDN,0,False
IRL,1,False
ISL,1,False
ITA,1,False
JOR,1,False
JPN,1,False
KAZ,1,False
KOR,1,False
KSV,1,False
LTU,1,False
LUX,0,False
LVA,0,False
MAC,0,False
MAR,1,False
MDA,1,False
MEX,0,False
MLT,1,False
MNE,1,False
MYS,1,False
NLD,0,False
NOR,1,False
NZL,1,False
PAN,1,False
PER,1,False
PHL,0,False
POL,1,False
PRT,0,False
QAT,0,False
QAZ,1,False
QCI,0,False
QMR,1,False
QRT,1,False
ROU,1,False
RUS,1,False
SAU,1,False
SGP,1,False
SRB,1,False
SVK,0,False
SVN,1,True
SWE,1,False
TAP,0,False
THA,1,False
TUR,1,False
UKR,1,False
URY,0,False
USA,0,False
VNM,1,False
