,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KOR,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,420.0,522.0,507.0,488.0,481.0,522.0,456.0,579.0,428.0,468.0,531.0,458.0,506.0,450.0,550.0,586.0,488.0,494.0,406.0,484.0,586.0,580.0,542.0,504.0,502.0,438.0,636.0,484.0,532.0,464.0,526.0,548.0,391.0,400.0,551.0,464.0,534.0,372.0,480.0,456.0,554.0,554.0,353.0,526.0,468.0,460.0,506.0,511.0,640.0,602.0,426.0,420.0,522.0,526.0,466.0,542.0,462.0,468.0,560.0,492.0,388.0,454.0,473.0,464.0,532.0,404.0,516.0,434.0,576.0,506.0,464.0,450.0,539.0,382.0,570.0,526.0
ARE,420.0,0.0,398.0,331.0,338.0,429.0,346.0,324.0,425.0,372.0,410.0,465.0,396.0,422.0,296.0,366.0,430.0,374.0,370.0,378.0,300.0,400.0,400.0,354.0,322.0,394.0,348.0,514.0,374.0,428.0,344.0,402.0,420.0,351.0,278.0,515.0,342.0,434.0,370.0,308.0,354.0,400.0,436.0,437.0,448.0,378.0,322.0,336.0,349.0,438.0,601.0,394.0,396.0,432.0,382.0,356.0,524.0,344.0,362.0,390.0,474.0,372.0,364.0,321.0,318.0,460.0,344.0,400.0,336.0,392.0,370.0,370.0,352.0,381.0,444.0,482.0,550.0
ARG,522.0,398.0,0.0,403.0,292.0,421.0,322.0,412.0,443.0,380.0,434.0,601.0,388.0,310.0,336.0,460.0,350.0,360.0,464.0,446.0,416.0,454.0,381.0,336.0,368.0,400.0,330.0,568.0,420.0,352.0,446.0,286.0,360.0,295.0,356.0,555.0,310.0,442.0,368.0,337.0,474.0,452.0,424.0,427.0,376.0,346.0,312.0,450.0,357.0,508.0,558.0,380.0,474.0,382.0,432.0,379.0,516.0,400.0,342.0,474.0,446.0,330.0,386.0,443.0,362.0,492.0,322.0,406.0,308.0,450.0,514.0,414.0,352.0,353.0,414.0,456.0,564.0
AUS,507.0,331.0,403.0,0.0,291.0,436.0,303.0,401.0,434.0,409.0,419.0,566.0,355.0,371.0,423.0,431.0,461.0,401.0,399.0,419.0,273.0,433.0,373.0,357.0,335.0,425.0,417.0,605.0,491.0,479.0,393.0,435.0,441.0,386.0,421.0,552.0,371.0,541.0,449.0,421.0,363.0,425.0,497.0,394.0,451.0,449.0,335.0,369.0,378.0,509.0,566.0,333.0,427.0,497.0,451.0,425.0,603.0,481.0,381.0,449.0,515.0,441.0,375.0,478.0,411.0,405.0,403.0,435.0,395.0,411.0,433.0,505.0,435.0,464.0,433.0,475.0,547.0
AUT,488.0,338.0,292.0,291.0,0.0,399.0,320.0,454.0,393.0,380.0,384.0,549.0,320.0,376.0,372.0,348.0,404.0,378.0,448.0,430.0,344.0,374.0,359.0,360.0,390.0,388.0,350.0,616.0,434.0,496.0,442.0,368.0,436.0,311.0,388.0,555.0,386.0,454.0,456.0,334.0,366.0,444.0,502.0,339.0,422.0,386.0,340.0,384.0,337.0,488.0,570.0,254.0,400.0,486.0,404.0,410.0,506.0,478.0,398.0,472.0,408.0,428.0,376.0,391.0,398.0,390.0,304.0,456.0,302.0,351.0,460.0,434.0,362.0,429.0,426.0,454.0,592.0
BEL,481.0,429.0,421.0,436.0,399.0,0.0,381.0,427.0,528.0,443.0,469.0,646.0,407.0,437.0,353.0,407.0,491.0,363.0,455.0,461.0,449.0,427.0,531.0,505.0,475.0,505.0,417.0,593.0,447.0,463.0,485.0,443.0,445.0,376.0,443.0,550.0,421.0,505.0,503.0,361.0,451.0,463.0,555.0,324.0,477.0,417.0,351.0,473.0,392.0,565.0,574.0,355.0,431.0,461.0,429.0,473.0,547.0,437.0,475.0,465.0,533.0,445.0,461.0,462.0,503.0,471.0,383.0,455.0,403.0,419.0,473.0,371.0,473.0,516.0,369.0,543.0,459.0
BGR,522.0,346.0,322.0,303.0,320.0,381.0,0.0,382.0,447.0,388.0,380.0,521.0,360.0,350.0,346.0,416.0,448.0,244.0,430.0,392.0,342.0,396.0,381.0,384.0,360.0,396.0,408.0,544.0,446.0,402.0,400.0,404.0,372.0,317.0,402.0,543.0,298.0,480.0,372.0,298.0,410.0,422.0,488.0,397.0,430.0,410.0,342.0,408.0,353.0,442.0,614.0,354.0,396.0,452.0,328.0,382.0,542.0,438.0,304.0,472.0,554.0,388.0,420.0,415.0,412.0,512.0,346.0,418.0,302.0,467.0,478.0,424.0,376.0,349.0,488.0,482.0,578.0
BIH,456.0,324.0,412.0,401.0,454.0,427.0,382.0,0.0,441.0,388.0,500.0,543.0,420.0,314.0,370.0,356.0,464.0,426.0,428.0,482.0,384.0,450.0,464.0,504.0,354.0,446.0,462.0,534.0,462.0,452.0,382.0,410.0,426.0,397.0,382.0,617.0,392.0,474.0,458.0,392.0,376.0,464.0,470.0,471.0,350.0,428.0,358.0,332.0,459.0,546.0,628.0,486.0,422.0,432.0,474.0,368.0,554.0,394.0,418.0,488.0,464.0,364.0,446.0,371.0,408.0,522.0,360.0,492.0,368.0,432.0,484.0,468.0,430.0,467.0,482.0,378.0,564.0
BLR,579.0,425.0,443.0,434.0,393.0,528.0,447.0,441.0,0.0,395.0,483.0,570.0,465.0,439.0,429.0,407.0,461.0,465.0,415.0,441.0,381.0,373.0,459.0,463.0,487.0,453.0,377.0,603.0,423.0,479.0,433.0,449.0,439.0,494.0,479.0,600.0,401.0,447.0,497.0,403.0,473.0,489.0,521.0,530.0,491.0,531.0,405.0,453.0,474.0,497.0,513.0,459.0,479.0,505.0,469.0,459.0,457.0,491.0,469.0,501.0,447.0,505.0,423.0,342.0,439.0,427.0,427.0,403.0,405.0,365.0,503.0,547.0,447.0,486.0,479.0,377.0,657.0
BRA,428.0,372.0,380.0,409.0,380.0,443.0,388.0,388.0,395.0,0.0,434.0,539.0,432.0,358.0,352.0,450.0,486.0,380.0,424.0,428.0,352.0,436.0,453.0,424.0,436.0,456.0,460.0,630.0,314.0,402.0,428.0,426.0,420.0,467.0,366.0,601.0,336.0,456.0,448.0,331.0,396.0,418.0,468.0,445.0,474.0,396.0,368.0,438.0,435.0,462.0,590.0,428.0,460.0,450.0,462.0,417.0,470.0,374.0,374.0,470.0,468.0,348.0,440.0,401.0,458.0,530.0,398.0,410.0,416.0,454.0,430.0,448.0,444.0,477.0,356.0,498.0,544.0
