,ALB,ARE,ARG,AUS,AUT,BEL,BGR,BIH,BLR,BRA,BRN,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,DOM,ESP,EST,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IRL,ISL,ITA,JOR,JPN,KAZ,KOR,KSV,LTU,LUX,LVA,MAC,MAR,MDA,MEX,MLT,MNE,MYS,NLD,NOR,NZL,PAN,PER,PHL,POL,PRT,QAT,QAZ,QCI,QMR,QRT,ROU,RUS,SAU,SGP,SRB,SVK,SVN,SWE,TAP,THA,TUR,UKR,URY,USA,VNM
ALB,0.0,338.0,436.0,415.0,404.0,447.0,396.0,354.0,493.0,334.0,406.0,543.0,464.0,462.0,378.0,562.0,456.0,452.0,542.0,484.0,482.0,490.0,409.0,414.0,482.0,406.0,296.0,468.0,386.0,402.0,458.0,492.0,396.0,345.0,332.0,515.0,390.0,565.0,348.0,378.0,476.0,464.0,590.0,389.0,436.0,384.0,395.0,416.0,447.0,530.0,537.0,378.0,500.0,416.0,466.0,466.0,554.0,354.0,356.0,552.0,466.0,426.0,471.0,353.0,364.0,502.0,332.0,388.0,413.0,468.0,478.0,504.0,388.0,459.0,366.0,520.0,588.0
ARE,338.0,0.0,424.0,373.0,318.0,555.0,272.0,314.0,389.0,304.0,358.0,521.0,376.0,360.0,390.0,528.0,408.0,486.0,380.0,468.0,390.0,450.0,371.0,368.0,322.0,298.0,286.0,380.0,394.0,394.0,358.0,420.0,368.0,351.0,332.0,471.0,324.0,547.0,330.0,304.0,424.0,422.0,508.0,453.0,396.0,330.0,287.0,344.0,407.0,460.0,512.0,368.0,520.0,392.0,508.0,390.0,484.0,320.0,410.0,382.0,456.0,380.0,391.0,347.0,390.0,488.0,298.0,376.0,349.0,416.0,420.0,390.0,370.0,441.0,388.0,464.0,582.0
ARG,436.0,424.0,0.0,451.0,436.0,499.0,406.0,366.0,445.0,404.0,446.0,503.0,340.0,360.0,326.0,430.0,404.0,414.0,442.0,398.0,318.0,418.0,442.0,406.0,412.0,430.0,382.0,418.0,358.0,378.0,410.0,380.0,446.0,425.0,384.0,553.0,386.0,562.0,432.0,424.0,362.0,448.0,586.0,399.0,488.0,414.0,406.0,466.0,463.0,400.0,514.0,384.0,378.0,332.0,504.0,404.0,406.0,432.0,456.0,454.0,430.0,396.0,478.0,465.0,378.0,528.0,360.0,364.0,378.0,418.0,444.0,454.0,452.0,383.0,430.0,540.0,564.0
AUS,415.0,373.0,451.0,0.0,335.0,516.0,409.0,435.0,488.0,381.0,415.0,554.0,385.0,441.0,389.0,467.0,329.0,387.0,341.0,461.0,373.0,437.0,457.0,371.0,375.0,445.0,391.0,467.0,475.0,483.0,425.0,373.0,371.0,262.0,487.0,532.0,327.0,501.0,495.0,387.0,471.0,381.0,581.0,392.0,493.0,365.0,431.0,429.0,440.0,375.0,565.0,329.0,435.0,337.0,471.0,377.0,449.0,413.0,385.0,589.0,447.0,421.0,449.0,440.0,433.0,495.0,443.0,407.0,377.0,385.0,533.0,457.0,393.0,378.0,395.0,423.0,577.0
AUT,404.0,318.0,436.0,335.0,0.0,493.0,352.0,406.0,401.0,290.0,348.0,519.0,348.0,338.0,336.0,472.0,346.0,456.0,306.0,538.0,306.0,502.0,407.0,308.0,372.0,422.0,412.0,370.0,404.0,372.0,382.0,368.0,310.0,389.0,372.0,479.0,382.0,490.0,392.0,344.0,384.0,356.0,522.0,379.0,394.0,322.0,348.0,386.0,411.0,406.0,560.0,312.0,470.0,400.0,452.0,338.0,434.0,406.0,406.0,464.0,472.0,426.0,454.0,419.0,448.0,496.0,330.0,384.0,383.0,353.0,408.0,486.0,342.0,457.0,418.0,462.0,634.0
BEL,447.0,555.0,499.0,516.0,493.0,0.0,575.0,475.0,462.0,417.0,497.0,610.0,417.0,495.0,489.0,475.0,507.0,527.0,569.0,541.0,503.0,585.0,501.0,541.0,559.0,533.0,511.0,527.0,545.0,473.0,521.0,611.0,577.0,458.0,501.0,626.0,489.0,569.0,463.0,503.0,579.0,493.0,625.0,442.0,413.0,517.0,545.0,529.0,534.0,429.0,627.0,479.0,563.0,475.0,475.0,535.0,531.0,513.0,563.0,505.0,643.0,527.0,537.0,590.0,593.0,509.0,463.0,511.0,543.0,559.0,559.0,465.0,549.0,586.0,453.0,545.0,587.0
BGR,396.0,272.0,406.0,409.0,352.0,575.0,0.0,322.0,463.0,308.0,348.0,573.0,402.0,384.0,366.0,496.0,424.0,410.0,406.0,450.0,436.0,514.0,433.0,348.0,398.0,328.0,294.0,412.0,348.0,336.0,396.0,470.0,438.0,331.0,318.0,545.0,322.0,591.0,394.0,342.0,404.0,464.0,590.0,385.0,406.0,328.0,355.0,390.0,421.0,486.0,601.0,420.0,396.0,420.0,536.0,326.0,508.0,350.0,392.0,454.0,428.0,360.0,383.0,307.0,378.0,598.0,298.0,394.0,359.0,440.0,476.0,382.0,402.0,407.0,364.0,490.0,606.0
BIH,354.0,314.0,366.0,435.0,406.0,475.0,322.0,0.0,361.0,286.0,260.0,529.0,366.0,344.0,372.0,472.0,342.0,516.0,488.0,472.0,400.0,406.0,355.0,390.0,428.0,356.0,350.0,406.0,322.0,260.0,394.0,422.0,436.0,337.0,328.0,551.0,380.0,531.0,426.0,346.0,388.0,440.0,508.0,391.0,382.0,284.0,445.0,344.0,357.0,388.0,502.0,390.0,438.0,348.0,492.0,350.0,426.0,338.0,402.0,426.0,414.0,394.0,405.0,353.0,368.0,546.0,266.0,292.0,401.0,474.0,444.0,458.0,386.0,355.0,332.0,534.0,610.0
BLR,493.0,389.0,445.0,488.0,401.0,462.0,463.0,361.0,0.0,375.0,371.0,632.0,433.0,405.0,411.0,521.0,345.0,567.0,461.0,433.0,441.0,455.0,379.0,405.0,503.0,415.0,441.0,411.0,403.0,349.0,405.0,447.0,399.0,406.0,445.0,528.0,427.0,535.0,363.0,355.0,403.0,459.0,469.0,400.0,391.0,391.0,453.0,435.0,306.0,395.0,512.0,413.0,537.0,383.0,479.0,455.0,395.0,497.0,443.0,381.0,491.0,423.0,413.0,484.0,501.0,443.0,379.0,397.0,407.0,445.0,403.0,477.0,369.0,430.0,383.0,589.0,553.0
BRA,334.0,304.0,404.0,381.0,290.0,417.0,308.0,286.0,375.0,0.0,320.0,555.0,356.0,412.0,396.0,456.0,342.0,400.0,362.0,510.0,344.0,536.0,380.0,334.0,442.0,390.0,360.0,404.0,364.0,328.0,428.0,472.0,380.0,367.0,372.0,525.0,280.0,529.0,344.0,254.0,406.0,390.0,530.0,349.0,370.0,340.0,365.0,352.0,393.0,400.0,543.0,300.0,462.0,400.0,450.0,382.0,424.0,360.0,344.0,446.0,466.0,436.0,417.0,355.0,352.0,494.0,314.0,366.0,372.0,415.0,484.0,412.0,336.0,441.0,322.0,472.0,604.0
