Country1,Country2,Footrule
ALB,ARE,368.0
ALB,ARG,420.0
ALB,AUS,489.0
ALB,AUT,366.0
ALB,BEL,487.0
ALB,BGR,448.0
ALB,BIH,492.0
ALB,BLR,475.0
ALB,BRA,474.0
ALB,BRN,442.0
ALB,CAN,531.0
ALB,CHE,422.0
ALB,CHL,452.0
ALB,COL,434.0
ALB,CRI,462.0
ALB,CZE,554.0
ALB,DEU,468.0
ALB,DNK,460.0
ALB,DOM,386.0
ALB,ESP,422.0
ALB,EST,440.0
ALB,FIN,518.0
ALB,FRA,506.0
ALB,GBR,500.0
ALB,GEO,410.0
ALB,GRC,372.0
ALB,HKG,476.0
ALB,HRV,460.0
ALB,HUN,374.0
ALB,IDN,428.0
ALB,IRL,366.0
ALB,ISL,494.0
ALB,ITA,439.0
ALB,JOR,294.0
ALB,JPN,469.0
ALB,KAZ,418.0
ALB,KSV,390.0
ALB,LTU,408.0
ALB,LUX,376.0
ALB,LVA,470.0
ALB,MAC,406.0
ALB,MAR,411.0
ALB,MDA,494.0
ALB,MEX,438.0
ALB,MLT,524.0
ALB,MNE,458.0
ALB,MYS,425.0
ALB,NLD,438.0
ALB,NOR,508.0
ALB,NZL,412.0
ALB,PAN,528.0
ALB,PER,366.0
ALB,PHL,424.0
ALB,POL,496.0
ALB,PRT,560.0
ALB,QAT,438.0
ALB,QAZ,340.0
ALB,QCI,582.0
ALB,QMR,476.0
ALB,QRT,376.0
ALB,ROU,492.0
ALB,RUS,433.0
ALB,SAU,444.0
ALB,SGP,460.0
ALB,SRB,368.0
ALB,SVK,462.0
ALB,SVN,364.0
ALB,SWE,470.0
ALB,TAP,444.0
ALB,THA,456.0
ALB,TUR,426.0
ALB,UKR,447.0
ALB,URY,416.0
ALB,USA,486.0
ALB,VNM,618.0
ARE,ARG,314.0
ARE,AUS,347.0
ARE,AUT,332.0
ARE,BEL,385.0
ARE,BGR,284.0
ARE,BIH,384.0
ARE,BLR,339.0
ARE,BRA,320.0
ARE,BRN,402.0
ARE,CAN,505.0
ARE,CHE,362.0
ARE,CHL,400.0
ARE,COL,308.0
ARE,CRI,320.0
ARE,CZE,420.0
ARE,DEU,422.0
ARE,DNK,360.0
ARE,DOM,388.0
ARE,ESP,320.0
ARE,EST,362.0
ARE,FIN,314.0
ARE,FRA,438.0
ARE,GBR,344.0
ARE,GEO,290.0
ARE,GRC,338.0
ARE,HKG,320.0
ARE,HRV,358.0
ARE,HUN,402.0
ARE,IDN,302.0
ARE,IRL,396.0
ARE,ISL,326.0
ARE,ITA,369.0
ARE,JOR,260.0
ARE,JPN,399.0
ARE,KAZ,298.0
ARE,KSV,334.0
ARE,LTU,284.0
ARE,LUX,316.0
ARE,LVA,362.0
ARE,MAC,340.0
ARE,MAR,393.0
ARE,MDA,400.0
ARE,MEX,334.0
ARE,MLT,374.0
ARE,MNE,330.0
ARE,MYS,341.0
ARE,NLD,358.0
ARE,NOR,464.0
ARE,NZL,364.0
ARE,PAN,468.0
ARE,PER,286.0
ARE,PHL,498.0
ARE,POL,314.0
ARE,PRT,414.0
ARE,QAT,276.0
ARE,QAZ,304.0
ARE,QCI,388.0
ARE,QMR,408.0
ARE,QRT,332.0
ARE,ROU,420.0
ARE,RUS,341.0
ARE,SAU,332.0
ARE,SGP,390.0
ARE,SRB,344.0
ARE,SVK,352.0
ARE,SVN,246.0
ARE,SWE,324.0
ARE,TAP,300.0
ARE,THA,360.0
ARE,TUR,310.0
ARE,UKR,389.0
ARE,URY,352.0
ARE,USA,308.0
ARE,VNM,582.0
ARG,AUS,377.0
ARG,AUT,370.0
ARG,BEL,485.0
ARG,BGR,312.0
ARG,BIH,428.0
ARG,BLR,335.0
ARG,BRA,296.0
ARG,BRN,388.0
ARG,CAN,595.0
ARG,CHE,410.0
ARG,CHL,392.0
ARG,COL,382.0
ARG,CRI,348.0
ARG,CZE,310.0
ARG,DEU,362.0
ARG,DNK,324.0
ARG,DOM,422.0
ARG,ESP,288.0
ARG,EST,394.0
ARG,FIN,346.0
ARG,FRA,440.0
ARG,GBR,316.0
ARG,GEO,348.0
ARG,GRC,392.0
ARG,HKG,434.0
ARG,HRV,362.0
ARG,HUN,402.0
ARG,IDN,378.0
ARG,IRL,366.0
ARG,ISL,420.0
ARG,ITA,445.0
ARG,JOR,346.0
ARG,JPN,415.0
ARG,KAZ,386.0
ARG,KSV,368.0
ARG,LTU,342.0
ARG,LUX,378.0
ARG,LVA,398.0
ARG,MAC,410.0
ARG,MAR,477.0
ARG,MDA,414.0
ARG,MEX,332.0
ARG,MLT,378.0
ARG,MNE,384.0
ARG,MYS,465.0
ARG,NLD,430.0
ARG,NOR,540.0
ARG,NZL,374.0
ARG,PAN,386.0
ARG,PER,432.0
ARG,PHL,446.0
ARG,POL,398.0
ARG,PRT,486.0
ARG,QAT,362.0
ARG,QAZ,404.0
ARG,QCI,412.0
ARG,QMR,442.0
ARG,QRT,418.0
ARG,ROU,404.0
ARG,RUS,391.0
ARG,SAU,372.0
ARG,SGP,484.0
ARG,SRB,380.0
ARG,SVK,434.0
ARG,SVN,358.0
ARG,SWE,372.0
ARG,TAP,448.0
ARG,THA,470.0
ARG,TUR,398.0
ARG,UKR,411.0
ARG,URY,434.0
ARG,USA,358.0
ARG,VNM,518.0
AUS,AUT,427.0
AUS,BEL,382.0
AUS,BGR,359.0
AUS,BIH,473.0
AUS,BLR,358.0
AUS,BRA,343.0
AUS,BRN,405.0
AUS,CAN,640.0
AUS,CHE,459.0
AUS,CHL,457.0
AUS,COL,363.0
AUS,CRI,353.0
AUS,CZE,401.0
AUS,DEU,451.0
AUS,DNK,351.0
AUS,DOM,435.0
AUS,ESP,383.0
AUS,EST,469.0
AUS,FIN,365.0
AUS,FRA,475.0
AUS,GBR,267.0
AUS,GEO,435.0
AUS,GRC,455.0
AUS,HKG,445.0
AUS,HRV,421.0
AUS,HUN,471.0
AUS,IDN,355.0
AUS,IRL,483.0
AUS,ISL,461.0
AUS,ITA,394.0
AUS,JOR,435.0
AUS,JPN,506.0
AUS,KAZ,405.0
AUS,KSV,513.0
AUS,LTU,401.0
AUS,LUX,427.0
AUS,LVA,359.0
AUS,MAC,475.0
AUS,MAR,452.0
AUS,MDA,415.0
AUS,MEX,417.0
AUS,MLT,469.0
AUS,MNE,533.0
AUS,MYS,388.0
AUS,NLD,421.0
AUS,NOR,539.0
AUS,NZL,397.0
AUS,PAN,463.0
AUS,PER,475.0
AUS,PHL,521.0
AUS,POL,401.0
AUS,PRT,455.0
AUS,QAT,369.0
AUS,QAZ,453.0
AUS,QCI,435.0
AUS,QMR,545.0
AUS,QRT,439.0
AUS,ROU,455.0
AUS,RUS,426.0
AUS,SAU,443.0
AUS,SGP,369.0
AUS,SRB,417.0
AUS,SVK,421.0
AUS,SVN,399.0
AUS,SWE,407.0
AUS,TAP,453.0
AUS,THA,411.0
AUS,TUR,425.0
AUS,UKR,414.0
AUS,URY,403.0
AUS,USA,341.0
AUS,VNM,509.0
AUT,BEL,461.0
AUT,BGR,344.0
AUT,BIH,332.0
AUT,BLR,373.0
AUT,BRA,358.0
AUT,BRN,452.0
AUT,CAN,457.0
AUT,CHE,452.0
AUT,CHL,368.0
AUT,COL,364.0
AUT,CRI,408.0
AUT,CZE,426.0
AUT,DEU,424.0
AUT,DNK,322.0
AUT,DOM,362.0
AUT,ESP,288.0
AUT,EST,334.0
AUT,FIN,378.0
AUT,FRA,400.0
AUT,GBR,364.0
AUT,GEO,360.0
AUT,GRC,402.0
AUT,HKG,412.0
AUT,HRV,376.0
AUT,HUN,320.0
AUT,IDN,358.0
AUT,IRL,328.0
AUT,ISL,382.0
AUT,ITA,429.0
AUT,JOR,358.0
AUT,JPN,399.0
AUT,KAZ,330.0
AUT,KSV,388.0
AUT,LTU,270.0
AUT,LUX,394.0
AUT,LVA,352.0
AUT,MAC,416.0
AUT,MAR,445.0
AUT,MDA,454.0
AUT,MEX,370.0
AUT,MLT,438.0
AUT,MNE,314.0
AUT,MYS,331.0
AUT,NLD,354.0
AUT,NOR,440.0
AUT,NZL,328.0
AUT,PAN,568.0
AUT,PER,356.0
AUT,PHL,504.0
AUT,POL,392.0
AUT,PRT,422.0
AUT,QAT,382.0
AUT,QAZ,316.0
AUT,QCI,414.0
AUT,QMR,382.0
AUT,QRT,298.0
AUT,ROU,388.0
AUT,RUS,357.0
AUT,SAU,380.0
AUT,SGP,378.0
AUT,SRB,326.0
AUT,SVK,344.0
AUT,SVN,248.0
AUT,SWE,440.0
AUT,TAP,390.0
AUT,THA,452.0
AUT,TUR,286.0
AUT,UKR,337.0
AUT,URY,314.0
AUT,USA,392.0
AUT,VNM,566.0
BEL,BGR,433.0
BEL,BIH,425.0
BEL,BLR,398.0
BEL,BRA,473.0
BEL,BRN,495.0
BEL,CAN,598.0
BEL,CHE,377.0
BEL,CHL,413.0
BEL,COL,403.0
BEL,CRI,369.0
BEL,CZE,481.0
BEL,DEU,381.0
BEL,DNK,465.0
BEL,DOM,453.0
BEL,ESP,371.0
BEL,EST,447.0
BEL,FIN,409.0
BEL,FRA,531.0
BEL,GBR,431.0
BEL,GEO,425.0
BEL,GRC,399.0
BEL,HKG,439.0
BEL,HRV,397.0
BEL,HUN,449.0
BEL,IDN,383.0
BEL,IRL,469.0
BEL,ISL,407.0
BEL,ITA,368.0
BEL,JOR,427.0
BEL,JPN,454.0
BEL,KAZ,375.0
BEL,KSV,467.0
BEL,LTU,447.0
BEL,LUX,413.0
BEL,LVA,441.0
BEL,MAC,517.0
BEL,MAR,468.0
BEL,MDA,455.0
BEL,MEX,519.0
BEL,MLT,385.0
BEL,MNE,431.0
BEL,MYS,440.0
BEL,NLD,479.0
BEL,NOR,545.0
BEL,NZL,449.0
BEL,PAN,545.0
BEL,PER,535.0
BEL,PHL,497.0
BEL,POL,395.0
BEL,PRT,497.0
BEL,QAT,419.0
BEL,QAZ,509.0
BEL,QCI,389.0
BEL,QMR,463.0
BEL,QRT,441.0
BEL,ROU,473.0
BEL,RUS,436.0
BEL,SAU,511.0
BEL,SGP,395.0
BEL,SRB,421.0
BEL,SVK,435.0
BEL,SVN,385.0
BEL,SWE,451.0
BEL,TAP,387.0
BEL,THA,369.0
BEL,TUR,413.0
BEL,UKR,428.0
BEL,URY,465.0
BEL,USA,337.0
BEL,VNM,539.0
BGR,BIH,392.0
BGR,BLR,343.0
BGR,BRA,282.0
BGR,BRN,462.0
BGR,CAN,539.0
BGR,CHE,424.0
BGR,CHL,480.0
BGR,COL,330.0
BGR,CRI,400.0
BGR,CZE,390.0
BGR,DEU,412.0
BGR,DNK,350.0
BGR,DOM,418.0
BGR,ESP,348.0
BGR,EST,428.0
BGR,FIN,352.0
BGR,FRA,442.0
BGR,GBR,374.0
BGR,GEO,342.0
BGR,GRC,358.0
BGR,HKG,382.0
BGR,HRV,330.0
BGR,HUN,362.0
BGR,IDN,376.0
BGR,IRL,446.0
BGR,ISL,448.0
BGR,ITA,409.0
BGR,JOR,386.0
BGR,JPN,497.0
BGR,KAZ,306.0
BGR,KSV,406.0
BGR,LTU,344.0
BGR,LUX,378.0
BGR,LVA,436.0
BGR,MAC,452.0
BGR,MAR,463.0
BGR,MDA,344.0
BGR,MEX,360.0
BGR,MLT,402.0
BGR,MNE,378.0
BGR,MYS,413.0
BGR,NLD,468.0
BGR,NOR,568.0
BGR,NZL,458.0
BGR,PAN,474.0
BGR,PER,426.0
BGR,PHL,506.0
BGR,POL,348.0
BGR,PRT,466.0
BGR,QAT,318.0
BGR,QAZ,374.0
BGR,QCI,442.0
BGR,QMR,384.0
BGR,QRT,362.0
BGR,ROU,470.0
BGR,RUS,381.0
BGR,SAU,404.0
BGR,SGP,508.0
BGR,SRB,356.0
BGR,SVK,338.0
BGR,SVN,360.0
BGR,SWE,406.0
BGR,TAP,412.0
BGR,THA,382.0
BGR,TUR,332.0
BGR,UKR,369.0
BGR,URY,414.0
BGR,USA,330.0
BGR,VNM,528.0
BIH,BLR,379.0
BIH,BRA,360.0
BIH,BRN,530.0
BIH,CAN,537.0
BIH,CHE,394.0
BIH,CHL,382.0
BIH,COL,380.0
BIH,CRI,462.0
BIH,CZE,386.0
BIH,DEU,404.0
BIH,DNK,376.0
BIH,DOM,426.0
BIH,ESP,340.0
BIH,EST,360.0
BIH,FIN,400.0
BIH,FRA,444.0
BIH,GBR,442.0
BIH,GEO,352.0
BIH,GRC,410.0
BIH,HKG,412.0
BIH,HRV,370.0
BIH,HUN,342.0
BIH,IDN,372.0
BIH,IRL,378.0
BIH,ISL,390.0
BIH,ITA,441.0
BIH,JOR,446.0
BIH,JPN,513.0
BIH,KAZ,312.0
BIH,KSV,436.0
BIH,LTU,350.0
BIH,LUX,446.0
BIH,LVA,314.0
BIH,MAC,422.0
BIH,MAR,467.0
BIH,MDA,374.0
BIH,MEX,372.0
BIH,MLT,388.0
BIH,MNE,334.0
BIH,MYS,383.0
BIH,NLD,462.0
BIH,NOR,446.0
BIH,NZL,408.0
BIH,PAN,498.0
BIH,PER,442.0
BIH,PHL,554.0
BIH,POL,302.0
BIH,PRT,366.0
BIH,QAT,396.0
BIH,QAZ,410.0
BIH,QCI,398.0
BIH,QMR,420.0
BIH,QRT,406.0
BIH,ROU,394.0
BIH,RUS,351.0
BIH,SAU,364.0
BIH,SGP,384.0
BIH,SRB,388.0
BIH,SVK,314.0
BIH,SVN,338.0
BIH,SWE,458.0
BIH,TAP,338.0
BIH,THA,350.0
BIH,TUR,344.0
BIH,UKR,363.0
BIH,URY,418.0
BIH,USA,420.0
BIH,VNM,510.0
BLR,BRA,355.0
BLR,BRN,475.0
BLR,CAN,612.0
BLR,CHE,397.0
BLR,CHL,407.0
BLR,COL,385.0
BLR,CRI,341.0
BLR,CZE,425.0
BLR,DEU,357.0
BLR,DNK,359.0
BLR,DOM,385.0
BLR,ESP,333.0
BLR,EST,345.0
BLR,FIN,389.0
BLR,FRA,505.0
BLR,GBR,327.0
BLR,GEO,311.0
BLR,GRC,363.0
BLR,HKG,339.0
BLR,HRV,319.0
BLR,HUN,373.0
BLR,IDN,359.0
BLR,IRL,365.0
BLR,ISL,347.0
BLR,ITA,336.0
BLR,JOR,419.0
BLR,JPN,398.0
BLR,KAZ,379.0
BLR,KSV,397.0
BLR,LTU,331.0
BLR,LUX,357.0
BLR,LVA,429.0
BLR,MAC,481.0
BLR,MAR,476.0
BLR,MDA,415.0
BLR,MEX,339.0
BLR,MLT,413.0
BLR,MNE,409.0
BLR,MYS,326.0
BLR,NLD,373.0
BLR,NOR,431.0
BLR,NZL,453.0
BLR,PAN,449.0
BLR,PER,395.0
BLR,PHL,483.0
BLR,POL,419.0
BLR,PRT,487.0
BLR,QAT,397.0
BLR,QAZ,419.0
BLR,QCI,423.0
BLR,QMR,357.0
BLR,QRT,425.0
BLR,ROU,421.0
BLR,RUS,338.0
BLR,SAU,357.0
BLR,SGP,449.0
BLR,SRB,351.0
BLR,SVK,337.0
BLR,SVN,341.0
BLR,SWE,415.0
BLR,TAP,421.0
BLR,THA,375.0
BLR,TUR,381.0
BLR,UKR,386.0
BLR,URY,397.0
BLR,USA,345.0
BLR,VNM,591.0
BRA,BRN,424.0
BRA,CAN,523.0
BRA,CHE,446.0
BRA,CHL,434.0
BRA,COL,378.0
BRA,CRI,424.0
BRA,CZE,350.0
BRA,DEU,452.0
BRA,DNK,366.0
BRA,DOM,406.0
BRA,ESP,302.0
BRA,EST,392.0
BRA,FIN,370.0
BRA,FRA,426.0
BRA,GBR,356.0
BRA,GEO,394.0
BRA,GRC,390.0
BRA,HKG,400.0
BRA,HRV,332.0
BRA,HUN,430.0
BRA,IDN,354.0
BRA,IRL,422.0
BRA,ISL,400.0
BRA,ITA,407.0
BRA,JOR,372.0
BRA,JPN,537.0
BRA,KAZ,386.0
BRA,KSV,340.0
BRA,LTU,386.0
BRA,LUX,408.0
BRA,LVA,414.0
BRA,MAC,452.0
BRA,MAR,491.0
BRA,MDA,360.0
BRA,MEX,376.0
BRA,MLT,418.0
BRA,MNE,396.0
BRA,MYS,467.0
BRA,NLD,434.0
BRA,NOR,498.0
BRA,NZL,402.0
BRA,PAN,452.0
BRA,PER,436.0
BRA,PHL,536.0
BRA,POL,362.0
BRA,PRT,436.0
BRA,QAT,272.0
BRA,QAZ,390.0
BRA,QCI,436.0
BRA,QMR,434.0
BRA,QRT,400.0
