Country1,Country2,Footrule
ALB,ARE,360.0
ALB,ARG,440.0
ALB,AUS,475.0
ALB,AUT,384.0
ALB,BEL,467.0
ALB,BGR,424.0
ALB,BIH,374.0
ALB,BLR,361.0
ALB,BRA,370.0
ALB,BRN,434.0
ALB,CAN,491.0
ALB,CHE,418.0
ALB,CHL,480.0
ALB,COL,412.0
ALB,CRI,426.0
ALB,CZE,446.0
ALB,DEU,548.0
ALB,DNK,418.0
ALB,DOM,492.0
ALB,ESP,444.0
ALB,EST,444.0
ALB,FIN,487.0
ALB,FRA,398.0
ALB,GBR,410.0
ALB,GEO,390.0
ALB,GRC,442.0
ALB,HKG,430.0
ALB,HRV,434.0
ALB,HUN,404.0
ALB,IDN,354.0
ALB,IRL,454.0
ALB,ISL,440.0
ALB,ITA,379.0
ALB,JOR,366.0
ALB,JPN,601.0
ALB,KAZ,334.0
ALB,KOR,541.0
ALB,KSV,330.0
ALB,LTU,398.0
ALB,LUX,516.0
ALB,LVA,374.0
ALB,MAC,476.0
ALB,MAR,449.0
ALB,MDA,468.0
ALB,MEX,458.0
ALB,MLT,370.0
ALB,MNE,336.0
ALB,MYS,513.0
ALB,NLD,548.0
ALB,NOR,452.0
ALB,NZL,432.0
ALB,PAN,406.0
ALB,PER,480.0
ALB,PHL,340.0
ALB,POL,452.0
ALB,PRT,492.0
ALB,QAT,346.0
ALB,QAZ,406.0
ALB,QCI,520.0
ALB,QMR,470.0
ALB,QRT,407.0
ALB,ROU,408.0
ALB,RUS,363.0
ALB,SAU,350.0
ALB,SGP,532.0
ALB,SRB,326.0
ALB,SVK,496.0
ALB,SVN,401.0
ALB,SWE,494.0
ALB,TAP,474.0
ALB,THA,476.0
ALB,TUR,380.0
ALB,UKR,413.0
ALB,URY,418.0
ALB,USA,429.0
ALB,VNM,582.0
ARE,ARG,442.0
ARE,AUS,339.0
ARE,AUT,402.0
ARE,BEL,349.0
ARE,BGR,312.0
ARE,BIH,360.0
ARE,BLR,317.0
ARE,BRA,316.0
ARE,BRN,370.0
ARE,CAN,535.0
ARE,CHE,346.0
ARE,CHL,374.0
ARE,COL,328.0
ARE,CRI,324.0
ARE,CZE,356.0
ARE,DEU,412.0
ARE,DNK,354.0
ARE,DOM,418.0
ARE,ESP,344.0
ARE,EST,380.0
ARE,FIN,388.0
ARE,FRA,354.0
ARE,GBR,374.0
ARE,GEO,338.0
ARE,GRC,416.0
ARE,HKG,482.0
ARE,HRV,330.0
ARE,HUN,388.0
ARE,IDN,324.0
ARE,IRL,426.0
ARE,ISL,412.0
ARE,ITA,315.0
ARE,JOR,300.0
ARE,JPN,565.0
ARE,KAZ,318.0
ARE,KOR,544.0
ARE,KSV,354.0
ARE,LTU,374.0
ARE,LUX,382.0
ARE,LVA,366.0
ARE,MAC,396.0
ARE,MAR,379.0
ARE,MDA,426.0
ARE,MEX,298.0
ARE,MLT,376.0
ARE,MNE,354.0
ARE,MYS,527.0
ARE,NLD,580.0
ARE,NOR,434.0
ARE,NZL,356.0
ARE,PAN,370.0
ARE,PER,372.0
ARE,PHL,342.0
ARE,POL,388.0
ARE,PRT,458.0
ARE,QAT,246.0
ARE,QAZ,432.0
ARE,QCI,430.0
ARE,QMR,470.0
ARE,QRT,352.0
ARE,ROU,400.0
ARE,RUS,325.0
ARE,SAU,384.0
ARE,SGP,496.0
ARE,SRB,346.0
ARE,SVK,396.0
ARE,SVN,388.0
ARE,SWE,418.0
ARE,TAP,476.0
ARE,THA,350.0
ARE,TUR,350.0
ARE,UKR,417.0
ARE,URY,430.0
ARE,USA,388.0
ARE,VNM,518.0
ARG,AUS,443.0
ARG,AUT,352.0
ARG,BEL,451.0
ARG,BGR,368.0
ARG,BIH,374.0
ARG,BLR,435.0
ARG,BRA,328.0
ARG,BRN,366.0
ARG,CAN,603.0
ARG,CHE,390.0
ARG,CHL,428.0
ARG,COL,404.0
ARG,CRI,428.0
ARG,CZE,444.0
ARG,DEU,446.0
ARG,DNK,356.0
ARG,DOM,432.0
ARG,ESP,380.0
ARG,EST,404.0
ARG,FIN,506.0
ARG,FRA,416.0
ARG,GBR,442.0
ARG,GEO,430.0
ARG,GRC,336.0
ARG,HKG,600.0
ARG,HRV,388.0
ARG,HUN,374.0
ARG,IDN,476.0
ARG,IRL,360.0
ARG,ISL,470.0
ARG,ITA,387.0
ARG,JOR,386.0
ARG,JPN,641.0
ARG,KAZ,406.0
ARG,KOR,508.0
ARG,KSV,392.0
ARG,LTU,368.0
ARG,LUX,494.0
ARG,LVA,406.0
ARG,MAC,508.0
ARG,MAR,433.0
ARG,MDA,446.0
ARG,MEX,422.0
ARG,MLT,372.0
ARG,MNE,350.0
ARG,MYS,617.0
ARG,NLD,544.0
ARG,NOR,447.0
ARG,NZL,386.0
ARG,PAN,376.0
ARG,PER,462.0
ARG,PHL,392.0
ARG,POL,408.0
ARG,PRT,446.0
ARG,QAT,404.0
ARG,QAZ,398.0
ARG,QCI,524.0
ARG,QMR,396.0
ARG,QRT,449.0
ARG,ROU,376.0
ARG,RUS,363.0
ARG,SAU,324.0
ARG,SGP,492.0
ARG,SRB,420.0
ARG,SVK,396.0
ARG,SVN,356.0
ARG,SWE,453.0
ARG,TAP,470.0
ARG,THA,450.0
ARG,TUR,412.0
ARG,UKR,361.0
ARG,URY,360.0
ARG,USA,524.0
ARG,VNM,472.0
AUS,AUT,395.0
AUS,BEL,340.0
AUS,BGR,363.0
AUS,BIH,381.0
AUS,BLR,368.0
AUS,BRA,383.0
AUS,BRN,391.0
AUS,CAN,582.0
AUS,CHE,389.0
AUS,CHL,393.0
AUS,COL,243.0
AUS,CRI,433.0
AUS,CZE,331.0
AUS,DEU,421.0
AUS,DNK,317.0
AUS,DOM,411.0
AUS,ESP,361.0
AUS,EST,407.0
AUS,FIN,389.0
AUS,FRA,435.0
AUS,GBR,389.0
AUS,GEO,351.0
AUS,GRC,397.0
AUS,HKG,501.0
AUS,HRV,341.0
AUS,HUN,407.0
AUS,IDN,299.0
AUS,IRL,409.0
AUS,ISL,439.0
AUS,ITA,322.0
AUS,JOR,409.0
AUS,JPN,516.0
AUS,KAZ,403.0
AUS,KOR,571.0
AUS,KSV,405.0
AUS,LTU,365.0
AUS,LUX,463.0
AUS,LVA,337.0
AUS,MAC,383.0
AUS,MAR,430.0
AUS,MDA,485.0
AUS,MEX,347.0
AUS,MLT,417.0
AUS,MNE,429.0
AUS,MYS,506.0
AUS,NLD,539.0
AUS,NOR,441.0
AUS,NZL,383.0
AUS,PAN,451.0
AUS,PER,401.0
AUS,PHL,343.0
AUS,POL,353.0
AUS,PRT,489.0
AUS,QAT,421.0
AUS,QAZ,423.0
AUS,QCI,449.0
AUS,QMR,471.0
AUS,QRT,365.0
AUS,ROU,373.0
AUS,RUS,374.0
AUS,SAU,425.0
AUS,SGP,429.0
AUS,SRB,385.0
AUS,SVK,379.0
AUS,SVN,425.0
AUS,SWE,503.0
AUS,TAP,547.0
AUS,THA,441.0
AUS,TUR,391.0
AUS,UKR,352.0
AUS,URY,437.0
AUS,USA,361.0
AUS,VNM,459.0
AUT,BEL,427.0
AUT,BGR,414.0
AUT,BIH,374.0
AUT,BLR,417.0
AUT,BRA,388.0
AUT,BRN,322.0
AUT,CAN,547.0
AUT,CHE,410.0
AUT,CHL,368.0
AUT,COL,428.0
AUT,CRI,398.0
AUT,CZE,396.0
AUT,DEU,402.0
