Country1,Country2,Footrule
ALB,ARE,338.0
ALB,ARG,436.0
ALB,AUS,415.0
ALB,AUT,404.0
ALB,BEL,447.0
ALB,BGR,396.0
ALB,BIH,354.0
ALB,BLR,493.0
ALB,BRA,334.0
ALB,BRN,406.0
ALB,CAN,543.0
ALB,CHE,464.0
ALB,CHL,462.0
ALB,COL,378.0
ALB,CRI,562.0
ALB,CZE,456.0
ALB,DEU,452.0
ALB,DNK,542.0
ALB,DOM,484.0
ALB,ESP,482.0
ALB,EST,490.0
ALB,FIN,409.0
ALB,FRA,414.0
ALB,GBR,482.0
ALB,GEO,406.0
ALB,GRC,296.0
ALB,HKG,468.0
ALB,HRV,386.0
ALB,HUN,402.0
ALB,IDN,458.0
ALB,IRL,492.0
ALB,ISL,396.0
ALB,ITA,345.0
ALB,JOR,332.0
ALB,JPN,515.0
ALB,KAZ,390.0
ALB,KOR,565.0
ALB,KSV,348.0
ALB,LTU,378.0
ALB,LUX,476.0
ALB,LVA,464.0
ALB,MAC,590.0
ALB,MAR,389.0
ALB,MDA,436.0
ALB,MEX,384.0
ALB,MLT,395.0
ALB,MNE,416.0
ALB,MYS,447.0
ALB,NLD,530.0
ALB,NOR,537.0
ALB,NZL,378.0
ALB,PAN,500.0
ALB,PER,416.0
ALB,PHL,466.0
ALB,POL,466.0
ALB,PRT,554.0
ALB,QAT,354.0
ALB,QAZ,356.0
ALB,QCI,552.0
ALB,QMR,466.0
ALB,QRT,426.0
ALB,ROU,471.0
ALB,RUS,353.0
ALB,SAU,364.0
ALB,SGP,502.0
ALB,SRB,332.0
ALB,SVK,388.0
ALB,SVN,413.0
ALB,SWE,468.0
ALB,TAP,478.0
ALB,THA,504.0
ALB,TUR,388.0
ALB,UKR,459.0
ALB,URY,366.0
ALB,USA,520.0
ALB,VNM,588.0
ARE,ARG,424.0
ARE,AUS,373.0
ARE,AUT,318.0
ARE,BEL,555.0
ARE,BGR,272.0
ARE,BIH,314.0
ARE,BLR,389.0
ARE,BRA,304.0
ARE,BRN,358.0
ARE,CAN,521.0
ARE,CHE,376.0
ARE,CHL,360.0
ARE,COL,390.0
ARE,CRI,528.0
ARE,CZE,408.0
ARE,DEU,486.0
ARE,DNK,380.0
ARE,DOM,468.0
ARE,ESP,390.0
ARE,EST,450.0
ARE,FIN,371.0
ARE,FRA,368.0
ARE,GBR,322.0
ARE,GEO,298.0
ARE,GRC,286.0
ARE,HKG,380.0
ARE,HRV,394.0
ARE,HUN,394.0
ARE,IDN,358.0
ARE,IRL,420.0
ARE,ISL,368.0
ARE,ITA,351.0
ARE,JOR,332.0
ARE,JPN,471.0
ARE,KAZ,324.0
ARE,KOR,547.0
ARE,KSV,330.0
ARE,LTU,304.0
ARE,LUX,424.0
ARE,LVA,422.0
ARE,MAC,508.0
ARE,MAR,453.0
ARE,MDA,396.0
ARE,MEX,330.0
ARE,MLT,287.0
ARE,MNE,344.0
ARE,MYS,407.0
ARE,NLD,460.0
ARE,NOR,512.0
ARE,NZL,368.0
ARE,PAN,520.0
ARE,PER,392.0
ARE,PHL,508.0
ARE,POL,390.0
ARE,PRT,484.0
ARE,QAT,320.0
ARE,QAZ,410.0
ARE,QCI,382.0
ARE,QMR,456.0
ARE,QRT,380.0
ARE,ROU,391.0
ARE,RUS,347.0
ARE,SAU,390.0
ARE,SGP,488.0
ARE,SRB,298.0
ARE,SVK,376.0
ARE,SVN,349.0
ARE,SWE,416.0
ARE,TAP,420.0
ARE,THA,390.0
ARE,TUR,370.0
ARE,UKR,441.0
ARE,URY,388.0
ARE,USA,464.0
ARE,VNM,582.0
ARG,AUS,451.0
ARG,AUT,436.0
ARG,BEL,499.0
ARG,BGR,406.0
ARG,BIH,366.0
ARG,BLR,445.0
ARG,BRA,404.0
ARG,BRN,446.0
ARG,CAN,503.0
ARG,CHE,340.0
ARG,CHL,360.0
ARG,COL,326.0
ARG,CRI,430.0
ARG,CZE,404.0
ARG,DEU,414.0
ARG,DNK,442.0
ARG,DOM,398.0
ARG,ESP,318.0
ARG,EST,418.0
ARG,FIN,442.0
ARG,FRA,406.0
ARG,GBR,412.0
ARG,GEO,430.0
ARG,GRC,382.0
ARG,HKG,418.0
ARG,HRV,358.0
ARG,HUN,378.0
ARG,IDN,410.0
ARG,IRL,380.0
ARG,ISL,446.0
ARG,ITA,425.0
ARG,JOR,384.0
ARG,JPN,553.0
ARG,KAZ,386.0
ARG,KOR,562.0
ARG,KSV,432.0
ARG,LTU,424.0
ARG,LUX,362.0
ARG,LVA,448.0
ARG,MAC,586.0
ARG,MAR,399.0
ARG,MDA,488.0
ARG,MEX,414.0
ARG,MLT,406.0
ARG,MNE,466.0
ARG,MYS,463.0
ARG,NLD,400.0
ARG,NOR,514.0
ARG,NZL,384.0
ARG,PAN,378.0
ARG,PER,332.0
ARG,PHL,504.0
ARG,POL,404.0
ARG,PRT,406.0
ARG,QAT,432.0
ARG,QAZ,456.0
ARG,QCI,454.0
ARG,QMR,430.0
ARG,QRT,396.0
ARG,ROU,478.0
ARG,RUS,465.0
ARG,SAU,378.0
ARG,SGP,528.0
ARG,SRB,360.0
ARG,SVK,364.0
ARG,SVN,378.0
ARG,SWE,418.0
ARG,TAP,444.0
ARG,THA,454.0
ARG,TUR,452.0
ARG,UKR,383.0
ARG,URY,430.0
ARG,USA,540.0
ARG,VNM,564.0
AUS,AUT,335.0
AUS,BEL,516.0
AUS,BGR,409.0
AUS,BIH,435.0
AUS,BLR,488.0
AUS,BRA,381.0
AUS,BRN,415.0
AUS,CAN,554.0
AUS,CHE,385.0
AUS,CHL,441.0
AUS,COL,389.0
AUS,CRI,467.0
AUS,CZE,329.0
AUS,DEU,387.0
AUS,DNK,341.0
AUS,DOM,461.0
AUS,ESP,373.0
AUS,EST,437.0
AUS,FIN,457.0
AUS,FRA,371.0
AUS,GBR,375.0
AUS,GEO,445.0
AUS,GRC,391.0
AUS,HKG,467.0
AUS,HRV,475.0
AUS,HUN,483.0
AUS,IDN,425.0
AUS,IRL,373.0
AUS,ISL,371.0
AUS,ITA,262.0
AUS,JOR,487.0
AUS,JPN,532.0
AUS,KAZ,327.0
AUS,KOR,501.0
AUS,KSV,495.0
AUS,LTU,387.0
AUS,LUX,471.0
AUS,LVA,381.0
AUS,MAC,581.0
AUS,MAR,392.0
AUS,MDA,493.0
AUS,MEX,365.0
AUS,MLT,431.0
AUS,MNE,429.0
AUS,MYS,440.0
AUS,NLD,375.0
AUS,NOR,565.0
AUS,NZL,329.0
AUS,PAN,435.0
AUS,PER,337.0
AUS,PHL,471.0
AUS,POL,377.0
AUS,PRT,449.0
AUS,QAT,413.0
AUS,QAZ,385.0
AUS,QCI,589.0
AUS,QMR,447.0
AUS,QRT,421.0
AUS,ROU,449.0
AUS,RUS,440.0
AUS,SAU,433.0
AUS,SGP,495.0
AUS,SRB,443.0
AUS,SVK,407.0
AUS,SVN,377.0
AUS,SWE,385.0
AUS,TAP,533.0
AUS,THA,457.0
AUS,TUR,393.0
AUS,UKR,378.0
AUS,URY,395.0
AUS,USA,423.0
AUS,VNM,577.0
AUT,BEL,493.0
AUT,BGR,352.0
AUT,BIH,406.0
AUT,BLR,401.0
AUT,BRA,290.0
AUT,BRN,348.0
AUT,CAN,519.0
AUT,CHE,348.0
AUT,CHL,338.0
AUT,COL,336.0
AUT,CRI,472.0
AUT,CZE,346.0
AUT,DEU,456.0
AUT,DNK,306.0
AUT,DOM,538.0
AUT,ESP,306.0
AUT,EST,502.0
AUT,FIN,407.0
AUT,FRA,308.0
AUT,GBR,372.0
AUT,GEO,422.0
AUT,GRC,412.0
AUT,HKG,370.0
AUT,HRV,404.0
AUT,HUN,372.0
AUT,IDN,382.0
AUT,IRL,368.0
AUT,ISL,310.0
AUT,ITA,389.0
AUT,JOR,372.0
AUT,JPN,479.0
AUT,KAZ,382.0
AUT,KOR,490.0
AUT,KSV,392.0
AUT,LTU,344.0
AUT,LUX,384.0
AUT,LVA,356.0
AUT,MAC,522.0
AUT,MAR,379.0
AUT,MDA,394.0
AUT,MEX,322.0
AUT,MLT,348.0
AUT,MNE,386.0
AUT,MYS,411.0
AUT,NLD,406.0
AUT,NOR,560.0
AUT,NZL,312.0
AUT,PAN,470.0
AUT,PER,400.0
AUT,PHL,452.0
AUT,POL,338.0
AUT,PRT,434.0
AUT,QAT,406.0
AUT,QAZ,406.0
AUT,QCI,464.0
AUT,QMR,472.0
AUT,QRT,426.0
AUT,ROU,454.0
AUT,RUS,419.0
AUT,SAU,448.0
AUT,SGP,496.0
AUT,SRB,330.0
AUT,SVK,384.0
AUT,SVN,383.0
AUT,SWE,353.0
AUT,TAP,408.0
AUT,THA,486.0
AUT,TUR,342.0
AUT,UKR,457.0
AUT,URY,418.0
AUT,USA,462.0
AUT,VNM,634.0
BEL,BGR,575.0
BEL,BIH,475.0
BEL,BLR,462.0
BEL,BRA,417.0
BEL,BRN,497.0
BEL,CAN,610.0
BEL,CHE,417.0
BEL,CHL,495.0
BEL,COL,489.0
BEL,CRI,475.0
BEL,CZE,507.0
BEL,DEU,527.0
BEL,DNK,569.0
BEL,DOM,541.0
BEL,ESP,503.0
BEL,EST,585.0
BEL,FIN,501.0
BEL,FRA,541.0
BEL,GBR,559.0
BEL,GEO,533.0
BEL,GRC,511.0
