Country1,Country2,Footrule
ALB,ARE,378.0
ALB,ARG,500.0
ALB,AUS,517.0
ALB,AUT,524.0
ALB,BEL,487.0
ALB,BGR,502.0
ALB,BIH,418.0
ALB,BLR,519.0
ALB,BRA,444.0
ALB,BRN,518.0
ALB,CAN,573.0
ALB,CHE,418.0
ALB,CHL,504.0
ALB,COL,386.0
ALB,CRI,496.0
ALB,CZE,522.0
ALB,DEU,546.0
ALB,DNK,453.0
ALB,DOM,438.0
ALB,ESP,426.0
ALB,EST,330.0
ALB,FIN,522.0
ALB,FRA,460.0
ALB,GBR,456.0
ALB,GEO,444.0
ALB,GRC,402.0
ALB,HKG,420.0
ALB,HRV,462.0
ALB,HUN,466.0
ALB,IDN,432.0
ALB,IRL,554.0
ALB,ISL,466.0
ALB,ITA,437.0
ALB,JOR,380.0
ALB,JPN,567.0
ALB,KAZ,438.0
ALB,KOR,483.0
ALB,KSV,338.0
ALB,LTU,438.0
ALB,LUX,522.0
ALB,LVA,471.0
ALB,MAC,488.0
ALB,MAR,411.0
ALB,MDA,534.0
ALB,MEX,556.0
ALB,MLT,396.0
ALB,MNE,504.0
ALB,MYS,493.0
ALB,NLD,540.0
ALB,NOR,610.0
ALB,NZL,484.0
ALB,PAN,514.0
ALB,PER,428.0
ALB,PHL,566.0
ALB,POL,479.0
ALB,PRT,568.0
ALB,QAT,388.0
ALB,QAZ,414.0
ALB,QCI,504.0
ALB,QMR,535.0
ALB,QRT,429.0
ALB,ROU,452.0
ALB,RUS,415.0
ALB,SAU,430.0
ALB,SGP,407.0
ALB,SRB,344.0
ALB,SVK,522.0
ALB,SVN,426.0
ALB,SWE,482.0
ALB,TAP,500.0
ALB,THA,530.0
ALB,TUR,538.0
ALB,UKR,477.0
ALB,URY,426.0
ALB,USA,478.0
ALB,VNM,606.0
ARE,ARG,402.0
ARE,AUS,441.0
ARE,AUT,344.0
ARE,BEL,507.0
ARE,BGR,378.0
ARE,BIH,386.0
ARE,BLR,459.0
ARE,BRA,352.0
ARE,BRN,456.0
ARE,CAN,489.0
ARE,CHE,394.0
ARE,CHL,358.0
ARE,COL,280.0
ARE,CRI,384.0
ARE,CZE,452.0
ARE,DEU,378.0
ARE,DNK,294.0
ARE,DOM,356.0
ARE,ESP,324.0
ARE,EST,344.0
ARE,FIN,394.0
ARE,FRA,430.0
ARE,GBR,350.0
ARE,GEO,366.0
ARE,GRC,386.0
ARE,HKG,386.0
ARE,HRV,394.0
ARE,HUN,322.0
ARE,IDN,374.0
ARE,IRL,440.0
ARE,ISL,384.0
ARE,ITA,353.0
ARE,JOR,324.0
ARE,JPN,457.0
ARE,KAZ,360.0
ARE,KOR,538.0
ARE,KSV,338.0
ARE,LTU,342.0
ARE,LUX,436.0
ARE,LVA,388.0
ARE,MAC,428.0
ARE,MAR,397.0
ARE,MDA,464.0
ARE,MEX,394.0
ARE,MLT,316.0
ARE,MNE,328.0
ARE,MYS,433.0
ARE,NLD,470.0
ARE,NOR,511.0
ARE,NZL,348.0
ARE,PAN,468.0
ARE,PER,444.0
ARE,PHL,566.0
ARE,POL,428.0
ARE,PRT,478.0
ARE,QAT,190.0
ARE,QAZ,338.0
ARE,QCI,522.0
ARE,QMR,542.0
ARE,QRT,286.0
ARE,ROU,344.0
ARE,RUS,345.0
ARE,SAU,334.0
ARE,SGP,421.0
ARE,SRB,330.0
ARE,SVK,338.0
ARE,SVN,308.0
ARE,SWE,436.0
ARE,TAP,416.0
ARE,THA,402.0
ARE,TUR,456.0
ARE,UKR,451.0
ARE,URY,466.0
ARE,USA,450.0
ARE,VNM,576.0
ARG,AUS,401.0
ARG,AUT,364.0
ARG,BEL,595.0
ARG,BGR,330.0
ARG,BIH,392.0
ARG,BLR,483.0
ARG,BRA,368.0
ARG,BRN,474.0
ARG,CAN,587.0
ARG,CHE,514.0
ARG,CHL,408.0
ARG,COL,312.0
ARG,CRI,462.0
ARG,CZE,454.0
ARG,DEU,342.0
ARG,DNK,396.0
ARG,DOM,384.0
ARG,ESP,300.0
ARG,EST,476.0
ARG,FIN,498.0
ARG,FRA,356.0
ARG,GBR,428.0
ARG,GEO,466.0
ARG,GRC,434.0
ARG,HKG,546.0
ARG,HRV,396.0
ARG,HUN,448.0
ARG,IDN,440.0
ARG,IRL,490.0
ARG,ISL,482.0
ARG,ITA,383.0
ARG,JOR,370.0
ARG,JPN,537.0
ARG,KAZ,418.0
ARG,KOR,508.0
ARG,KSV,484.0
ARG,LTU,364.0
ARG,LUX,458.0
ARG,LVA,404.0
ARG,MAC,556.0
ARG,MAR,387.0
ARG,MDA,500.0
ARG,MEX,336.0
ARG,MLT,432.0
ARG,MNE,422.0
ARG,MYS,467.0
ARG,NLD,635.0
ARG,NOR,563.0
ARG,NZL,340.0
ARG,PAN,392.0
ARG,PER,424.0
ARG,PHL,584.0
ARG,POL,510.0
ARG,PRT,484.0
ARG,QAT,370.0
ARG,QAZ,392.0
ARG,QCI,492.0
ARG,QMR,508.0
ARG,QRT,370.0
ARG,ROU,458.0
ARG,RUS,397.0
ARG,SAU,382.0
ARG,SGP,538.0
ARG,SRB,380.0
ARG,SVK,356.0
ARG,SVN,362.0
ARG,SWE,466.0
ARG,TAP,538.0
ARG,THA,424.0
ARG,TUR,460.0
ARG,UKR,379.0
ARG,URY,374.0
ARG,USA,580.0
ARG,VNM,560.0
AUS,AUT,397.0
AUS,BEL,400.0
AUS,BGR,521.0
AUS,BIH,425.0
AUS,BLR,476.0
AUS,BRA,419.0
AUS,BRN,451.0
AUS,CAN,622.0
AUS,CHE,467.0
AUS,CHL,471.0
AUS,COL,399.0
AUS,CRI,535.0
AUS,CZE,461.0
AUS,DEU,427.0
AUS,DNK,419.0
AUS,DOM,399.0
AUS,ESP,419.0
AUS,EST,397.0
AUS,FIN,471.0
AUS,FRA,509.0
AUS,GBR,411.0
AUS,GEO,505.0
AUS,GRC,501.0
AUS,HKG,639.0
AUS,HRV,447.0
AUS,HUN,451.0
AUS,IDN,531.0
AUS,IRL,515.0
AUS,ISL,495.0
AUS,ITA,428.0
AUS,JOR,493.0
AUS,JPN,488.0
AUS,KAZ,483.0
AUS,KOR,577.0
AUS,KSV,511.0
AUS,LTU,403.0
AUS,LUX,559.0
AUS,LVA,427.0
AUS,MAC,513.0
AUS,MAR,382.0
AUS,MDA,501.0
AUS,MEX,407.0
AUS,MLT,399.0
AUS,MNE,499.0
AUS,MYS,352.0
AUS,NLD,555.0
AUS,NOR,533.0
AUS,NZL,323.0
AUS,PAN,417.0
AUS,PER,523.0
AUS,PHL,579.0
AUS,POL,473.0
AUS,PRT,525.0
AUS,QAT,471.0
AUS,QAZ,445.0
AUS,QCI,617.0
AUS,QMR,531.0
AUS,QRT,475.0
AUS,ROU,405.0
AUS,RUS,414.0
AUS,SAU,441.0
AUS,SGP,514.0
AUS,SRB,427.0
AUS,SVK,429.0
AUS,SVN,433.0
AUS,SWE,497.0
AUS,TAP,543.0
AUS,THA,481.0
AUS,TUR,519.0
AUS,UKR,468.0
AUS,URY,525.0
AUS,USA,459.0
AUS,VNM,581.0
AUT,BEL,483.0
AUT,BGR,392.0
AUT,BIH,340.0
AUT,BLR,413.0
AUT,BRA,422.0
AUT,BRN,368.0
AUT,CAN,515.0
AUT,CHE,416.0
AUT,CHL,316.0
AUT,COL,370.0
AUT,CRI,448.0
AUT,CZE,386.0
AUT,DEU,362.0
AUT,DNK,247.0
AUT,DOM,334.0
AUT,ESP,290.0
AUT,EST,388.0
AUT,FIN,518.0
AUT,FRA,328.0
AUT,GBR,420.0
AUT,GEO,354.0
AUT,GRC,392.0
AUT,HKG,542.0
AUT,HRV,396.0
AUT,HUN,382.0
AUT,IDN,410.0
AUT,IRL,466.0
AUT,ISL,324.0
AUT,ITA,333.0
AUT,JOR,346.0
AUT,JPN,511.0
AUT,KAZ,374.0
AUT,KOR,585.0
AUT,KSV,464.0
AUT,LTU,344.0
AUT,LUX,454.0
AUT,LVA,334.0
AUT,MAC,462.0
AUT,MAR,459.0
AUT,MDA,456.0
AUT,MEX,380.0
AUT,MLT,288.0
AUT,MNE,326.0
AUT,MYS,381.0
AUT,NLD,485.0
AUT,NOR,532.0
AUT,NZL,326.0
AUT,PAN,428.0
AUT,PER,510.0
AUT,PHL,588.0
AUT,POL,446.0
AUT,PRT,498.0
AUT,QAT,372.0
AUT,QAZ,460.0
AUT,QCI,504.0
AUT,QMR,496.0
AUT,QRT,366.0
AUT,ROU,438.0
AUT,RUS,345.0
AUT,SAU,378.0
AUT,SGP,511.0
AUT,SRB,358.0
AUT,SVK,314.0
AUT,SVN,292.0
AUT,SWE,475.0
AUT,TAP,478.0
AUT,THA,454.0
AUT,TUR,442.0
AUT,UKR,397.0
AUT,URY,498.0
AUT,USA,494.0
AUT,VNM,532.0
BEL,BGR,585.0
BEL,BIH,477.0
BEL,BLR,498.0
BEL,BRA,457.0
BEL,BRN,527.0
BEL,CAN,676.0
BEL,CHE,473.0
BEL,CHL,493.0
BEL,COL,505.0
BEL,CRI,463.0
BEL,CZE,521.0
BEL,DEU,439.0
BEL,DNK,495.0
BEL,DOM,459.0
BEL,ESP,509.0
BEL,EST,425.0
BEL,FIN,529.0
BEL,FRA,551.0
BEL,GBR,551.0
BEL,GEO,485.0
BEL,GRC,487.0
BEL,HKG,541.0
BEL,HRV,487.0
BEL,HUN,503.0
BEL,IDN,511.0
BEL,IRL,513.0
BEL,ISL,535.0
BEL,ITA,484.0
BEL,JOR,483.0
BEL,JPN,648.0
BEL,KAZ,563.0
BEL,KOR,569.0
BEL,KSV,501.0
BEL,LTU,467.0
BEL,LUX,511.0
BEL,LVA,521.0
BEL,MAC,475.0
BEL,MAR,536.0
BEL,MDA,625.0
BEL,MEX,493.0
BEL,MLT,421.0
BEL,MNE,573.0
BEL,MYS,552.0
BEL,NLD,523.0
BEL,NOR,608.0
BEL,NZL,493.0
BEL,PAN,493.0
BEL,PER,553.0
BEL,PHL,583.0
BEL,POL,469.0
BEL,PRT,477.0
BEL,QAT,529.0
BEL,QAZ,517.0
BEL,QCI,561.0
BEL,QMR,551.0
BEL,QRT,489.0
BEL,ROU,437.0
BEL,RUS,486.0
BEL,SAU,569.0
BEL,SGP,460.0
BEL,SRB,501.0
BEL,SVK,499.0
BEL,SVN,473.0
BEL,SWE,531.0
BEL,TAP,517.0
BEL,THA,525.0
BEL,TUR,543.0
BEL,UKR,550.0
BEL,URY,581.0
BEL,USA,473.0
BEL,VNM,739.0
BGR,BIH,342.0
BGR,BLR,547.0
BGR,BRA,484.0
