Country1,Country2,Footrule
ALB,ARE,420.0
ALB,ARG,522.0
ALB,AUS,507.0
ALB,AUT,488.0
ALB,BEL,481.0
ALB,BGR,522.0
ALB,BIH,456.0
ALB,BLR,579.0
ALB,BRA,428.0
ALB,BRN,468.0
ALB,CAN,531.0
ALB,CHE,458.0
ALB,CHL,506.0
ALB,COL,450.0
ALB,CRI,550.0
ALB,CZE,586.0
ALB,DEU,488.0
ALB,DNK,494.0
ALB,DOM,406.0
ALB,ESP,484.0
ALB,EST,586.0
ALB,FIN,580.0
ALB,FRA,542.0
ALB,GBR,504.0
ALB,GEO,502.0
ALB,GRC,438.0
ALB,HKG,636.0
ALB,HRV,484.0
ALB,HUN,532.0
ALB,IDN,464.0
ALB,IRL,526.0
ALB,ISL,548.0
ALB,ITA,391.0
ALB,JOR,400.0
ALB,JPN,551.0
ALB,KAZ,464.0
ALB,KOR,534.0
ALB,KSV,372.0
ALB,LTU,480.0
ALB,LUX,456.0
ALB,LVA,554.0
ALB,MAC,554.0
ALB,MAR,353.0
ALB,MDA,526.0
ALB,MEX,468.0
ALB,MLT,460.0
ALB,MNE,506.0
ALB,MYS,511.0
ALB,NLD,640.0
ALB,NOR,602.0
ALB,NZL,426.0
ALB,PAN,420.0
ALB,PER,522.0
ALB,PHL,526.0
ALB,POL,466.0
ALB,PRT,542.0
ALB,QAT,462.0
ALB,QAZ,468.0
ALB,QCI,560.0
ALB,QMR,492.0
ALB,QRT,388.0
ALB,ROU,454.0
ALB,RUS,473.0
ALB,SAU,464.0
ALB,SGP,532.0
ALB,SRB,404.0
ALB,SVK,516.0
ALB,SVN,434.0
ALB,SWE,576.0
ALB,TAP,506.0
ALB,THA,464.0
ALB,TUR,450.0
ALB,UKR,539.0
ALB,URY,382.0
ALB,USA,570.0
ALB,VNM,526.0
ARE,ARG,398.0
ARE,AUS,331.0
ARE,AUT,338.0
ARE,BEL,429.0
ARE,BGR,346.0
ARE,BIH,324.0
ARE,BLR,425.0
ARE,BRA,372.0
ARE,BRN,410.0
ARE,CAN,465.0
ARE,CHE,396.0
ARE,CHL,422.0
ARE,COL,296.0
ARE,CRI,366.0
ARE,CZE,430.0
ARE,DEU,374.0
ARE,DNK,370.0
ARE,DOM,378.0
ARE,ESP,300.0
ARE,EST,400.0
ARE,FIN,400.0
ARE,FRA,354.0
ARE,GBR,322.0
ARE,GEO,394.0
ARE,GRC,348.0
ARE,HKG,514.0
ARE,HRV,374.0
ARE,HUN,428.0
ARE,IDN,344.0
ARE,IRL,402.0
ARE,ISL,420.0
ARE,ITA,351.0
ARE,JOR,278.0
ARE,JPN,515.0
ARE,KAZ,342.0
ARE,KOR,434.0
ARE,KSV,370.0
ARE,LTU,308.0
ARE,LUX,354.0
ARE,LVA,400.0
ARE,MAC,436.0
ARE,MAR,437.0
ARE,MDA,448.0
ARE,MEX,378.0
ARE,MLT,322.0
ARE,MNE,336.0
ARE,MYS,349.0
