,SumWeight
BELONG,89.0
ST004D01T,69.1
PV1READ,54.0
DISCLIMA,51.300000000000004
ST206Q01HA,41.2
ST207Q01HA,40.2
EMOSUPS,29.500000000000004
ST207Q03HA,24.7
SCREADDIFF,22.400000000000002
ST207Q02HA,21.5
PERCOOP,20.5
PERCOMP,18.500000000000004
ST207Q04HA,14.6
GFOFAIL,10.6
PV1MATH,9.8
PV1SCIE,9.799999999999999
EDUSHORT,8.899999999999999
ST207Q05HA,7.8
SWBP,7.799999999999999
GRADE,6.8999999999999995
REPEAT,2.9
ATTLNACT,1.0
COMPETE,1.0
DIRINS,1.0
METASUM,1.0
EUDMO,1.0
RATCMP2,1.0
JOYREAD,1.0
RESILIENCE,1.0
SCREADCOMP,1.0
ST185Q01HA,1.0
ST184Q01HA,1.0
TEACHSUP,1.0
WORKMAST,1.0
