,SumWeight
BELONG,75.0
ST004D01T,69.0
DISCLIMA,64.0
ST206Q01HA,32.1
ST207Q02HA,27.3
ST207Q01HA,27.299999999999997
EMOSUPS,17.5
ST207Q04HA,17.5
PV1READ,14.6
GRADE,13.6
GFOFAIL,10.5
PERCOOP,9.6
PERCOMP,9.6
METASUM,6.6
PV1MATH,6.5
AGE,5.7
ST185Q01HA,4.7
ST184Q01HA,4.7
DURECEC,4.7
TEACHSUP,4.7
SWBP,4.6000000000000005
ST207Q03HA,4.6000000000000005
ATTLNACT,3.7
SCREADDIFF,3.7
EDUSHORT,3.7
RATCMP2,3.6000000000000005
TEACHINT,2.7
EUDMO,1.7000000000000002
COMPETE,1.7000000000000002
BSMJ,0.8
JOYREAD,0.8
REPEAT,0.8
PV1SCIE,0.8
MASTGOAL,0.8
METASPAM,0.8
SCREADCOMP,0.8
ST207Q05HA,0.8
UNDREM,0.8
WORKMAST,0.8
