,SumWeight
BELONG,70.0
SWBP,51.1
ST207Q01HA,38.1
DISCLIMA,34.2
GFOFAIL,29.200000000000003
PERCOMP,24.3
ST207Q05HA,23.200000000000003
PV1MATH,16.299999999999997
ST207Q03HA,12.499999999999998
EMOSUPS,12.4
ST207Q02HA,11.499999999999998
PERCOOP,11.499999999999998
PV1SCIE,9.5
SCREADCOMP,7.599999999999999
PV1READ,6.5
ST004D01T,6.5
ADAPTIVITY,6.499999999999999
ST185Q01HA,5.6
ST207Q04HA,4.499999999999998
TEACHINT,3.6
TEACHSUP,3.5
SCREADDIFF,2.6000000000000005
GRADE,1.6000000000000005
ST184Q01HA,1.6
BSMJ,1.6
ATTLNACT,0.7
METASUM,0.7
REPEAT,0.7
ST206Q01HA,0.7
UNDREM,0.7
WORKMAST,0.7
