,SumWeight
BELONG,531.1
ST004D01T,392.30000000000007
EMOSUPS,380.9000000000001
PV1READ,342.20000000000005
ST207Q02HA,301.80000000000007
PERCOMP,223.00000000000003
ST207Q03HA,218.4
ST206Q01HA,216.70000000000002
ST207Q01HA,176.29999999999998
PERCOOP,146.89999999999998
ST207Q04HA,133.2
ST207Q05HA,131.2
DISCLIMA,112.0
SCREADDIFF,63.4
ATTLNACT,53.5
SWBP,49.7
PV1MATH,47.8
PV1SCIE,44.4
REPEAT,37.8
ST184Q01HA,36.9
ST185Q01HA,27.3
GRADE,24.3
GFOFAIL,21.300000000000004
METASPAM,15.499999999999998
UNDREM,15.499999999999998
METASUM,15.399999999999997
WORKMAST,13.399999999999997
EUDMO,12.399999999999999
RATCMP2,11.599999999999998
MASTGOAL,10.499999999999996
TEACHSUP,9.599999999999998
TEACHINT,8.6
EDUSHORT,8.599999999999998
STIMREAD,8.599999999999998
PERFEED,8.599999999999998
COMPETE,8.499999999999998
RATCMP1,6.699999999999998
