,SumWeight
BELONG,97.0
DISCLIMA,70.0
ST004D01T,59.1
GFOFAIL,51.0
EMOSUPS,34.400000000000006
ST207Q01HA,32.400000000000006
ST207Q02HA,29.4
SWBP,26.500000000000004
ST207Q04HA,19.700000000000003
ST185Q01HA,18.799999999999997
PERCOMP,16.5
ST207Q03HA,13.7
ST207Q05HA,12.799999999999999
ST184Q01HA,8.9
EDUSHORT,7.8999999999999995
ST206Q01HA,6.8999999999999995
JOYREAD,6.8999999999999995
PV1SCIE,6.8
SCREADCOMP,5.8999999999999995
PV1READ,5.8999999999999995
GRADE,4.8999999999999995
MASTGOAL,4.8999999999999995
WORKMAST,4.8999999999999995
COMPETE,4.8
PV1MATH,3.9000000000000004
EUDMO,3.9
REPEAT,3.8000000000000003
METASUM,2.8000000000000003
TEACHINT,1.9000000000000004
METASPAM,1.9000000000000004
PERCOOP,1.9000000000000004
ATTLNACT,1.9000000000000004
DURECEC,1.0
BSMJ,1.0
AGE,1.0
RATCMP2,1.0
RESILIENCE,1.0
SCREADDIFF,1.0
TEACHSUP,1.0
UNDREM,1.0
