Country,Cluster,IsMedoid
ALB,0,False
ARE,1,False
ARG,0,False
AUS,0,False
AUT,0,False
BEL,0,False
BGR,0,False
BIH,0,False
BLR,0,False
BRA,0,True
BRN,1,False
CAN,2,False
CHE,0,False
CHL,0,False
COL,0,False
CRI,0,False
CZE,0,False
DEU,0,False
DNK,0,False
DOM,0,False
ESP,0,False
EST,0,False
FIN,2,False
FRA,0,False
GBR,2,False
GEO,0,False
GRC,0,False
HKG,0,False
HRV,0,False
HUN,0,False
IDN,1,True
IRL,0,False
ISL,0,False
ITA,0,False
JOR,0,False
JPN,2,True
KAZ,0,False
KOR,2,False
KSV,0,False
LTU,0,False
LUX,0,False
LVA,0,False
MAC,1,False
MAR,0,False
MDA,0,False
MEX,0,False
MLT,0,False
MNE,0,False
MYS,2,False
NLD,0,False
NOR,0,False
NZL,0,False
PAN,0,False
PER,0,False
PHL,0,False
POL,0,False
PRT,0,False
QAT,0,False
QAZ,0,False
QCI,0,False
QMR,0,False
QRT,0,False
ROU,0,False
RUS,0,False
SAU,0,False
SGP,1,False
SRB,0,False
SVK,0,False
SVN,0,False
SWE,2,False
TAP,0,False
THA,1,False
TUR,0,False
UKR,0,False
URY,0,False
USA,1,False
VNM,1,False
