Country1,Country2,Footrule
ALB,ARE,140.0
ALB,ARG,184.0
ALB,AUS,166.0
ALB,AUT,194.0
ALB,BEL,198.0
ALB,BGR,174.0
ALB,BIH,170.0
ALB,BLR,198.0
ALB,BRA,138.0
ALB,BRN,168.0
ALB,CAN,194.0
ALB,CHE,208.0
ALB,CHL,158.0
ALB,COL,162.0
ALB,CRI,190.0
ALB,CZE,174.0
ALB,DEU,212.0
ALB,DNK,190.0
ALB,DOM,176.0
ALB,ESP,166.0
ALB,EST,168.0
ALB,FIN,214.0
ALB,FRA,228.0
ALB,GBR,216.0
ALB,GEO,200.0
ALB,GRC,156.0
ALB,HKG,168.0
ALB,HRV,162.0
ALB,HUN,134.0
ALB,IDN,190.0
ALB,IRL,190.0
ALB,ISL,232.0
ALB,ITA,164.0
ALB,JOR,74.0
ALB,JPN,108.0
ALB,KAZ,158.0
ALB,KSV,106.0
ALB,LTU,160.0
ALB,LUX,164.0
ALB,LVA,110.0
ALB,MAC,188.0
ALB,MAR,124.0
ALB,MDA,178.0
ALB,MEX,200.0
ALB,MLT,188.0
ALB,MNE,164.0
ALB,MYS,222.0
ALB,NLD,170.0
ALB,NOR,200.0
ALB,NZL,164.0
ALB,PAN,136.0
ALB,PER,144.0
ALB,PHL,202.0
ALB,POL,164.0
ALB,PRT,158.0
ALB,QAT,132.0
ALB,QAZ,130.0
ALB,QCI,222.0
ALB,QMR,206.0
ALB,QRT,160.0
ALB,ROU,134.0
ALB,RUS,158.0
ALB,SAU,170.0
ALB,SGP,196.0
ALB,SRB,116.0
ALB,SVK,176.0
ALB,SVN,164.0
ALB,SWE,194.0
ALB,TAP,218.0
ALB,THA,140.0
ALB,TUR,142.0
ALB,UKR,218.0
ALB,URY,138.0
ALB,USA,166.0
ALB,VNM,222.0
ARE,ARG,132.0
ARE,AUS,106.0
ARE,AUT,142.0
ARE,BEL,96.0
ARE,BGR,156.0
ARE,BIH,88.0
ARE,BLR,116.0
ARE,BRA,74.0
ARE,BRN,162.0
ARE,CAN,130.0
ARE,CHE,180.0
ARE,CHL,80.0
ARE,COL,46.0
ARE,CRI,82.0
ARE,CZE,174.0
ARE,DEU,150.0
ARE,DNK,158.0
ARE,DOM,146.0
ARE,ESP,148.0
ARE,EST,78.0
ARE,FIN,130.0
ARE,FRA,208.0
ARE,GBR,154.0
ARE,GEO,124.0
ARE,GRC,118.0
ARE,HKG,110.0
ARE,HRV,122.0
ARE,HUN,170.0
ARE,IDN,72.0
ARE,IRL,160.0
ARE,ISL,140.0
ARE,ITA,120.0
ARE,JOR,106.0
ARE,JPN,128.0
ARE,KAZ,78.0
ARE,KSV,100.0
ARE,LTU,76.0
ARE,LUX,138.0
ARE,LVA,114.0
ARE,MAC,104.0
ARE,MAR,106.0
ARE,MDA,150.0
ARE,MEX,86.0
ARE,MLT,132.0
ARE,MNE,144.0
ARE,MYS,90.0
ARE,NLD,98.0
ARE,NOR,112.0
ARE,NZL,80.0
ARE,PAN,176.0
ARE,PER,64.0
ARE,PHL,156.0
ARE,POL,132.0
ARE,PRT,134.0
ARE,QAT,40.0
ARE,QAZ,104.0
ARE,QCI,158.0
ARE,QMR,124.0
ARE,QRT,72.0
ARE,ROU,72.0
ARE,RUS,98.0
ARE,SAU,130.0
ARE,SGP,102.0
ARE,SRB,144.0
ARE,SVK,120.0
ARE,SVN,80.0
ARE,SWE,130.0
ARE,TAP,160.0
ARE,THA,106.0
ARE,TUR,56.0
ARE,UKR,160.0
ARE,URY,54.0
ARE,USA,100.0
ARE,VNM,160.0
ARG,AUS,92.0
ARG,AUT,130.0
ARG,BEL,128.0
ARG,BGR,130.0
ARG,BIH,102.0
ARG,BLR,74.0
ARG,BRA,66.0
ARG,BRN,166.0
ARG,CAN,128.0
ARG,CHE,196.0
ARG,CHL,92.0
ARG,COL,166.0
ARG,CRI,100.0
ARG,CZE,100.0
ARG,DEU,122.0
ARG,DNK,70.0
ARG,DOM,156.0
ARG,ESP,72.0
ARG,EST,124.0
ARG,FIN,104.0
ARG,FRA,110.0
ARG,GBR,96.0
ARG,GEO,136.0
ARG,GRC,158.0
ARG,HKG,134.0
ARG,HRV,130.0
ARG,HUN,122.0
ARG,IDN,186.0
ARG,IRL,92.0
ARG,ISL,146.0
ARG,ITA,142.0
ARG,JOR,186.0
ARG,JPN,114.0
ARG,KAZ,160.0
ARG,KSV,190.0
ARG,LTU,190.0
ARG,LUX,166.0
ARG,LVA,128.0
ARG,MAC,108.0
ARG,MAR,184.0
ARG,MDA,112.0
ARG,MEX,84.0
ARG,MLT,94.0
ARG,MNE,138.0
ARG,MYS,164.0
ARG,NLD,132.0
ARG,NOR,140.0
ARG,NZL,92.0
ARG,PAN,132.0
ARG,PER,160.0
ARG,PHL,178.0
ARG,POL,130.0
ARG,PRT,98.0
ARG,QAT,136.0
ARG,QAZ,160.0
ARG,QCI,110.0
ARG,QMR,166.0
ARG,QRT,124.0
ARG,ROU,120.0
ARG,RUS,64.0
ARG,SAU,162.0
ARG,SGP,132.0
ARG,SRB,132.0
ARG,SVK,142.0
ARG,SVN,120.0
ARG,SWE,76.0
ARG,TAP,136.0
ARG,THA,194.0
ARG,TUR,158.0
ARG,UKR,96.0
ARG,URY,84.0
ARG,USA,106.0
ARG,VNM,122.0
AUS,AUT,140.0
AUS,BEL,138.0
AUS,BGR,142.0
AUS,BIH,136.0
AUS,BLR,130.0
AUS,BRA,76.0
AUS,BRN,166.0
AUS,CAN,148.0
AUS,CHE,176.0
AUS,CHL,104.0
AUS,COL,138.0
AUS,CRI,128.0
AUS,CZE,112.0
AUS,DEU,176.0
AUS,DNK,92.0
AUS,DOM,158.0
AUS,ESP,134.0
AUS,EST,134.0
AUS,FIN,132.0
AUS,FRA,168.0
AUS,GBR,88.0
AUS,GEO,118.0
AUS,GRC,144.0
AUS,HKG,108.0
AUS,HRV,144.0
AUS,HUN,136.0
AUS,IDN,158.0
AUS,IRL,92.0
AUS,ISL,172.0
AUS,ITA,150.0
AUS,JOR,172.0
AUS,JPN,118.0
AUS,KAZ,118.0
AUS,KSV,202.0
AUS,LTU,148.0
AUS,LUX,136.0
AUS,LVA,106.0
AUS,MAC,106.0
AUS,MAR,138.0
AUS,MDA,86.0
AUS,MEX,140.0
AUS,MLT,100.0
AUS,MNE,172.0
AUS,MYS,132.0
AUS,NLD,128.0
AUS,NOR,166.0
AUS,NZL,66.0
AUS,PAN,142.0
AUS,PER,134.0
AUS,PHL,126.0
AUS,POL,164.0
AUS,PRT,100.0
AUS,QAT,118.0
AUS,QAZ,148.0
AUS,QCI,130.0
AUS,QMR,170.0
AUS,QRT,130.0
AUS,ROU,100.0
AUS,RUS,94.0
AUS,SAU,170.0
AUS,SGP,102.0
AUS,SRB,142.0
AUS,SVK,178.0
AUS,SVN,108.0
AUS,SWE,98.0
AUS,TAP,162.0
AUS,THA,172.0
AUS,TUR,144.0
AUS,UKR,130.0
AUS,URY,68.0
AUS,USA,102.0
AUS,VNM,96.0
AUT,BEL,144.0
AUT,BGR,144.0
AUT,BIH,74.0
AUT,BLR,134.0
AUT,BRA,158.0
AUT,BRN,190.0
AUT,CAN,142.0
AUT,CHE,144.0
AUT,CHL,132.0
AUT,COL,164.0
AUT,CRI,108.0
AUT,CZE,138.0
AUT,DEU,120.0
AUT,DNK,106.0
AUT,DOM,206.0
AUT,ESP,110.0
AUT,EST,102.0
AUT,FIN,110.0
AUT,FRA,180.0
AUT,GBR,138.0
AUT,GEO,132.0
AUT,GRC,158.0
AUT,HKG,124.0
AUT,HRV,142.0
AUT,HUN,106.0
AUT,IDN,166.0
AUT,IRL,112.0
AUT,ISL,120.0
AUT,ITA,158.0
AUT,JOR,136.0
AUT,JPN,132.0
AUT,KAZ,106.0
AUT,KSV,188.0
AUT,LTU,112.0
AUT,LUX,190.0
AUT,LVA,160.0
AUT,MAC,192.0
AUT,MAR,136.0
AUT,MDA,166.0
AUT,MEX,114.0
AUT,MLT,158.0
AUT,MNE,82.0
AUT,MYS,126.0
AUT,NLD,156.0
AUT,NOR,138.0
AUT,NZL,108.0
AUT,PAN,192.0
AUT,PER,164.0
AUT,PHL,172.0
AUT,POL,100.0
AUT,PRT,140.0
AUT,QAT,168.0
AUT,QAZ,164.0
AUT,QCI,98.0
AUT,QMR,132.0
AUT,QRT,100.0
AUT,ROU,104.0
AUT,RUS,108.0
AUT,SAU,94.0
AUT,SGP,108.0
AUT,SRB,158.0
AUT,SVK,80.0
AUT,SVN,156.0
AUT,SWE,114.0
AUT,TAP,158.0
AUT,THA,188.0
AUT,TUR,94.0
AUT,UKR,74.0
AUT,URY,160.0
AUT,USA,144.0
AUT,VNM,164.0
BEL,BGR,130.0
BEL,BIH,76.0
BEL,BLR,108.0
BEL,BRA,106.0
BEL,BRN,208.0
BEL,CAN,148.0
BEL,CHE,114.0
BEL,CHL,110.0
BEL,COL,128.0
BEL,CRI,112.0
BEL,CZE,192.0
BEL,DEU,120.0
BEL,DNK,170.0
BEL,DOM,150.0
BEL,ESP,102.0
BEL,EST,60.0
BEL,FIN,174.0
BEL,FRA,140.0
BEL,GBR,144.0
BEL,GEO,102.0
BEL,GRC,116.0
BEL,HKG,114.0
BEL,HRV,114.0
BEL,HUN,128.0
BEL,IDN,128.0
BEL,IRL,140.0
