Country1,Country2,Footrule
ALB,ARE,196.0
ALB,ARG,166.0
ALB,AUS,256.0
ALB,AUT,162.0
ALB,BEL,186.0
ALB,BGR,200.0
ALB,BIH,152.0
ALB,BLR,186.0
ALB,BRA,152.0
ALB,BRN,218.0
ALB,CAN,196.0
ALB,CHE,234.0
ALB,CHL,198.0
ALB,COL,188.0
ALB,CRI,190.0
ALB,CZE,230.0
ALB,DEU,242.0
ALB,DNK,204.0
ALB,DOM,224.0
ALB,ESP,194.0
ALB,EST,160.0
ALB,FIN,162.0
ALB,FRA,236.0
ALB,GBR,226.0
ALB,GEO,184.0
ALB,GRC,194.0
ALB,HKG,186.0
ALB,HRV,156.0
ALB,HUN,164.0
ALB,IDN,236.0
ALB,IRL,184.0
ALB,ISL,190.0
ALB,ITA,158.0
ALB,JOR,162.0
ALB,JPN,226.0
ALB,KAZ,164.0
ALB,KOR,194.0
ALB,KSV,122.0
ALB,LTU,168.0
ALB,LUX,164.0
ALB,LVA,192.0
ALB,MAC,172.0
ALB,MAR,200.0
ALB,MDA,234.0
ALB,MEX,258.0
ALB,MLT,154.0
ALB,MNE,118.0
ALB,MYS,202.0
ALB,NLD,184.0
ALB,NOR,264.0
ALB,NZL,192.0
ALB,PAN,242.0
ALB,PER,196.0
ALB,PHL,176.0
ALB,POL,166.0
ALB,PRT,234.0
ALB,QAT,160.0
ALB,QAZ,158.0
ALB,QCI,208.0
ALB,QMR,200.0
ALB,QRT,152.0
ALB,ROU,188.0
ALB,RUS,188.0
ALB,SAU,196.0
ALB,SGP,238.0
ALB,SRB,150.0
ALB,SVK,170.0
ALB,SVN,200.0
ALB,SWE,276.0
ALB,TAP,196.0
ALB,THA,134.0
ALB,TUR,158.0
ALB,UKR,158.0
ALB,URY,170.0
ALB,USA,196.0
ALB,VNM,278.0
ARE,ARG,186.0
ARE,AUS,158.0
ARE,AUT,112.0
ARE,BEL,150.0
ARE,BGR,148.0
ARE,BIH,138.0
ARE,BLR,158.0
ARE,BRA,132.0
ARE,BRN,110.0
ARE,CAN,160.0
ARE,CHE,170.0
ARE,CHL,168.0
ARE,COL,194.0
ARE,CRI,132.0
ARE,CZE,134.0
ARE,DEU,158.0
ARE,DNK,146.0
ARE,DOM,184.0
ARE,ESP,206.0
ARE,EST,170.0
ARE,FIN,116.0
ARE,FRA,174.0
ARE,GBR,156.0
ARE,GEO,174.0
ARE,GRC,134.0
ARE,HKG,222.0
ARE,HRV,132.0
ARE,HUN,162.0
ARE,IDN,126.0
ARE,IRL,124.0
ARE,ISL,170.0
ARE,ITA,138.0
ARE,JOR,166.0
ARE,JPN,182.0
ARE,KAZ,122.0
ARE,KOR,192.0
ARE,KSV,122.0
ARE,LTU,126.0
ARE,LUX,184.0
ARE,LVA,194.0
ARE,MAC,120.0
ARE,MAR,158.0
ARE,MDA,102.0
ARE,MEX,120.0
ARE,MLT,134.0
ARE,MNE,134.0
ARE,MYS,128.0
ARE,NLD,198.0
ARE,NOR,102.0
ARE,NZL,128.0
ARE,PAN,188.0
ARE,PER,136.0
ARE,PHL,180.0
ARE,POL,146.0
ARE,PRT,196.0
ARE,QAT,152.0
ARE,QAZ,176.0
ARE,QCI,232.0
ARE,QMR,166.0
ARE,QRT,140.0
ARE,ROU,120.0
ARE,RUS,102.0
ARE,SAU,108.0
ARE,SGP,122.0
ARE,SRB,138.0
ARE,SVK,146.0
ARE,SVN,140.0
ARE,SWE,168.0
ARE,TAP,194.0
ARE,THA,162.0
ARE,TUR,122.0
ARE,UKR,126.0
ARE,URY,184.0
ARE,USA,116.0
ARE,VNM,200.0
ARG,AUS,164.0
ARG,AUT,92.0
ARG,BEL,134.0
ARG,BGR,106.0
ARG,BIH,104.0
ARG,BLR,124.0
ARG,BRA,94.0
ARG,BRN,148.0
ARG,CAN,178.0
ARG,CHE,168.0
ARG,CHL,92.0
ARG,COL,92.0
ARG,CRI,162.0
ARG,CZE,138.0
ARG,DEU,90.0
ARG,DNK,86.0
ARG,DOM,110.0
ARG,ESP,102.0
ARG,EST,100.0
ARG,FIN,144.0
ARG,FRA,176.0
ARG,GBR,180.0
ARG,GEO,92.0
ARG,GRC,112.0
ARG,HKG,202.0
ARG,HRV,96.0
ARG,HUN,94.0
ARG,IDN,188.0
ARG,IRL,96.0
ARG,ISL,198.0
ARG,ITA,104.0
ARG,JOR,118.0
ARG,JPN,206.0
ARG,KAZ,98.0
ARG,KOR,196.0
ARG,KSV,164.0
ARG,LTU,94.0
ARG,LUX,206.0
ARG,LVA,172.0
ARG,MAC,188.0
ARG,MAR,56.0
ARG,MDA,198.0
ARG,MEX,162.0
ARG,MLT,102.0
ARG,MNE,100.0
ARG,MYS,218.0
ARG,NLD,162.0
ARG,NOR,172.0
ARG,NZL,140.0
ARG,PAN,116.0
ARG,PER,92.0
ARG,PHL,160.0
ARG,POL,66.0
ARG,PRT,168.0
ARG,QAT,176.0
ARG,QAZ,80.0
ARG,QCI,176.0
ARG,QMR,118.0
ARG,QRT,96.0
ARG,ROU,100.0
ARG,RUS,92.0
ARG,SAU,86.0
ARG,SGP,238.0
ARG,SRB,130.0
ARG,SVK,108.0
ARG,SVN,98.0
ARG,SWE,174.0
ARG,TAP,206.0
ARG,THA,152.0
ARG,TUR,134.0
ARG,UKR,100.0
