Country1,Country2,Footrule
ALB,ARE,144.0
ALB,ARG,158.0
ALB,AUS,210.0
ALB,AUT,140.0
ALB,BEL,128.0
ALB,BGR,162.0
ALB,BIH,126.0
ALB,BLR,162.0
ALB,BRA,132.0
ALB,BRN,176.0
ALB,CAN,218.0
ALB,CHE,164.0
ALB,CHL,154.0
ALB,COL,160.0
ALB,CRI,146.0
ALB,CZE,224.0
ALB,DEU,176.0
ALB,DNK,150.0
ALB,DOM,204.0
ALB,ESP,152.0
ALB,EST,178.0
ALB,FIN,168.0
ALB,FRA,178.0
ALB,GBR,206.0
ALB,GEO,156.0
ALB,GRC,172.0
ALB,HKG,152.0
ALB,HRV,162.0
ALB,HUN,152.0
ALB,IDN,196.0
ALB,IRL,160.0
ALB,ISL,92.0
ALB,ITA,180.0
ALB,JOR,108.0
ALB,JPN,192.0
ALB,KAZ,160.0
ALB,KOR,208.0
ALB,KSV,102.0
ALB,LTU,168.0
ALB,LUX,190.0
ALB,LVA,180.0
ALB,MAC,184.0
ALB,MAR,148.0
ALB,MDA,166.0
ALB,MEX,182.0
ALB,MLT,158.0
ALB,MNE,130.0
ALB,MYS,160.0
ALB,NLD,168.0
ALB,NOR,210.0
ALB,NZL,190.0
ALB,PAN,180.0
ALB,PER,166.0
ALB,PHL,142.0
ALB,POL,158.0
ALB,PRT,160.0
ALB,QAT,158.0
ALB,QAZ,130.0
ALB,QCI,164.0
ALB,QMR,176.0
ALB,QRT,176.0
ALB,ROU,208.0
ALB,RUS,188.0
ALB,SAU,140.0
ALB,SGP,190.0
ALB,SRB,128.0
ALB,SVK,152.0
ALB,SVN,154.0
ALB,SWE,212.0
ALB,TAP,112.0
ALB,THA,164.0
ALB,TUR,126.0
ALB,UKR,166.0
ALB,URY,136.0
ALB,USA,164.0
ALB,VNM,218.0
ARE,ARG,146.0
ARE,AUS,102.0
ARE,AUT,140.0
ARE,BEL,200.0
ARE,BGR,144.0
ARE,BIH,118.0
ARE,BLR,114.0
ARE,BRA,142.0
ARE,BRN,122.0
ARE,CAN,152.0
ARE,CHE,160.0
ARE,CHL,112.0
ARE,COL,148.0
ARE,CRI,136.0
ARE,CZE,162.0
ARE,DEU,168.0
ARE,DNK,148.0
ARE,DOM,146.0
ARE,ESP,160.0
ARE,EST,140.0
ARE,FIN,188.0
ARE,FRA,176.0
ARE,GBR,130.0
ARE,GEO,112.0
ARE,GRC,110.0
ARE,HKG,70.0
ARE,HRV,188.0
ARE,HUN,172.0
ARE,IDN,150.0
ARE,IRL,140.0
ARE,ISL,140.0
ARE,ITA,132.0
ARE,JOR,140.0
ARE,JPN,162.0
ARE,KAZ,84.0
ARE,KOR,244.0
ARE,KSV,130.0
ARE,LTU,198.0
ARE,LUX,158.0
ARE,LVA,166.0
ARE,MAC,106.0
ARE,MAR,148.0
ARE,MDA,166.0
ARE,MEX,126.0
ARE,MLT,76.0
ARE,MNE,122.0
ARE,MYS,134.0
ARE,NLD,168.0
ARE,NOR,158.0
ARE,NZL,126.0
ARE,PAN,206.0
ARE,PER,152.0
ARE,PHL,180.0
ARE,POL,150.0
ARE,PRT,172.0
ARE,QAT,132.0
ARE,QAZ,140.0
ARE,QCI,128.0
ARE,QMR,142.0
ARE,QRT,140.0
ARE,ROU,136.0
ARE,RUS,118.0
ARE,SAU,122.0
ARE,SGP,120.0
ARE,SRB,150.0
ARE,SVK,138.0
ARE,SVN,146.0
ARE,SWE,178.0
ARE,TAP,140.0
ARE,THA,130.0
ARE,TUR,80.0
ARE,UKR,144.0
ARE,URY,172.0
ARE,USA,162.0
ARE,VNM,174.0
ARG,AUS,110.0
ARG,AUT,124.0
ARG,BEL,128.0
ARG,BGR,48.0
ARG,BIH,74.0
ARG,BLR,80.0
ARG,BRA,38.0
ARG,BRN,98.0
ARG,CAN,162.0
ARG,CHE,80.0
ARG,CHL,48.0
ARG,COL,70.0
ARG,CRI,96.0
ARG,CZE,74.0
ARG,DEU,74.0
ARG,DNK,78.0
ARG,DOM,92.0
ARG,ESP,110.0
ARG,EST,70.0
ARG,FIN,154.0
ARG,FRA,72.0
ARG,GBR,138.0
ARG,GEO,70.0
ARG,GRC,72.0
ARG,HKG,80.0
ARG,HRV,92.0
ARG,HUN,68.0
ARG,IDN,194.0
ARG,IRL,88.0
ARG,ISL,148.0
ARG,ITA,58.0
ARG,JOR,120.0
ARG,JPN,192.0
ARG,KAZ,84.0
ARG,KOR,204.0
ARG,KSV,102.0
ARG,LTU,112.0
ARG,LUX,98.0
ARG,LVA,128.0
ARG,MAC,160.0
ARG,MAR,48.0
ARG,MDA,82.0
ARG,MEX,104.0
ARG,MLT,126.0
ARG,MNE,130.0
ARG,MYS,168.0
ARG,NLD,48.0
ARG,NOR,124.0
ARG,NZL,84.0
ARG,PAN,74.0
ARG,PER,70.0
ARG,PHL,146.0
ARG,POL,38.0
ARG,PRT,114.0
ARG,QAT,118.0
ARG,QAZ,100.0
ARG,QCI,98.0
ARG,QMR,142.0
ARG,QRT,96.0
ARG,ROU,92.0
ARG,RUS,72.0
ARG,SAU,76.0
ARG,SGP,164.0
ARG,SRB,62.0
ARG,SVK,78.0
ARG,SVN,102.0
ARG,SWE,158.0
ARG,TAP,120.0
