Country1,Country2,Footrule
ALB,ARE,150.0
ALB,ARG,158.0
ALB,AUS,192.0
ALB,AUT,154.0
ALB,BEL,152.0
ALB,BGR,202.0
ALB,BIH,178.0
ALB,BLR,188.0
ALB,BRA,158.0
ALB,BRN,210.0
ALB,CAN,148.0
ALB,CHE,192.0
ALB,CHL,166.0
ALB,COL,162.0
ALB,CRI,186.0
ALB,CZE,192.0
ALB,DEU,194.0
ALB,DNK,218.0
ALB,DOM,178.0
ALB,ESP,160.0
ALB,EST,146.0
ALB,FIN,254.0
ALB,FRA,198.0
ALB,GBR,206.0
ALB,GEO,140.0
ALB,GRC,156.0
ALB,HKG,118.0
ALB,HRV,154.0
ALB,HUN,156.0
ALB,IDN,184.0
ALB,IRL,180.0
ALB,ISL,170.0
ALB,ITA,156.0
ALB,JOR,126.0
ALB,JPN,218.0
ALB,KAZ,182.0
ALB,KOR,158.0
ALB,KSV,78.0
ALB,LTU,166.0
ALB,LUX,190.0
ALB,LVA,180.0
ALB,MAC,184.0
ALB,MAR,234.0
ALB,MDA,224.0
ALB,MEX,222.0
ALB,MLT,154.0
ALB,MNE,176.0
ALB,MYS,220.0
ALB,NLD,188.0
ALB,NOR,218.0
ALB,NZL,188.0
ALB,PAN,208.0
ALB,PER,196.0
ALB,PHL,262.0
ALB,POL,162.0
ALB,PRT,230.0
ALB,QAT,130.0
ALB,QAZ,152.0
ALB,QCI,178.0
ALB,QMR,160.0
ALB,QRT,182.0
ALB,ROU,154.0
ALB,RUS,148.0
ALB,SAU,134.0
ALB,SGP,188.0
ALB,SRB,150.0
ALB,SVK,162.0
ALB,SVN,186.0
ALB,SWE,198.0
ALB,TAP,182.0
ALB,THA,184.0
ALB,TUR,174.0
ALB,UKR,184.0
ALB,URY,254.0
ALB,USA,212.0
ALB,VNM,252.0
ARE,ARG,172.0
ARE,AUS,132.0
ARE,AUT,152.0
ARE,BEL,180.0
ARE,BGR,204.0
ARE,BIH,132.0
ARE,BLR,100.0
ARE,BRA,160.0
ARE,BRN,172.0
ARE,CAN,178.0
ARE,CHE,126.0
ARE,CHL,134.0
ARE,COL,172.0
ARE,CRI,162.0
ARE,CZE,164.0
ARE,DEU,164.0
ARE,DNK,150.0
ARE,DOM,100.0
ARE,ESP,164.0
ARE,EST,152.0
ARE,FIN,186.0
ARE,FRA,126.0
ARE,GBR,154.0
ARE,GEO,158.0
ARE,GRC,126.0
ARE,HKG,118.0
ARE,HRV,128.0
ARE,HUN,154.0
ARE,IDN,146.0
ARE,IRL,158.0
ARE,ISL,168.0
ARE,ITA,138.0
ARE,JOR,120.0
ARE,JPN,220.0
ARE,KAZ,144.0
ARE,KOR,190.0
ARE,KSV,80.0
ARE,LTU,158.0
ARE,LUX,152.0
ARE,LVA,196.0
ARE,MAC,146.0
ARE,MAR,186.0
ARE,MDA,146.0
ARE,MEX,160.0
ARE,MLT,100.0
ARE,MNE,122.0
ARE,MYS,158.0
ARE,NLD,164.0
ARE,NOR,146.0
ARE,NZL,88.0
ARE,PAN,176.0
ARE,PER,240.0
ARE,PHL,204.0
ARE,POL,124.0
ARE,PRT,196.0
ARE,QAT,84.0
ARE,QAZ,138.0
ARE,QCI,222.0
ARE,QMR,190.0
ARE,QRT,128.0
ARE,ROU,80.0
ARE,RUS,128.0
ARE,SAU,156.0
ARE,SGP,176.0
ARE,SRB,132.0
ARE,SVK,138.0
ARE,SVN,166.0
ARE,SWE,166.0
ARE,TAP,148.0
ARE,THA,146.0
ARE,TUR,142.0
ARE,UKR,150.0
ARE,URY,242.0
ARE,USA,148.0
ARE,VNM,174.0
