Country1,Country2,Footrule
ALB,ARE,160.0
ALB,ARG,210.0
ALB,AUS,198.0
ALB,AUT,244.0
ALB,BEL,272.0
ALB,BGR,212.0
ALB,BIH,208.0
ALB,BLR,238.0
ALB,BRA,200.0
ALB,BRN,246.0
ALB,CAN,202.0
ALB,CHE,198.0
ALB,CHL,200.0
ALB,COL,208.0
ALB,CRI,208.0
ALB,CZE,210.0
ALB,DEU,204.0
ALB,DNK,194.0
ALB,DOM,208.0
ALB,ESP,168.0
ALB,EST,236.0
ALB,FIN,196.0
ALB,FRA,208.0
ALB,GBR,202.0
ALB,GEO,242.0
ALB,GRC,156.0
ALB,HKG,270.0
ALB,HRV,238.0
ALB,HUN,192.0
ALB,IDN,226.0
ALB,IRL,162.0
ALB,ISL,208.0
ALB,ITA,240.0
ALB,JOR,198.0
ALB,JPN,194.0
ALB,KAZ,200.0
ALB,KOR,234.0
ALB,KSV,144.0
ALB,LTU,236.0
ALB,LUX,172.0
ALB,LVA,232.0
ALB,MAC,196.0
ALB,MAR,212.0
ALB,MDA,238.0
ALB,MEX,274.0
ALB,MLT,164.0
ALB,MNE,238.0
ALB,MYS,202.0
ALB,NLD,270.0
ALB,NOR,230.0
ALB,NZL,202.0
ALB,PAN,214.0
ALB,PER,206.0
ALB,PHL,320.0
ALB,POL,222.0
ALB,PRT,274.0
ALB,QAT,196.0
ALB,QAZ,208.0
ALB,QCI,228.0
ALB,QMR,244.0
ALB,QRT,170.0
ALB,ROU,232.0
ALB,RUS,242.0
ALB,SAU,164.0
ALB,SGP,262.0
ALB,SRB,168.0
ALB,SVK,244.0
ALB,SVN,196.0
ALB,SWE,238.0
ALB,TAP,232.0
ALB,THA,194.0
ALB,TUR,158.0
ALB,UKR,272.0
ALB,URY,204.0
ALB,USA,244.0
ALB,VNM,204.0
ARE,ARG,142.0
ARE,AUS,100.0
ARE,AUT,134.0
ARE,BEL,134.0
ARE,BGR,144.0
ARE,BIH,104.0
ARE,BLR,170.0
ARE,BRA,170.0
ARE,BRN,176.0
ARE,CAN,80.0
ARE,CHE,136.0
ARE,CHL,140.0
ARE,COL,138.0
ARE,CRI,168.0
ARE,CZE,174.0
ARE,DEU,142.0
ARE,DNK,152.0
ARE,DOM,146.0
ARE,ESP,134.0
ARE,EST,162.0
ARE,FIN,88.0
ARE,FRA,96.0
ARE,GBR,90.0
ARE,GEO,184.0
ARE,GRC,118.0
ARE,HKG,190.0
ARE,HRV,160.0
ARE,HUN,158.0
ARE,IDN,144.0
ARE,IRL,126.0
ARE,ISL,162.0
ARE,ITA,136.0
ARE,JOR,166.0
ARE,JPN,224.0
ARE,KAZ,130.0
ARE,KOR,118.0
ARE,KSV,192.0
ARE,LTU,172.0
ARE,LUX,154.0
ARE,LVA,158.0
ARE,MAC,192.0
ARE,MAR,184.0
ARE,MDA,142.0
ARE,MEX,144.0
ARE,MLT,118.0
ARE,MNE,172.0
ARE,MYS,86.0
ARE,NLD,192.0
ARE,NOR,230.0
ARE,NZL,104.0
ARE,PAN,156.0
ARE,PER,178.0
ARE,PHL,224.0
ARE,POL,180.0
ARE,PRT,244.0
ARE,QAT,116.0
ARE,QAZ,136.0
ARE,QCI,122.0
ARE,QMR,160.0
ARE,QRT,130.0
ARE,ROU,118.0
ARE,RUS,130.0
ARE,SAU,86.0
ARE,SGP,150.0
ARE,SRB,142.0
ARE,SVK,164.0
ARE,SVN,128.0
ARE,SWE,128.0
ARE,TAP,150.0
ARE,THA,120.0
ARE,TUR,86.0
ARE,UKR,204.0
ARE,URY,134.0
ARE,USA,166.0
ARE,VNM,128.0
ARG,AUS,92.0
ARG,AUT,80.0
ARG,BEL,84.0
ARG,BGR,18.0
ARG,BIH,138.0
ARG,BLR,116.0
ARG,BRA,56.0
ARG,BRN,100.0
ARG,CAN,204.0
ARG,CHE,66.0
ARG,CHL,54.0
ARG,COL,46.0
ARG,CRI,202.0
ARG,CZE,120.0
ARG,DEU,46.0
ARG,DNK,98.0
ARG,DOM,66.0
ARG,ESP,84.0
ARG,EST,150.0
ARG,FIN,174.0
ARG,FRA,124.0
ARG,GBR,136.0
ARG,GEO,184.0
ARG,GRC,96.0
ARG,HKG,238.0
ARG,HRV,114.0
ARG,HUN,120.0
ARG,IDN,202.0
ARG,IRL,72.0
ARG,ISL,164.0
ARG,ITA,78.0
ARG,JOR,168.0
ARG,JPN,242.0
ARG,KAZ,82.0
ARG,KOR,208.0
ARG,KSV,172.0
ARG,LTU,72.0
ARG,LUX,226.0
ARG,LVA,156.0
ARG,MAC,244.0
ARG,MAR,86.0
ARG,MDA,106.0
ARG,MEX,142.0
ARG,MLT,104.0
ARG,MNE,166.0
ARG,MYS,90.0
ARG,NLD,204.0
ARG,NOR,172.0
ARG,NZL,86.0
ARG,PAN,56.0
ARG,PER,116.0
ARG,PHL,158.0
ARG,POL,202.0
ARG,PRT,152.0
ARG,QAT,128.0
ARG,QAZ,110.0
ARG,QCI,90.0
ARG,QMR,164.0
ARG,QRT,124.0
ARG,ROU,130.0
ARG,RUS,122.0
ARG,SAU,100.0
ARG,SGP,160.0
ARG,SRB,90.0
ARG,SVK,182.0
ARG,SVN,22.0
ARG,SWE,166.0
ARG,TAP,136.0
ARG,THA,164.0
ARG,TUR,110.0
ARG,UKR,128.0
ARG,URY,90.0
ARG,USA,160.0
ARG,VNM,170.0
AUS,AUT,84.0
AUS,BEL,98.0
AUS,BGR,98.0
AUS,BIH,100.0
AUS,BLR,124.0
AUS,BRA,92.0
AUS,BRN,138.0
AUS,CAN,166.0
AUS,CHE,96.0
AUS,CHL,92.0
AUS,COL,82.0
AUS,CRI,130.0
AUS,CZE,128.0
AUS,DEU,98.0
AUS,DNK,90.0
AUS,DOM,104.0
AUS,ESP,94.0
AUS,EST,126.0
AUS,FIN,162.0
AUS,FRA,132.0
AUS,GBR,142.0
AUS,GEO,172.0
AUS,GRC,120.0
AUS,HKG,200.0
AUS,HRV,124.0
AUS,HUN,126.0
AUS,IDN,126.0
AUS,IRL,100.0
AUS,ISL,208.0
AUS,ITA,94.0
AUS,JOR,128.0
AUS,JPN,200.0
AUS,KAZ,82.0
AUS,KOR,208.0
AUS,KSV,128.0
AUS,LTU,82.0
AUS,LUX,154.0
AUS,LVA,96.0
AUS,MAC,236.0
AUS,MAR,96.0
AUS,MDA,138.0
AUS,MEX,122.0
AUS,MLT,94.0
AUS,MNE,160.0
AUS,MYS,126.0
AUS,NLD,176.0
AUS,NOR,164.0
AUS,NZL,100.0
AUS,PAN,126.0
AUS,PER,118.0
AUS,PHL,170.0
AUS,POL,122.0
AUS,PRT,200.0
AUS,QAT,160.0
AUS,QAZ,82.0
AUS,QCI,122.0
AUS,QMR,138.0
AUS,QRT,126.0
AUS,ROU,122.0
AUS,RUS,96.0
AUS,SAU,98.0
AUS,SGP,128.0
AUS,SRB,124.0
AUS,SVK,126.0
AUS,SVN,86.0
AUS,SWE,158.0
AUS,TAP,168.0
AUS,THA,126.0
AUS,TUR,132.0
AUS,UKR,162.0
AUS,URY,94.0
AUS,USA,138.0
AUS,VNM,168.0
AUT,BEL,124.0
AUT,BGR,88.0
AUT,BIH,162.0
AUT,BLR,94.0
AUT,BRA,130.0
AUT,BRN,132.0
AUT,CAN,166.0
AUT,CHE,64.0
AUT,CHL,62.0
AUT,COL,86.0
AUT,CRI,162.0
AUT,CZE,130.0
AUT,DEU,58.0
AUT,DNK,104.0
AUT,DOM,70.0
AUT,ESP,100.0
AUT,EST,158.0
AUT,FIN,170.0
AUT,FRA,124.0
AUT,GBR,164.0
AUT,GEO,196.0
AUT,GRC,102.0
AUT,HKG,234.0
AUT,HRV,124.0
AUT,HUN,136.0
AUT,IDN,166.0
AUT,IRL,138.0
AUT,ISL,130.0
AUT,ITA,80.0
AUT,JOR,168.0
AUT,JPN,238.0
AUT,KAZ,124.0
AUT,KOR,230.0
AUT,KSV,172.0
AUT,LTU,84.0
AUT,LUX,202.0
AUT,LVA,128.0
AUT,MAC,244.0
AUT,MAR,92.0
AUT,MDA,98.0
AUT,MEX,86.0
AUT,MLT,98.0
AUT,MNE,194.0
AUT,MYS,90.0
AUT,NLD,202.0
AUT,NOR,204.0
AUT,NZL,96.0
AUT,PAN,94.0
AUT,PER,116.0
AUT,PHL,168.0
AUT,POL,168.0
AUT,PRT,166.0
AUT,QAT,196.0
AUT,QAZ,120.0
AUT,QCI,90.0
AUT,QMR,162.0
AUT,QRT,132.0
AUT,ROU,122.0
AUT,RUS,126.0
AUT,SAU,130.0
AUT,SGP,156.0
AUT,SRB,100.0
AUT,SVK,120.0
AUT,SVN,96.0
AUT,SWE,172.0
AUT,TAP,128.0
AUT,THA,134.0
AUT,TUR,136.0
AUT,UKR,126.0
AUT,URY,70.0
AUT,USA,158.0
AUT,VNM,206.0
BEL,BGR,88.0
BEL,BIH,132.0
BEL,BLR,150.0
BEL,BRA,134.0
BEL,BRN,140.0
BEL,CAN,202.0
BEL,CHE,144.0
BEL,CHL,126.0
BEL,COL,90.0
BEL,CRI,196.0
BEL,CZE,162.0
BEL,DEU,128.0
BEL,DNK,164.0
BEL,DOM,142.0
BEL,ESP,156.0
BEL,EST,140.0
BEL,FIN,210.0
BEL,FRA,166.0
BEL,GBR,126.0
BEL,GEO,162.0
BEL,GRC,166.0
BEL,HKG,192.0
BEL,HRV,148.0
BEL,HUN,156.0
BEL,IDN,194.0
BEL,IRL,142.0
BEL,ISL,236.0
BEL,ITA,120.0
BEL,JOR,198.0
BEL,JPN,196.0
BEL,KAZ,124.0
BEL,KOR,162.0
BEL,KSV,200.0
BEL,LTU,120.0
BEL,LUX,218.0
BEL,LVA,160.0
BEL,MAC,264.0
BEL,MAR,164.0
BEL,MDA,142.0
BEL,MEX,122.0
BEL,MLT,130.0
BEL,MNE,130.0
BEL,MYS,122.0
BEL,NLD,158.0
BEL,NOR,160.0
BEL,NZL,90.0
BEL,PAN,134.0
BEL,PER,158.0
BEL,PHL,168.0
BEL,POL,194.0
BEL,PRT,188.0
BEL,QAT,128.0
BEL,QAZ,152.0
BEL,QCI,122.0
BEL,QMR,162.0
BEL,QRT,160.0
BEL,ROU,132.0
BEL,RUS,122.0
BEL,SAU,128.0
BEL,SGP,156.0
BEL,SRB,164.0
BEL,SVK,184.0
BEL,SVN,94.0
BEL,SWE,160.0
BEL,TAP,156.0
BEL,THA,168.0
BEL,TUR,142.0
BEL,UKR,132.0
BEL,URY,128.0
BEL,USA,162.0
BEL,VNM,120.0
BGR,BIH,142.0
BGR,BLR,130.0
BGR,BRA,56.0
BGR,BRN,94.0
BGR,CAN,208.0
BGR,CHE,58.0
BGR,CHL,68.0
BGR,COL,60.0
BGR,CRI,206.0
BGR,CZE,130.0
BGR,DEU,50.0
BGR,DNK,104.0
BGR,DOM,54.0
BGR,ESP,98.0
BGR,EST,154.0
BGR,FIN,176.0
BGR,FRA,124.0
BGR,GBR,140.0
BGR,GEO,184.0
BGR,GRC,98.0
BGR,HKG,240.0
BGR,HRV,114.0
BGR,HUN,128.0
BGR,IDN,208.0
BGR,IRL,76.0
BGR,ISL,170.0
BGR,ITA,88.0
BGR,JOR,176.0
BGR,JPN,240.0
BGR,KAZ,90.0
BGR,KOR,194.0
BGR,KSV,178.0
BGR,LTU,82.0
BGR,LUX,232.0
BGR,LVA,160.0
BGR,MAC,246.0
BGR,MAR,94.0
BGR,MDA,94.0
BGR,MEX,144.0
BGR,MLT,100.0
BGR,MNE,156.0
BGR,MYS,100.0
BGR,NLD,206.0
BGR,NOR,172.0
BGR,NZL,76.0
BGR,PAN,58.0
BGR,PER,118.0
BGR,PHL,164.0
BGR,POL,208.0
BGR,PRT,158.0
BGR,QAT,130.0
BGR,QAZ,118.0
BGR,QCI,92.0
BGR,QMR,174.0
BGR,QRT,132.0
BGR,ROU,130.0
BGR,RUS,128.0
BGR,SAU,110.0
BGR,SGP,168.0
BGR,SRB,102.0
BGR,SVK,196.0
BGR,SVN,24.0
BGR,SWE,172.0
BGR,TAP,132.0
BGR,THA,166.0
BGR,TUR,104.0
BGR,UKR,120.0
BGR,URY,98.0
BGR,USA,172.0
BGR,VNM,170.0
BIH,BLR,90.0
BIH,BRA,106.0
BIH,BRN,230.0
BIH,CAN,126.0
BIH,CHE,178.0
BIH,CHL,166.0
BIH,COL,130.0
BIH,CRI,106.0
BIH,CZE,100.0
BIH,DEU,176.0
BIH,DNK,140.0
BIH,DOM,184.0
BIH,ESP,134.0
BIH,EST,132.0
BIH,FIN,132.0
BIH,FRA,172.0
BIH,GBR,132.0
BIH,GEO,184.0
BIH,GRC,176.0
BIH,HKG,128.0
BIH,HRV,166.0
BIH,HUN,140.0
BIH,IDN,196.0
BIH,IRL,104.0
BIH,ISL,210.0
BIH,ITA,166.0
BIH,JOR,156.0
BIH,JPN,188.0
BIH,KAZ,170.0
BIH,KOR,164.0
BIH,KSV,202.0
BIH,LTU,132.0
BIH,LUX,156.0
BIH,LVA,132.0
BIH,MAC,198.0
BIH,MAR,182.0
BIH,MDA,104.0
BIH,MEX,172.0
BIH,MLT,156.0
BIH,MNE,132.0
BIH,MYS,136.0
BIH,NLD,168.0
BIH,NOR,198.0
BIH,NZL,180.0
BIH,PAN,142.0
BIH,PER,142.0
BIH,PHL,250.0
BIH,POL,158.0
BIH,PRT,174.0
BIH,QAT,132.0
BIH,QAZ,132.0
BIH,QCI,138.0
BIH,QMR,130.0
BIH,QRT,154.0
BIH,ROU,128.0
BIH,RUS,90.0
BIH,SAU,70.0
BIH,SGP,130.0
BIH,SRB,162.0
BIH,SVK,162.0
BIH,SVN,140.0
BIH,SWE,122.0
BIH,TAP,166.0
BIH,THA,208.0
BIH,TUR,100.0
BIH,UKR,202.0
BIH,URY,166.0
BIH,USA,124.0
BIH,VNM,168.0
BLR,BRA,90.0
BLR,BRN,214.0
BLR,CAN,164.0
BLR,CHE,138.0
BLR,CHL,118.0
BLR,COL,106.0
BLR,CRI,122.0
BLR,CZE,48.0
BLR,DEU,122.0
BLR,DNK,98.0
BLR,DOM,136.0
BLR,ESP,82.0
BLR,EST,122.0
BLR,FIN,174.0
BLR,FRA,170.0
BLR,GBR,176.0
BLR,GEO,172.0
BLR,GRC,130.0
BLR,HKG,168.0
BLR,HRV,150.0
BLR,HUN,90.0
BLR,IDN,192.0
BLR,IRL,106.0
BLR,ISL,142.0
BLR,ITA,150.0
BLR,JOR,170.0
BLR,JPN,202.0
BLR,KAZ,184.0
BLR,KOR,238.0
BLR,KSV,204.0
BLR,LTU,78.0
BLR,LUX,148.0
BLR,LVA,126.0
BLR,MAC,200.0
BLR,MAR,128.0
BLR,MDA,100.0
BLR,MEX,128.0
BLR,MLT,162.0
BLR,MNE,166.0
BLR,MYS,102.0
BLR,NLD,176.0
BLR,NOR,188.0
BLR,NZL,170.0
BLR,PAN,94.0
BLR,PER,96.0
BLR,PHL,234.0
BLR,POL,154.0
BLR,PRT,92.0
BLR,QAT,168.0
BLR,QAZ,120.0
BLR,QCI,98.0
BLR,QMR,134.0
BLR,QRT,158.0
BLR,ROU,130.0
BLR,RUS,92.0
BLR,SAU,98.0
BLR,SGP,158.0
BLR,SRB,118.0
BLR,SVK,124.0
BLR,SVN,122.0
BLR,SWE,118.0
BLR,TAP,168.0
BLR,THA,200.0
BLR,TUR,136.0
BLR,UKR,156.0
BLR,URY,118.0
BLR,USA,134.0
BLR,VNM,194.0
BRA,BRN,140.0
BRA,CAN,202.0
BRA,CHE,88.0
BRA,CHL,96.0
BRA,COL,86.0
BRA,CRI,172.0
BRA,CZE,90.0
BRA,DEU,76.0
BRA,DNK,64.0
BRA,DOM,84.0
BRA,ESP,90.0
BRA,EST,164.0
BRA,FIN,172.0
BRA,FRA,154.0
BRA,GBR,176.0
BRA,GEO,188.0
BRA,GRC,128.0
BRA,HKG,216.0
BRA,HRV,122.0
BRA,HUN,118.0
BRA,IDN,196.0
BRA,IRL,60.0
BRA,ISL,174.0
BRA,ITA,132.0
BRA,JOR,178.0
BRA,JPN,246.0
