,ATTLNACT,BELONG,COMPETE,DIRINS,DISCLIMA,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,RESILIENCE,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHSUP,WORKMAST
ALB,3,1,22,22,22,22,7,22,5,22,6,22,22,22,10,4,22,22,22,22,22,8,2,22,22,22,22,22,9,22,22,22,22,22
ARE,22,2,22,22,4,22,10,22,5,22,22,22,22,22,22,9,22,22,22,22,22,22,1,22,22,22,8,22,3,6,7,22,22,22
ARG,22,1,22,22,6,22,5,22,4,22,22,22,3,22,22,22,22,22,22,22,22,22,2,22,22,9,7,22,22,22,22,8,10,22
AUS,22,1,22,22,2,22,9,22,4,22,22,22,5,8,22,10,22,22,22,22,22,22,3,22,6,22,7,22,22,22,22,22,22,22
AUT,22,1,22,22,6,22,5,22,10,22,22,22,22,3,22,22,22,22,22,22,9,22,2,22,22,22,22,4,22,8,22,7,22,22
BEL,22,1,22,22,9,22,2,22,5,22,22,22,4,22,22,22,22,22,22,22,22,22,22,22,22,22,7,3,8,10,6,22,22,22
BGR,22,1,22,22,22,22,2,22,22,22,22,22,4,9,22,22,22,22,22,22,22,6,7,22,22,22,5,22,8,10,22,3,22,22
BIH,22,1,22,22,5,22,2,22,9,22,22,22,22,22,22,22,22,22,22,22,22,22,4,22,22,22,6,3,7,10,22,8,22,22
BLR,22,1,22,22,3,22,2,22,22,22,22,22,4,22,22,22,22,22,22,22,22,22,5,22,22,22,9,22,7,10,22,6,8,22
BRA,22,1,22,22,6,22,4,22,8,22,22,22,5,22,22,9,22,22,22,22,22,22,2,22,22,10,7,22,3,22,22,22,22,22
BRN,22,3,22,22,4,22,22,22,22,22,22,22,22,22,6,1,5,22,22,22,22,10,2,22,22,9,8,7,22,22,22,22,22,22
CAN,22,1,6,22,2,22,22,22,5,22,22,22,22,22,8,22,22,22,22,22,22,22,4,22,22,22,7,10,22,22,9,3,22,22
CHE,22,1,22,22,10,22,3,22,22,4,22,22,5,6,8,22,22,22,22,22,22,22,22,22,22,22,22,9,7,2,22,22,22,22
CHL,22,1,22,22,7,22,3,22,5,22,22,22,6,22,22,9,22,22,22,22,22,22,2,22,22,8,22,22,22,4,10,22,22,22
COL,22,1,22,22,3,22,22,22,9,22,22,22,22,22,22,5,22,22,22,8,22,22,2,22,22,22,10,22,7,6,4,22,22,22
CRI,22,1,22,8,2,22,3,22,4,22,22,22,22,22,22,22,22,22,22,22,22,22,5,22,22,22,10,22,22,9,7,6,22,22
CZE,22,1,22,22,3,22,5,22,22,22,22,22,2,10,22,9,22,22,22,22,22,8,7,22,22,4,22,22,22,22,22,6,22,22
DEU,22,1,22,22,8,22,10,22,22,22,22,22,5,22,22,22,22,22,22,22,22,22,9,22,22,4,22,6,7,2,22,3,22,22
DNK,22,1,22,22,3,22,9,10,6,22,22,22,5,7,22,22,22,22,22,22,22,22,2,22,22,8,22,22,22,22,22,4,22,22
DOM,22,2,22,22,22,22,22,22,10,5,22,22,9,22,22,4,22,22,22,22,22,22,8,22,22,3,7,6,1,22,22,22,22,22
ESP,22,1,22,22,9,22,2,22,3,22,22,22,6,22,22,22,22,22,22,22,22,22,5,22,22,8,22,7,10,22,22,4,22,22
EST,22,1,22,22,6,22,3,22,10,22,22,22,5,22,22,22,22,22,22,22,22,22,2,22,22,22,22,8,4,7,9,22,22,22
FIN,22,1,22,22,9,22,22,22,5,22,22,22,22,7,22,22,22,22,10,22,22,22,2,22,22,8,4,22,22,6,22,3,22,22
FRA,22,1,22,22,22,22,9,22,2,4,22,22,3,22,22,22,22,22,5,22,22,22,22,22,22,6,10,8,22,22,22,7,22,22
GBR,22,1,10,22,4,22,22,22,2,22,22,22,8,22,22,22,22,22,22,22,22,22,3,22,5,22,6,9,22,22,22,7,22,22
GEO,22,1,22,22,5,22,2,22,22,22,22,22,7,22,22,6,22,22,10,22,22,22,9,22,22,22,3,4,22,8,22,22,22,22
GRC,22,1,22,22,22,22,3,22,22,22,22,22,6,22,22,5,22,22,22,22,22,7,2,22,22,22,10,8,22,4,9,22,22,22
HKG,22,2,22,22,4,22,5,22,10,22,22,22,22,22,22,22,22,22,22,22,22,7,1,22,6,22,9,3,22,22,8,22,22,22
HRV,22,1,22,22,9,22,6,22,22,22,22,22,2,22,22,4,22,22,22,22,22,22,5,22,22,22,22,10,7,22,8,3,22,22
HUN,22,1,22,22,22,22,3,22,7,22,22,22,5,10,22,22,22,22,22,22,22,4,2,22,22,22,22,6,9,22,22,8,22,22
IDN,22,1,22,22,3,22,22,22,22,4,22,22,22,22,22,6,22,22,22,22,22,22,2,22,22,22,7,10,5,9,8,22,22,22
IRL,9,1,22,22,7,22,22,22,2,22,22,22,5,6,22,22,22,22,22,22,22,22,3,22,22,22,4,10,22,22,22,8,22,22
ISL,22,1,22,22,4,22,22,22,9,22,22,22,22,10,22,22,22,22,3,22,22,22,7,22,22,6,22,22,22,8,5,2,22,22
ITA,22,1,22,22,22,22,3,22,22,22,22,22,7,22,22,4,22,22,22,22,22,22,6,22,22,10,9,2,5,8,22,22,22,22
JOR,9,2,22,22,22,22,5,22,7,22,22,22,22,22,22,4,22,22,22,22,22,8,1,22,22,22,22,6,3,10,22,22,22,22
JPN,22,1,22,22,3,22,5,22,4,22,9,22,6,22,10,22,22,22,22,22,7,22,2,22,22,22,22,22,8,22,22,22,22,22
KAZ,22,2,22,22,7,22,3,22,22,22,22,22,22,8,22,4,22,22,22,22,22,22,1,22,22,22,9,10,6,5,22,22,22,22
KSV,22,2,22,22,22,22,5,22,22,22,10,22,22,22,22,3,22,22,22,22,22,8,1,22,22,9,22,22,4,6,7,22,22,22
LTU,22,1,22,22,8,22,5,22,22,22,22,22,22,9,22,2,22,22,22,22,22,22,4,22,22,22,22,10,3,6,7,22,22,22
LUX,3,1,22,22,5,22,22,22,22,22,22,22,9,22,22,10,22,22,22,22,22,22,4,22,6,22,22,22,8,22,7,2,22,22
LVA,22,1,22,22,3,22,6,22,9,22,22,22,7,22,8,5,22,22,22,22,22,22,2,4,22,22,22,22,10,22,22,22,22,22
MAC,22,1,22,22,4,3,22,22,9,22,22,22,8,22,22,5,22,22,22,22,22,22,2,22,22,10,6,22,22,22,7,22,22,22
