,ADAPTIVITY,ATTLNACT,BELONG,BSMJ,DISCLIMA,EMOSUPS,GFOFAIL,GRADE,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
ALB,21,3,1,21,21,2,6,21,21,21,9,5,21,21,21,21,8,7,21,21,10,21,4,21,21,21,21,21,21,21,21
ARE,21,21,1,21,5,8,21,21,21,21,9,21,7,21,21,21,3,2,21,21,21,4,10,6,21,21,21,21,21,21,21
ARG,21,21,1,21,21,5,21,21,21,3,7,21,10,21,21,21,21,21,21,21,2,6,4,21,8,9,21,21,21,21,21
AUS,21,21,1,21,5,3,21,21,21,8,4,21,9,21,21,21,21,21,6,21,21,2,21,7,10,21,21,21,21,21,21
AUT,21,21,2,21,6,3,10,21,21,8,1,21,21,9,21,21,21,21,21,21,4,21,7,5,21,21,21,21,21,21,21
BEL,21,21,1,21,21,10,4,21,21,2,21,6,21,21,9,21,21,8,21,21,21,21,3,21,5,7,21,21,21,21,21
BGR,21,21,2,21,21,1,21,21,21,5,6,21,21,21,21,21,21,21,21,21,7,3,8,10,9,4,21,21,21,21,21
BIH,21,21,1,21,10,2,21,21,21,21,8,21,21,21,21,21,7,21,21,21,9,6,4,21,5,3,21,21,21,21,21
BLR,21,21,1,21,4,2,21,21,21,3,5,21,7,21,21,21,21,9,21,21,21,21,10,21,8,6,21,21,21,21,21
BRA,21,21,1,21,21,2,21,21,21,3,4,21,21,21,21,21,21,8,21,21,5,6,7,21,9,10,21,21,21,21,21
BRN,21,21,4,21,8,9,21,21,21,10,2,21,5,21,21,21,21,21,21,21,7,21,6,1,21,3,21,21,21,21,21
CAN,21,21,1,21,5,21,21,21,21,21,21,9,21,10,21,21,21,21,21,21,21,3,7,4,8,6,2,21,21,21,21
CHE,21,21,2,21,21,1,21,21,21,6,4,9,21,21,21,21,21,21,21,21,10,5,21,3,8,7,21,21,21,21,21
CHL,21,21,1,21,21,3,21,21,21,9,8,21,10,21,21,21,21,21,21,21,6,2,4,5,21,7,21,21,21,21,21
COL,21,21,1,21,7,2,21,21,21,5,6,21,21,21,21,21,21,21,9,21,3,10,8,21,21,4,21,21,21,21,21
CRI,21,21,1,21,7,2,3,21,21,6,8,21,21,21,10,21,21,21,21,21,21,4,5,21,9,21,21,21,21,21,21
CZE,21,21,1,21,5,21,21,21,21,2,4,21,9,21,21,21,21,21,21,21,3,7,21,21,10,6,8,21,21,21,21
DEU,21,21,5,21,21,21,21,21,21,9,2,10,21,21,21,21,21,21,21,21,1,4,3,6,8,7,21,21,21,21,21
DNK,21,21,2,21,21,7,8,21,21,5,4,21,6,21,21,21,21,21,21,21,1,9,10,21,21,21,3,21,21,21,21
DOM,21,21,4,21,21,8,21,21,21,1,2,21,6,21,9,21,21,21,21,21,21,21,10,5,7,3,21,21,21,21,21
ESP,21,21,1,21,21,2,21,21,21,6,21,8,21,9,10,21,21,21,21,21,3,4,5,7,21,21,21,21,21,21,21
EST,21,21,1,21,21,4,21,21,21,5,9,21,7,8,21,21,21,21,10,21,21,6,2,21,3,21,21,21,21,21,21
FIN,21,21,1,21,21,21,7,10,21,4,6,8,21,21,21,21,9,21,21,21,21,3,21,21,21,5,2,21,21,21,21
FRA,21,21,1,21,21,3,21,21,21,4,21,21,21,7,21,21,21,21,21,21,8,10,2,9,6,5,21,21,21,21,21
GBR,21,21,1,21,7,21,5,21,21,9,21,21,8,21,21,21,21,21,21,21,21,2,4,6,10,21,3,21,21,21,21
GEO,21,10,1,21,9,4,21,21,21,7,5,21,6,21,21,21,21,21,21,21,21,2,3,21,8,21,21,21,21,21,21
