,ATTLNACT,BELONG,COMPETE,DISCLIMA,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PERFEED,PV1MATH,PV1READ,PV1SCIE,RATCMP1,RATCMP2,REPEAT,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,STIMREAD,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
ALB,8,1,24,24,24,7,24,9,24,24,24,24,24,24,24,5,6,24,24,24,24,4,3,24,24,10,24,2,24,24,24,24,24,24,24,24,24
ARE,24,2,24,8,24,9,24,24,24,24,24,24,24,24,24,24,4,24,24,24,24,3,1,24,24,7,24,24,5,6,10,24,24,24,24,24,24
ARG,24,4,24,24,24,2,24,24,24,24,24,24,3,8,24,24,9,24,24,24,24,24,6,24,24,5,7,1,24,10,24,24,24,24,24,24,24
AUS,24,1,24,3,24,2,24,24,24,24,24,24,8,24,24,24,9,24,24,24,24,24,4,24,5,6,7,24,10,24,24,24,24,24,24,24,24
AUT,24,2,24,24,24,3,24,24,24,24,24,24,10,9,24,24,5,8,24,24,24,24,7,24,24,6,24,4,1,24,24,24,24,24,24,24,24
BEL,24,1,24,24,24,4,24,24,9,24,24,24,7,24,24,8,2,10,24,24,24,24,3,24,5,6,24,24,24,24,24,24,24,24,24,24,24
BGR,24,6,24,24,24,1,24,24,24,24,24,24,10,7,24,24,24,24,24,24,24,9,24,8,24,2,5,4,24,3,24,24,24,24,24,24,24
BIH,24,2,24,24,24,3,24,24,24,24,24,24,24,7,24,24,8,24,24,24,24,24,5,24,24,24,6,1,4,10,9,24,24,24,24,24,24
BLR,24,2,24,7,24,1,24,24,24,24,24,24,3,24,24,24,5,8,24,24,24,10,4,24,24,24,24,24,9,24,6,24,24,24,24,24,24
BRA,6,1,24,24,24,3,24,24,24,24,24,24,7,2,24,24,8,10,24,24,24,24,4,24,24,5,24,24,24,9,24,24,24,24,24,24,24
BRN,24,10,24,24,24,9,24,24,24,24,24,24,8,6,24,24,3,7,24,24,24,24,24,24,24,4,24,5,2,24,1,24,24,24,24,24,24
CAN,6,1,24,24,24,24,24,24,24,24,24,24,24,24,24,10,4,24,24,24,24,24,3,24,24,24,9,5,7,8,24,24,2,24,24,24,24
CHE,24,2,24,9,24,3,24,24,24,24,24,24,8,5,24,24,4,24,24,24,24,24,24,24,24,10,24,6,1,7,24,24,24,24,24,24,24
CHL,24,9,10,24,24,1,24,24,24,24,24,24,24,24,24,24,3,24,24,24,24,24,6,24,24,7,8,4,2,24,5,24,24,24,24,24,24
COL,24,5,24,24,24,2,24,24,24,24,24,24,3,7,24,24,1,24,24,24,24,24,8,6,24,10,24,4,9,24,24,24,24,24,24,24,24
CRI,24,1,24,6,24,2,24,24,24,24,24,24,7,24,24,24,3,24,24,24,8,24,24,24,24,5,24,4,24,10,24,24,24,9,24,24,24
CZE,24,1,24,6,24,5,24,24,24,24,24,24,2,24,24,24,3,24,24,24,24,24,8,24,24,24,24,9,24,24,4,24,10,24,24,24,7
DEU,24,6,24,10,24,24,24,24,24,24,24,24,7,4,24,24,8,9,24,24,24,24,5,24,24,2,24,3,1,24,24,24,24,24,24,24,24
DNK,24,1,24,10,24,24,24,24,24,24,24,24,3,4,24,24,6,24,24,24,24,24,2,9,24,5,8,24,7,24,24,24,24,24,24,24,24
DOM,24,5,24,24,24,8,24,24,24,24,24,24,2,1,24,24,4,24,24,24,24,10,9,24,24,3,24,24,7,6,24,24,24,24,24,24,24
ESP,24,4,24,24,24,3,24,24,24,24,24,24,8,24,24,24,7,10,24,24,24,24,9,24,24,6,5,1,2,24,24,24,24,24,24,24,24
EST,10,1,24,8,24,6,24,24,24,24,24,24,7,24,24,24,4,24,24,24,24,24,3,24,24,24,2,5,9,24,24,24,24,24,24,24,24
FIN,24,1,24,24,24,24,24,24,24,24,9,4,10,24,24,24,24,24,24,24,24,24,2,24,24,8,7,24,6,24,3,24,5,24,24,24,24
FRA,24,1,24,24,24,10,24,24,24,24,24,24,24,24,24,24,6,4,24,24,9,24,24,24,24,2,24,7,3,5,8,24,24,24,24,24,24
GBR,24,1,24,5,24,24,24,24,24,24,24,24,24,24,24,24,8,24,24,24,24,24,3,10,24,24,7,2,9,4,24,24,6,24,24,24,24
GEO,24,2,24,24,24,5,24,24,24,8,24,24,9,24,24,24,6,24,24,24,24,7,4,24,24,24,1,3,10,24,24,24,24,24,24,24,24
GRC,24,7,24,24,24,8,24,24,24,24,24,24,10,24,24,24,2,24,24,24,24,24,4,24,24,6,3,1,9,5,24,24,24,24,24,24,24
HKG,7,1,24,4,24,6,24,5,24,24,10,24,24,24,24,24,3,24,24,24,24,8,2,24,24,24,24,24,24,9,24,24,24,24,24,24,24
HRV,24,1,24,24,24,4,24,24,24,24,24,24,3,24,24,24,8,24,24,24,24,24,2,24,24,6,24,7,9,24,5,24,10,24,24,24,24
