,AGE,ATTLNACT,BELONG,BSMJ,COMPETE,DISCLIMA,DURECEC,EDUSHORT,EMOSUPS,EUDMO,GFOFAIL,GRADE,JOYREAD,MASTGOAL,METASPAM,METASUM,PERCOMP,PERCOOP,PV1MATH,PV1READ,PV1SCIE,RATCMP2,REPEAT,SCREADCOMP,SCREADDIFF,ST004D01T,ST184Q01HA,ST185Q01HA,ST206Q01HA,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,ST207Q05HA,SWBP,TEACHINT,TEACHSUP,UNDREM,WORKMAST
ALB,0.1,7.0,10.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,3.0,6.0,0.1,0.1,0.1,0.1,8.0,0.1,4.0,2.0,0.1,0.1,0.1,0.1,0.1
ARE,0.1,0.1,9.0,0.1,0.1,4.0,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,8.0,0.1,0.1,0.1,0.1,6.0,10.0,0.1,0.1,2.0,0.1,0.1,3.0,7.0,0.1,0.1,0.1,0.1,0.1,0.1
ARG,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,0.1,9.0,2.0,7.0,0.1,1.0,3.0,0.1,0.1,0.1,0.1,0.1
AUS,0.1,0.1,10.0,0.1,0.1,6.0,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,7.0,0.1,5.0,0.1,0.1,0.1,0.1,0.1,8.0,3.0,2.0,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AUT,0.1,0.1,7.0,0.1,0.1,1.0,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,6.0,0.1,4.0,10.0,3.0,2.0,0.1,0.1,0.1,0.1,0.1
BEL,0.1,0.1,10.0,0.1,0.1,4.0,0.1,0.1,8.0,3.0,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,0.1,1.0,6.0,0.1,2.0,0.1,0.1,0.1,0.1,0.1,0.1
BGR,0.1,0.1,4.0,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,6.0,0.1,2.0,9.0,7.0,5.0,8.0,0.1,0.1,0.1,0.1,0.1,0.1
BIH,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,3.0,0.1,0.1,0.1,0.1,0.1,5.0,0.1,0.1,0.1,6.0,10.0,8.0,4.0,2.0,0.1,0.1,0.1,0.1,0.1
BLR,0.1,0.1,8.0,0.1,0.1,4.0,0.1,0.1,10.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,1.0,0.1,9.0,2.0,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,7.0,0.1,0.1,3.0,0.1,0.1,0.1,0.1,0.1
BRA,0.1,3.0,10.0,0.1,0.1,0.1,0.1,0.1,7.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,8.0,0.1,1.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,2.0,0.1,5.0,0.1,4.0,0.1,0.1,0.1,0.1,0.1,0.1
BRN,0.1,0.1,1.0,0.1,0.1,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.0,0.1,9.0,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,7.0,0.1,3.0,10.0,5.0,8.0,0.1,0.1,0.1,0.1,0.1
CAN,0.1,0.1,10.0,0.1,0.1,5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.0,0.1,0.1,0.1,0.1,0.1,8.0,0.1,0.1,0.1,7.0,9.0,4.0,1.0,3.0,2.0,0.1,0.1,0.1,0.1
CHE,0.1,0.1,8.0,0.1,0.1,0.1,0.1,0.1,9.0,0.1,0.1,1.0,0.1,0.1,0.1,0.1,4.0,7.0,2.0,6.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.0,0.1,10.0,3.0,0.1,0.1,0.1,0.1,0.1,0.1
