Predictor,Countries_with_Rank1,Countries_in_Top10,Avg_Rank,Median_Rank,Mean_Importance,Category
BELONG,64.0,76,1.236842105263158,1.0,0.08795668431578947,Microsystem
ST004D01T,9.0,71,3.1690140845070425,2.0,0.052945595633802814,Individual
PV1READ,2.0,39,6.358974358974359,6.0,0.03382303117948718,Individual
ST207Q03HA,1.0,43,5.883720930232558,6.0,0.03471515976744186,Microsystem
DISCLIMA,,61,4.754098360655738,4.0,0.03529444632786885,Microsystem
EMOSUPS,,58,4.724137931034483,4.0,0.03539062118965517,Microsystem
GFOFAIL,,49,6.551020408163265,6.0,0.030182222918367346,Individual
PERCOMP,,47,6.085106382978723,6.0,0.030506742191489362,Microsystem
ST207Q02HA,,44,6.863636363636363,7.0,0.03089197963636364,Microsystem
ST207Q01HA,,42,6.833333333333333,7.0,0.03031686980952381,Microsystem
ST207Q04HA,,41,6.853658536585366,7.0,0.030289336512195123,Microsystem
ST207Q05HA,,30,7.133333333333334,7.0,0.029625921366666665,Microsystem
SWBP,,29,5.793103448275862,6.0,0.03172517565517242,Microsystem
ST206Q01HA,,28,7.392857142857143,8.0,0.02797542932142857,Microsystem
PERCOOP,,24,7.375,7.5,0.029024922374999998,Microsystem
SCREADDIFF,,17,7.411764705882353,8.0,0.02828654817647059,Individual
REPEAT,,9,5.888888888888889,5.0,0.03527525855555555,Proximal
PV1MATH,,8,8.375,8.0,0.0276810675,Individual
GRADE,,6,3.8333333333333335,4.0,0.037332604,Individual
ATTLNACT,,6,7.166666666666667,9.0,0.0280891365,Microsystem
ST185Q01HA,,5,6.4,6.0,0.0291807262,Uncategorized
TEACHSUP,,4,8.25,9.0,0.028130692500000002,Microsystem
EUDMO,,3,8.333333333333334,10.0,0.025965560333333332,Individual
JOYREAD,,3,8.333333333333334,9.0,0.02694246733333333,Individual
ST184Q01HA,,2,5.5,5.5,0.034916214,Uncategorized
EDUSHORT,,2,6.5,6.5,0.031741648,Macro
PV1SCIE,,2,6.5,6.5,0.0299997505,Individual
COMPETE,,2,8.0,8.0,0.026938255,Individual
SCREADCOMP,,2,8.0,8.0,0.026201562,Individual
WORKMAST,,2,8.0,8.0,0.0258802835,Individual
RESILIENCE,,2,9.0,9.0,0.025329512,Individual
RATCMP2,,1,6.0,6.0,0.031290557,Macro
DIRINS,,1,8.0,8.0,0.026759692,Microsystem
METASUM,,1,9.0,9.0,0.022271741,Proximal
