Community_ID,Countries
1,['MNE']
2,"['ARE', 'ARG', 'AUS', 'AUT', 'BIH', 'BLR', 'BRA', 'CAN', 'CHL', 'COL', 'CRI', 'CZE', 'DNK', 'ESP', 'EST', 'GBR', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IDN', 'IRL', 'ITA', 'JOR', 'JPN', 'KAZ', 'KSV', 'LTU', 'MAR', 'MEX', 'MLT', 'MYS', 'NLD', 'NOR', 'NZL', 'PER', 'POL', 'QAT', 'QAZ', 'QCI', 'QRT', 'ROU', 'RUS', 'SAU', 'SRB', 'SVN', 'SWE', 'TUR', 'UKR', 'URY', 'USA', 'VNM']"
3,['MAC']
4,['FRA']
5,['ALB']
6,['DOM']
7,['FIN']
8,['SVK']
9,['PRT']
10,['PAN']
11,['BGR']
12,['MDA']
13,['QMR']
14,['BEL']
15,['TAP']
16,['BRN']
17,['THA']
18,['LVA']
19,['SGP']
20,['ISL']
21,['DEU']
22,['LUX']
23,['CHE']
24,['PHL']
