Country,Individual,Macro,Microsystem,Proximal,Uncategorized
ALB,6,0,4,0,0
ARE,3,0,7,0,0
ARG,2,0,8,0,0
AUS,3,0,6,0,1
AUT,3,0,7,0,0
BEL,1,0,9,0,0
BGR,2,0,8,0,0
BIH,2,0,8,0,0
BLR,1,0,9,0,0
BRA,3,0,7,0,0
BRN,5,0,5,0,0
CAN,4,0,6,0,0
CHE,2,0,8,0,0
CHL,3,0,7,0,0
COL,4,0,6,0,0
CRI,2,0,8,0,0
CZE,3,0,7,0,0
DEU,1,0,9,0,0
DNK,3,0,7,0,0
DOM,4,0,6,0,0
ESP,2,0,8,0,0
EST,2,0,8,0,0
FIN,2,0,7,1,0
FRA,2,0,7,1,0
GBR,3,0,6,0,1
GEO,2,0,7,1,0
GRC,3,0,7,0,0
HKG,3,0,6,0,1
HRV,2,0,8,0,0
HUN,3,0,7,0,0
IDN,3,0,7,0,0
IRL,2,0,8,0,0
ISL,2,0,7,1,0
ITA,2,0,8,0,0
JOR,4,0,6,0,0
JPN,5,0,5,0,0
KAZ,2,0,8,0,0
KSV,4,0,6,0,0
LTU,2,0,8,0,0
LUX,2,0,7,0,1
LVA,4,0,5,0,1
MAC,3,1,6,0,0
MAR,4,0,6,0,0
MDA,3,0,7,0,0
MEX,2,0,8,0,0
MLT,3,0,5,2,0
MNE,3,0,6,1,0
MYS,1,0,9,0,0
NLD,3,0,7,0,0
NOR,1,0,9,0,0
NZL,3,0,7,0,0
PAN,2,0,8,0,0
PER,5,0,5,0,0
PHL,4,0,6,0,0
POL,3,0,7,0,0
PRT,4,0,5,1,0
QAT,3,0,7,0,0
QAZ,3,0,7,0,0
QCI,2,0,8,0,0
QMR,1,0,9,0,0
QRT,2,0,8,0,0
ROU,4,0,6,0,0
RUS,2,0,8,0,0
SAU,1,0,9,0,0
SGP,3,0,7,0,0
SRB,4,0,6,0,0
SVK,3,0,7,0,0
SVN,2,0,8,0,0
SWE,2,0,7,0,1
TAP,2,0,7,1,0
THA,3,0,6,1,0
TUR,3,0,7,0,0
UKR,1,0,9,0,0
URY,3,0,7,0,0
USA,3,0,7,0,0
VNM,2,2,5,0,1
