A,B,Support_AB,Support_A,Support_B,Lift
BELONG,ST004D01T,71,76,71,1.0
BELONG,DISCLIMA,61,76,61,1.0
BELONG,EMOSUPS,58,76,58,1.0
DISCLIMA,ST004D01T,57,61,71,1.0002308935580697
EMOSUPS,ST004D01T,53,58,71,0.9781447304516754
BELONG,GFOFAIL,49,76,49,1.0
BELONG,PERCOMP,47,76,47,1.0
GFOFAIL,ST004D01T,46,49,71,1.0048864616269042
BELONG,ST207Q02HA,44,76,44,1.0
DISCLIMA,EMOSUPS,44,61,58,0.945166760881854
BELONG,ST207Q03HA,43,76,43,1.0
BELONG,ST207Q01HA,42,76,42,1.0
PERCOMP,ST004D01T,42,47,71,0.9565477974228348
DISCLIMA,GFOFAIL,41,61,49,1.0424891267982603
BELONG,ST207Q04HA,41,76,41,1.0
ST004D01T,ST207Q03HA,40,71,43,0.9957418932197837
ST004D01T,ST207Q02HA,40,71,44,0.9731113956466069
BELONG,PV1READ,39,76,39,1.0
ST004D01T,ST207Q01HA,39,71,42,0.9939637826961769
DISCLIMA,PERCOMP,38,61,47,1.007324729682595
ST004D01T,ST207Q04HA,38,71,41,0.9920989350738577
EMOSUPS,PERCOMP,37,58,47,1.0315480557593542
PV1READ,ST004D01T,37,39,71,1.0155290718671
EMOSUPS,ST207Q03HA,36,58,43,1.0970328789093824
EMOSUPS,GFOFAIL,36,58,49,0.9627023223082335
DISCLIMA,ST207Q02HA,35,61,44,0.991058122205663
DISCLIMA,ST207Q04HA,34,61,41,1.033186725309876
EMOSUPS,ST207Q02HA,34,58,44,1.012539184952978
DISCLIMA,ST207Q01HA,34,61,42,1.0085870413739264
EMOSUPS,ST207Q04HA,33,58,41,1.0546677880571909
EMOSUPS,PV1READ,30,58,39,1.0079575596816974
BELONG,ST207Q05HA,30,76,30,1.0
GFOFAIL,PERCOMP,30,49,47,0.9900130264871906
DISCLIMA,ST207Q03HA,30,61,43,0.86923370186809
GFOFAIL,ST207Q01HA,29,49,42,1.0709426627793974
BELONG,SWBP,29,76,29,1.0
BELONG,ST206Q01HA,28,76,28,1.0
ST004D01T,ST207Q05HA,28,71,30,0.9990610328638497
