A,B,C,Support_ABC,Support_A,Support_B,Support_C,Lift3
BELONG,DISCLIMA,ST004D01T,57,76,61,71,1.0002308935580697
BELONG,EMOSUPS,ST004D01T,53,76,58,71,0.9781447304516754
BELONG,GFOFAIL,ST004D01T,46,76,49,71,1.0048864616269042
BELONG,DISCLIMA,EMOSUPS,44,76,61,58,0.945166760881854
BELONG,PERCOMP,ST004D01T,42,76,47,71,0.9565477974228348
BELONG,DISCLIMA,GFOFAIL,41,76,61,49,1.0424891267982603
BELONG,ST004D01T,ST207Q03HA,40,76,71,43,0.9957418932197837
BELONG,ST004D01T,ST207Q02HA,40,76,71,44,0.9731113956466069
DISCLIMA,EMOSUPS,ST004D01T,40,61,58,71,0.9197525458005236
DISCLIMA,GFOFAIL,ST004D01T,39,61,49,71,1.061469519694278
BELONG,ST004D01T,ST207Q01HA,39,76,71,42,0.9939637826961769
BELONG,DISCLIMA,PERCOMP,38,76,61,47,1.007324729682595
BELONG,ST004D01T,ST207Q04HA,38,76,71,41,0.9920989350738577
BELONG,EMOSUPS,PERCOMP,37,76,58,47,1.0315480557593542
BELONG,PV1READ,ST004D01T,37,76,39,71,1.0155290718671
BELONG,EMOSUPS,ST207Q03HA,36,76,58,43,1.0970328789093824
BELONG,EMOSUPS,GFOFAIL,36,76,58,49,0.9627023223082335
BELONG,DISCLIMA,ST207Q02HA,35,76,61,44,0.991058122205663
BELONG,DISCLIMA,ST207Q04HA,34,76,61,41,1.033186725309876
BELONG,EMOSUPS,ST207Q02HA,34,76,58,44,1.012539184952978
BELONG,DISCLIMA,ST207Q01HA,34,76,61,42,1.0085870413739264
DISCLIMA,PERCOMP,ST004D01T,34,61,47,71,0.9647617129354431
EMOSUPS,ST004D01T,ST207Q03HA,33,58,71,43,1.0764313224979385
BELONG,EMOSUPS,ST207Q04HA,33,76,58,41,1.0546677880571909
EMOSUPS,GFOFAIL,ST004D01T,33,58,49,71,0.9446234054573747
DISCLIMA,ST004D01T,ST207Q01HA,32,61,71,42,1.0161075744081975
DISCLIMA,ST004D01T,ST207Q02HA,32,61,71,44,0.9699208664805523
EMOSUPS,PERCOMP,ST004D01T,32,58,47,71,0.9549771113843735
DISCLIMA,ST004D01T,ST207Q04HA,31,61,71,41,1.0083628520422816
EMOSUPS,ST004D01T,ST207Q04HA,30,58,71,41,1.0263092431798528
BELONG,EMOSUPS,PV1READ,30,76,58,39,1.0079575596816974
BELONG,GFOFAIL,PERCOMP,30,76,49,47,0.9900130264871906
EMOSUPS,ST004D01T,ST207Q02HA,30,58,71,44,0.9563336129630445
BELONG,DISCLIMA,ST207Q03HA,30,76,61,43,0.86923370186809
BELONG,GFOFAIL,ST207Q01HA,29,76,49,42,1.0709426627793974
DISCLIMA,EMOSUPS,PERCOMP,29,61,58,47,1.007324729682595
DISCLIMA,EMOSUPS,GFOFAIL,29,61,58,49,0.9662094345935094
EMOSUPS,PV1READ,ST004D01T,28,58,39,71,1.007011120658522
