Predictor,Countries_list
AGE,['TAP']
ATTLNACT,"['ALB', 'BRA', 'HKG', 'ISL', 'JOR', 'KSV', 'LUX', 'PAN', 'QAT']"
BELONG,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BGR', 'BIH', 'BLR', 'BRA', 'BRN', 'CAN', 'CHE', 'CHL', 'COL', 'CRI', 'CZE', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IDN', 'IRL', 'ISL', 'ITA', 'JOR', 'JPN', 'KAZ', 'KOR', 'KSV', 'LTU', 'LUX', 'LVA', 'MAC', 'MAR', 'MDA', 'MEX', 'MLT', 'MNE', 'MYS', 'NLD', 'NOR', 'NZL', 'PAN', 'PER', 'POL', 'PRT', 'QAT', 'QAZ', 'QCI', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SGP', 'SRB', 'SVK', 'SVN', 'SWE', 'TAP', 'THA', 'TUR', 'UKR', 'URY', 'USA', 'VNM']"
BSMJ,['MDA']
COMPETE,['SGP']
DISCLIMA,"['ARE', 'AUS', 'AUT', 'BEL', 'BLR', 'BRN', 'CAN', 'CRI', 'CZE', 'EST', 'FIN', 'GBR', 'HKG', 'IDN', 'IRL', 'JPN', 'KOR', 'MAC', 'MDA', 'MEX', 'MLT', 'MYS', 'NLD', 'NOR', 'NZL', 'PER', 'PHL', 'QCI', 'ROU', 'SGP', 'SWE', 'TAP', 'TUR', 'UKR', 'USA', 'VNM']"
DURECEC,['KOR']
EDUSHORT,"['KOR', 'VNM']"
EMOSUPS,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BGR', 'BIH', 'BLR', 'BRA', 'CHE', 'CHL', 'COL', 'CRI', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FIN', 'FRA', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'JOR', 'JPN', 'KAZ', 'KOR', 'KSV', 'LTU', 'LUX', 'LVA', 'MAC', 'MAR', 'MDA', 'MEX', 'MLT', 'MNE', 'MYS', 'NLD', 'NOR', 'NZL', 'PAN', 'PER', 'PHL', 'POL', 'PRT', 'QAT', 'QAZ', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SRB', 'SVK', 'SVN', 'TAP', 'THA', 'TUR', 'UKR', 'URY', 'USA']"
EUDMO,"['BEL', 'HKG', 'JPN']"
GFOFAIL,"['ALB', 'FIN', 'KOR', 'QCI', 'TAP']"
GRADE,"['CHE', 'FRA', 'IDN', 'LUX', 'TAP', 'VNM']"
JOYREAD,['MYS']
MASTGOAL,['ISL']
METASPAM,['PRT']
METASUM,"['JPN', 'KOR', 'SGP']"
PERCOMP,"['ARG', 'AUS', 'BEL', 'BLR', 'BRA', 'CHE', 'CHL', 'COL', 'CZE', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'GEO', 'GRC', 'HRV', 'HUN', 'IRL', 'JPN', 'KAZ', 'LTU', 'LVA', 'MAR', 'MEX', 'NLD', 'PAN', 'PER', 'PHL', 'PRT', 'QAZ', 'QCI', 'QMR', 'QRT', 'ROU', 'RUS', 'SRB', 'SVN', 'SWE', 'UKR', 'URY', 'VNM']"
