Predictor,Countries_with_Rank1,Countries_in_Top10,Avg_Rank,Median_Rank,Mean_Importance,Category
EMOSUPS,23.0,68,3.2058823529411766,2.5,0.055785452867647065,Microsystem
BELONG,19.0,76,3.4473684210526314,3.0,0.04993846710526315,Microsystem
ST004D01T,11.0,72,4.111111111111111,4.0,0.048811779,Individual
ST207Q01HA,5.0,43,5.651162790697675,6.0,0.04681480723255813,Microsystem
ST207Q02HA,4.0,64,5.1875,5.0,0.044696614390625,Microsystem
PV1READ,4.0,53,5.037735849056604,5.0,0.040607628113207554,Individual
ST207Q03HA,4.0,52,6.211538461538462,7.0,0.041407056634615386,Microsystem
PERCOOP,2.0,44,6.045454545454546,6.0,0.039992776068181815,Microsystem
PERCOMP,2.0,42,5.571428571428571,6.0,0.038991324523809524,Microsystem
DISCLIMA,1.0,36,5.888888888888889,6.0,0.03372762363888889,Microsystem
PV1SCIE,1.0,10,7.5,9.0,0.0316064497,Individual
REPEAT,1.0,5,6.2,8.0,0.0549100512,Proximal
ST207Q04HA,,49,7.36734693877551,8.0,0.03193121955102041,Microsystem
ST206Q01HA,,38,6.2105263157894735,6.0,0.03807267552631579,Microsystem
ST207Q05HA,,38,6.921052631578948,7.5,0.033699611184210526,Microsystem
ST184Q01HA,,11,7.0,7.0,0.032330898272727275,Uncategorized
PV1MATH,,10,7.2,7.0,0.029008854299999998,Individual
SCREADDIFF,,9,7.333333333333333,8.0,0.028948641777777777,Individual
ATTLNACT,,9,7.666666666666667,8.0,0.030055692666666665,Microsystem
GRADE,,6,5.5,4.5,0.03385764483333333,Individual
GFOFAIL,,5,8.4,9.0,0.026332298999999997,Individual
METASUM,,3,7.666666666666667,7.0,0.024997231666666665,Proximal
ST185Q01HA,,3,8.666666666666666,9.0,0.025556805000000002,Uncategorized
EUDMO,,3,9.0,9.0,0.02400319033333333,Individual
SWBP,,3,9.0,9.0,0.028687356666666667,Microsystem
SCREADCOMP,,2,7.0,7.0,0.026612707,Individual
TEACHSUP,,2,7.5,7.5,0.0289387285,Microsystem
EDUSHORT,,2,9.0,9.0,0.0267322745,Macro
RATCMP2,,2,9.5,9.5,0.024340544,Macro
AGE,,1,6.0,6.0,0.028073946,Individual
DURECEC,,1,7.0,7.0,0.029058317,Microsystem
BSMJ,,1,8.0,8.0,0.02753679,Individual
TEACHINT,,1,9.0,9.0,0.022758033,Microsystem
UNDREM,,1,9.0,9.0,0.027135279,Proximal
WORKMAST,,1,9.0,9.0,0.0285266,Individual
COMPETE,,1,10.0,10.0,0.024872566,Individual
JOYREAD,,1,10.0,10.0,0.022714145,Individual
MASTGOAL,,1,10.0,10.0,0.02441359,Individual
METASPAM,,1,10.0,10.0,0.02159097,Proximal
