Community_ID,Countries
1,"['AUS', 'BEL', 'BGR', 'BIH', 'BLR', 'BRA', 'CAN', 'COL', 'CRI', 'DNK', 'ESP', 'EST', 'GEO', 'GRC', 'HRV', 'HUN', 'ITA', 'KAZ', 'LTU', 'LUX', 'MAR', 'MEX', 'MLT', 'MNE', 'NLD', 'NZL', 'PER', 'QAT', 'QAZ', 'QMR', 'QRT', 'ROU', 'SRB', 'SVK', 'SVN', 'THA', 'TUR', 'UKR', 'URY', 'USA']"
2,['CZE']
3,['ARG']
4,['IDN']
5,['VNM']
6,['SGP']
7,['DEU']
8,"['AUT', 'CHL', 'IRL', 'JOR', 'SAU']"
9,['POL']
10,['PHL']
11,['FRA']
12,['SWE']
13,['FIN']
14,['KSV']
15,['MDA']
16,['ARE']
17,['BRN']
18,['LVA']
19,['MYS']
20,['CHE']
21,['HKG']
22,['MAC']
23,['JPN']
24,['PAN']
25,['GBR']
26,['TAP']
27,['ISL']
28,['RUS']
29,['QCI']
30,['NOR']
31,['ALB']
32,['DOM']
33,['PRT']
34,['KOR']
