Country,Individual,Macro,Microsystem,Proximal,Uncategorized
ALB,4,0,6,0,0
ARE,3,0,7,0,0
ARG,1,0,9,0,0
AUS,2,0,6,0,2
AUT,1,0,9,0,0
BEL,3,0,7,0,0
BGR,1,0,8,0,1
BIH,2,0,8,0,0
BLR,3,0,7,0,0
BRA,2,0,8,0,0
BRN,2,0,8,0,0
CAN,2,0,8,0,0
CHE,3,0,7,0,0
CHL,2,0,8,0,0
COL,2,0,7,0,1
CRI,2,0,7,1,0
CZE,2,0,8,0,0
DEU,2,0,8,0,0
DNK,1,0,8,0,1
DOM,1,0,9,0,0
ESP,1,0,8,1,0
EST,1,0,9,0,0
FIN,2,0,8,0,0
FRA,3,0,7,0,0
GBR,1,0,8,0,1
GEO,2,0,8,0,0
GRC,2,0,8,0,0
HKG,2,1,6,0,1
HRV,2,0,8,0,0
HUN,3,0,7,0,0
IDN,4,0,6,0,0
IRL,1,0,9,0,0
ISL,4,0,6,0,0
ITA,2,0,8,0,0
JOR,2,0,8,0,0
JPN,3,0,5,1,1
KAZ,2,0,8,0,0
KOR,2,1,6,1,0
KSV,3,0,7,0,0
LTU,2,0,8,0,0
LUX,4,0,6,0,0
LVA,3,0,6,0,1
MAC,4,0,6,0,0
MAR,1,0,9,0,0
MDA,3,0,7,0,0
MEX,3,0,7,0,0
MLT,1,0,9,0,0
MNE,2,0,8,0,0
MYS,5,0,5,0,0
NLD,2,0,6,1,1
NOR,2,0,8,0,0
NZL,2,0,8,0,0
PAN,1,0,9,0,0
PER,2,0,8,0,0
PHL,4,0,6,0,0
POL,2,0,8,0,0
PRT,3,0,5,2,0
QAT,2,0,7,0,1
QAZ,1,0,8,0,1
QCI,3,0,7,0,0
QMR,2,0,7,1,0
QRT,2,0,8,0,0
ROU,2,0,8,0,0
RUS,2,0,8,0,0
SAU,2,0,8,0,0
SGP,5,0,4,1,0
SRB,3,0,7,0,0
SVK,2,0,8,0,0
SVN,2,0,8,0,0
SWE,1,0,9,0,0
TAP,4,1,5,0,0
THA,3,0,7,0,0
TUR,3,0,7,0,0
UKR,2,0,8,0,0
URY,1,0,9,0,0
USA,3,0,6,0,1
VNM,2,1,5,1,1
