A,B,Support_AB,Support_A,Support_B,Lift
BELONG,ST004D01T,71,76,72,0.9990862573099416
BELONG,EMOSUPS,67,76,68,0.9982585139318886
BELONG,ST207Q02HA,63,76,64,0.997327302631579
EMOSUPS,ST004D01T,63,68,72,0.9908088235294119
ST004D01T,ST207Q02HA,61,72,64,1.0193142361111112
EMOSUPS,ST207Q02HA,59,68,64,1.0438878676470589
BELONG,ST207Q03HA,52,76,52,1.013157894736842
BELONG,PV1READ,52,76,53,0.9940417080436942
BELONG,ST207Q04HA,49,76,49,1.013157894736842
EMOSUPS,PV1READ,48,68,53,1.025527192008879
PV1READ,ST004D01T,48,53,72,0.9685534591194969
ST004D01T,ST207Q03HA,47,72,52,0.9666132478632479
ST004D01T,ST207Q04HA,46,72,49,1.003968253968254
EMOSUPS,ST207Q03HA,46,68,52,1.0016968325791855
ST207Q02HA,ST207Q03HA,44,64,52,1.018028846153846
BELONG,ST207Q01HA,43,76,43,1.013157894736842
BELONG,PERCOOP,43,76,44,0.9901315789473685
PV1READ,ST207Q02HA,43,53,64,0.9761202830188678
ST207Q02HA,ST207Q04HA,42,64,49,1.03125
EMOSUPS,ST207Q04HA,42,68,49,0.9705882352941175
EMOSUPS,PERCOOP,41,68,44,1.0551470588235294
BELONG,PERCOMP,41,76,42,0.9890350877192983
PERCOOP,ST004D01T,40,44,72,0.9722222222222221
PERCOMP,ST004D01T,39,42,72,0.9930555555555555
ST004D01T,ST207Q01HA,39,72,43,0.9699612403100776
EMOSUPS,PERCOMP,38,68,42,1.0245098039215688
BELONG,ST206Q01HA,38,76,38,1.013157894736842
BELONG,ST207Q05HA,37,76,38,0.9864958448753463
EMOSUPS,ST207Q01HA,37,68,43,0.9743502051983585
ST207Q02HA,ST207Q05HA,36,64,38,1.1398026315789473
EMOSUPS,ST207Q05HA,36,68,38,1.0727554179566563
ST004D01T,ST207Q05HA,36,72,38,1.0131578947368423
ST207Q01HA,ST207Q02HA,36,43,64,1.007267441860465
PV1READ,ST207Q03HA,36,53,52,1.0058055152394774
PERCOOP,PV1READ,35,44,53,1.1556603773584906
DISCLIMA,ST004D01T,35,36,72,1.0397376543209877
PERCOMP,ST207Q02HA,35,42,64,1.0026041666666665
BELONG,DISCLIMA,35,76,36,0.985014619883041
