A,B,C,Support_ABC,Support_A,Support_B,Support_C,Lift3
BELONG,EMOSUPS,ST004D01T,62,76,68,72,0.9879117217062265
BELONG,ST004D01T,ST207Q02HA,60,76,72,64,1.0157963267543861
BELONG,EMOSUPS,ST207Q02HA,58,76,68,64,1.0396974167956656
EMOSUPS,ST004D01T,ST207Q02HA,56,68,72,64,1.0596149918300652
BELONG,EMOSUPS,PV1READ,47,76,68,53,1.0173747006250364
BELONG,ST004D01T,ST207Q03HA,47,76,72,52,0.9793318432298695
BELONG,PV1READ,ST004D01T,47,76,53,72,0.9608538839236456
BELONG,ST004D01T,ST207Q04HA,46,76,72,49,1.0171783625730995
BELONG,EMOSUPS,ST207Q03HA,46,76,68,52,1.0148770540604906
BELONG,ST207Q02HA,ST207Q03HA,44,76,64,52,1.0314239625506072
EMOSUPS,PV1READ,ST004D01T,43,68,53,72,0.9825001541497101
BELONG,ST207Q02HA,ST207Q04HA,42,76,64,49,1.0448190789473684
BELONG,EMOSUPS,ST207Q04HA,42,76,68,49,0.983359133126935
BELONG,PV1READ,ST207Q02HA,42,76,53,64,0.9659648088381331
ST004D01T,ST207Q02HA,ST207Q03HA,41,72,64,52,1.0144940237713675
EMOSUPS,ST004D01T,ST207Q03HA,41,68,72,52,0.9548179047259929
ST004D01T,ST207Q02HA,ST207Q04HA,40,72,64,49,1.050347222222222
EMOSUPS,ST207Q02HA,ST207Q03HA,40,68,64,52,1.0479708710407238
BELONG,EMOSUPS,PERCOOP,40,76,68,44,1.0429566563467492
EMOSUPS,PV1READ,ST207Q02HA,40,68,53,64,1.0281978357380686
PV1READ,ST004D01T,ST207Q02HA,40,53,72,64,0.9710757337526205
BELONG,ST004D01T,ST207Q01HA,39,76,72,43,0.9827238882088943
EMOSUPS,ST004D01T,ST207Q04HA,39,68,72,49,0.9638480392156862
BELONG,PERCOOP,ST004D01T,39,76,44,72,0.9603892543859649
EMOSUPS,ST207Q02HA,ST207Q04HA,38,68,64,49,1.0565257352941175
BELONG,PERCOMP,ST004D01T,38,76,42,72,0.9803240740740741
EMOSUPS,PERCOOP,ST004D01T,37,68,44,72,1.0183312908496733
BELONG,EMOSUPS,PERCOMP,37,76,68,42,1.0106746646026832
BELONG,EMOSUPS,ST207Q01HA,37,76,68,43,0.9871706026351791
BELONG,ST207Q01HA,ST207Q02HA,36,76,43,64,1.0205209608323134
BELONG,PV1READ,ST207Q03HA,36,76,53,52,1.019039798334734
ST004D01T,ST207Q02HA,ST207Q05HA,35,72,64,38,1.1850957145467838
BELONG,ST207Q02HA,ST207Q05HA,35,76,64,38,1.1227222558864267
BELONG,EMOSUPS,ST207Q05HA,35,76,68,38,1.0566797702460484
EMOSUPS,PERCOMP,ST004D01T,35,68,42,72,1.009157135076253
BELONG,ST004D01T,ST206Q01HA,35,76,72,38,0.9979753385657125
BELONG,ST004D01T,ST207Q05HA,35,76,72,38,0.9979753385657125
EMOSUPS,ST207Q02HA,ST207Q05HA,34,68,64,38,1.218955592105263
