Predictor,Countries_with_Rank1,Countries_in_Top10,Avg_Rank,Median_Rank,Mean_Importance,Category
BELONG,56.0,77,1.7532467532467533,1.0,0.06761908312987013,Microsystem
EMOSUPS,8.0,66,3.8333333333333335,3.0,0.04378418696969697,Microsystem
ST206Q01HA,5.0,45,5.111111111111111,5.0,0.04410716111111111,Microsystem
PERCOMP,2.0,57,5.385964912280702,5.0,0.03827587236842105,Microsystem
PERCOOP,2.0,50,5.32,5.0,0.03937999182,Microsystem
ST207Q02HA,1.0,57,5.5964912280701755,5.0,0.034915078280701756,Microsystem
PV1READ,1.0,37,6.243243243243243,7.0,0.03368840191891892,Individual
ST207Q03HA,1.0,33,6.636363636363637,7.0,0.03405314936363636,Microsystem
ST004D01T,1.0,27,4.703703703703703,4.0,0.03935945933333333,Individual
ST207Q01HA,,55,5.6909090909090905,6.0,0.03456228629090909,Microsystem
ST207Q05HA,,50,5.98,6.0,0.03398766954,Microsystem
ST207Q04HA,,43,7.674418604651163,8.0,0.02957246813953488,Microsystem
DISCLIMA,,39,6.358974358974359,7.0,0.03127339705128205,Microsystem
PV1MATH,,20,7.2,7.5,0.029374067450000003,Individual
GFOFAIL,,19,7.157894736842105,7.0,0.028048244894736844,Individual
SWBP,,16,5.375,5.0,0.0340080389375,Microsystem
PV1SCIE,,15,7.866666666666666,8.0,0.028499016,Individual
ST184Q01HA,,10,7.8,8.5,0.029118210099999996,Uncategorized
GRADE,,9,6.333333333333333,7.0,0.030093866444444443,Individual
SCREADDIFF,,9,6.888888888888889,7.0,0.03031499966666667,Individual
REPEAT,,9,7.555555555555555,9.0,0.030723754,Proximal
ATTLNACT,,8,7.0,7.5,0.029474121375,Microsystem
ST185Q01HA,,3,4.333333333333333,4.0,0.032690168666666665,Uncategorized
TEACHINT,,3,9.333333333333334,10.0,0.025808606,Microsystem
TEACHSUP,,3,9.666666666666666,10.0,0.026106344,Microsystem
WORKMAST,,2,7.0,7.0,0.029172173,Individual
ADAPTIVITY,,2,8.0,8.0,0.025527827500000003,Microsystem
METASUM,,2,9.5,9.5,0.024653827,Proximal
UNDREM,,2,10.0,10.0,0.025547457500000002,Proximal
SCREADCOMP,,1,4.0,4.0,0.032267693,Individual
BSMJ,,1,10.0,10.0,0.024319226,Individual
