Community_ID,Countries
1,"['ARG', 'AUS', 'AUT', 'BGR', 'BIH', 'BLR', 'BRA', 'CHE', 'CHL', 'COL', 'DEU', 'ESP', 'EST', 'FRA', 'GEO', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'KAZ', 'LTU', 'MAR', 'MDA', 'MEX', 'MNE', 'NLD', 'NZL', 'PAN', 'PER', 'POL', 'QAZ', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SRB', 'SVK', 'SVN', 'TUR', 'UKR', 'URY']"
2,['CZE']
3,['MLT']
4,['IDN']
5,['VNM']
6,['SGP']
7,['PHL']
8,"['CAN', 'GBR']"
9,"['FIN', 'SWE']"
10,['KSV']
11,['BEL']
12,['ARE']
13,['BRN']
14,['LVA']
15,['MYS']
16,['LUX']
17,['HKG']
18,['DNK']
19,['MAC']
20,['JPN']
21,['TAP']
22,['CRI']
23,['THA']
24,['ISL']
25,['QCI']
26,['JOR']
27,['NOR']
28,['ALB']
29,['DOM']
30,['PRT']
31,['USA']
32,['KOR']
33,['QAT']
