Country,Individual,Microsystem,Proximal,Uncategorized
ALB,4,6,0,0
ARE,3,7,0,0
ARG,1,9,0,0
AUS,1,8,0,1
AUT,2,8,0,0
BEL,3,6,1,0
BGR,0,10,0,0
BIH,1,9,0,0
BLR,2,8,0,0
BRA,1,9,0,0
BRN,1,9,0,0
CAN,2,8,0,0
CHE,1,9,0,0
CHL,1,9,0,0
COL,0,9,0,1
CRI,1,8,1,0
CZE,1,9,0,0
DEU,1,9,0,0
DNK,2,8,0,0
DOM,1,8,1,0
ESP,2,7,1,0
EST,2,7,0,1
FIN,4,6,0,0
FRA,1,9,0,0
GBR,2,8,0,0
GEO,1,9,0,0
GRC,2,8,0,0
HKG,2,8,0,0
HRV,2,8,0,0
HUN,0,9,0,1
IDN,4,5,0,1
IRL,3,7,0,0
ISL,3,7,0,0
ITA,1,9,0,0
JOR,2,8,0,0
JPN,3,7,0,0
KAZ,2,8,0,0
KOR,2,7,0,1
KSV,3,7,0,0
LTU,3,7,0,0
LUX,3,7,0,0
LVA,1,8,0,1
MAC,4,6,0,0
MAR,1,9,0,0
MDA,0,9,0,1
MEX,1,9,0,0
MLT,2,7,1,0
MNE,1,9,0,0
MYS,3,6,0,1
NLD,0,9,1,0
NOR,3,7,0,0
NZL,0,10,0,0
PAN,2,8,0,0
PER,0,10,0,0
PHL,4,5,1,0
POL,0,10,0,0
PRT,3,6,1,0
QAT,3,6,0,1
QAZ,1,8,0,1
QCI,1,9,0,0
QMR,2,7,1,0
QRT,1,7,1,1
ROU,1,9,0,0
RUS,1,9,0,0
SAU,1,9,0,0
SGP,5,5,0,0
SRB,1,9,0,0
SVK,0,10,0,0
SVN,1,8,1,0
SWE,3,7,0,0
TAP,2,8,0,0
THA,3,7,0,0
TUR,3,7,0,0
UKR,2,8,0,0
URY,2,8,0,0
USA,3,5,1,1
VNM,3,6,1,0
