A,B,Support_AB,Support_A,Support_B,Lift
BELONG,EMOSUPS,66,77,66,1.0
BELONG,PERCOMP,57,77,57,1.0
BELONG,ST207Q02HA,57,77,57,1.0
BELONG,ST207Q01HA,55,77,55,1.0
EMOSUPS,ST207Q02HA,52,66,57,1.064327485380117
BELONG,PERCOOP,50,77,50,1.0
BELONG,ST207Q05HA,50,77,50,1.0
EMOSUPS,PERCOMP,49,66,57,1.0029239766081872
EMOSUPS,ST207Q01HA,46,66,55,0.9757575757575757
EMOSUPS,PERCOOP,45,66,50,1.05
BELONG,ST206Q01HA,45,77,45,1.0
EMOSUPS,ST207Q05HA,44,66,50,1.0266666666666668
BELONG,ST207Q04HA,43,77,43,1.0
PERCOMP,ST207Q02HA,42,57,57,0.995383194829178
PERCOMP,ST207Q01HA,41,57,55,1.0070175438596491
EMOSUPS,ST206Q01HA,40,66,45,1.037037037037037
ST207Q01HA,ST207Q02HA,40,55,57,0.9824561403508771
PERCOMP,PERCOOP,39,57,50,1.0536842105263156
PERCOMP,ST207Q05HA,39,57,50,1.0536842105263156
PERCOOP,ST207Q02HA,39,50,57,1.0536842105263156
BELONG,DISCLIMA,39,77,39,1.0
ST206Q01HA,ST207Q02HA,37,45,57,1.1107212475633528
EMOSUPS,ST207Q04HA,37,66,43,1.003875968992248
BELONG,PV1READ,37,77,37,1.0
ST207Q02HA,ST207Q05HA,36,57,50,0.9726315789473684
ST207Q01HA,ST207Q05HA,35,55,50,0.98
PERCOMP,ST207Q04HA,34,57,43,1.0681354549163606
ST206Q01HA,ST207Q01HA,34,45,55,1.0577777777777777
PERCOOP,ST207Q05HA,34,50,50,1.0472
PERCOOP,ST207Q01HA,34,50,55,0.952
BELONG,ST207Q03HA,33,77,33,1.0
PERCOMP,ST206Q01HA,33,57,45,0.9906432748538011
ST206Q01HA,ST207Q05HA,32,45,50,1.0951111111111114
ST207Q02HA,ST207Q04HA,32,57,43,1.0053039575683396
EMOSUPS,PV1READ,31,66,37,0.9774774774774776
PERCOOP,ST207Q04HA,30,50,43,1.0744186046511628
ST207Q04HA,ST207Q05HA,30,43,50,1.0744186046511628
PERCOOP,ST206Q01HA,30,50,45,1.0266666666666668
