A,B,C,Support_ABC,Support_A,Support_B,Support_C,Lift3
BELONG,EMOSUPS,ST207Q02HA,52,77,66,57,1.064327485380117
BELONG,EMOSUPS,PERCOMP,49,77,66,57,1.0029239766081872
BELONG,EMOSUPS,ST207Q01HA,46,77,66,55,0.9757575757575757
BELONG,EMOSUPS,PERCOOP,45,77,66,50,1.05
BELONG,EMOSUPS,ST207Q05HA,44,77,66,50,1.0266666666666668
BELONG,PERCOMP,ST207Q02HA,42,77,57,57,0.995383194829178
BELONG,PERCOMP,ST207Q01HA,41,77,57,55,1.0070175438596491
BELONG,EMOSUPS,ST206Q01HA,40,77,66,45,1.037037037037037
BELONG,ST207Q01HA,ST207Q02HA,40,77,55,57,0.9824561403508771
EMOSUPS,PERCOMP,ST207Q02HA,39,66,57,57,1.0783317943982762
BELONG,PERCOMP,PERCOOP,39,77,57,50,1.0536842105263156
BELONG,PERCOMP,ST207Q05HA,39,77,57,50,1.0536842105263156
BELONG,PERCOOP,ST207Q02HA,39,77,50,57,1.0536842105263156
EMOSUPS,PERCOOP,ST207Q02HA,37,66,50,57,1.1662573099415205
BELONG,ST206Q01HA,ST207Q02HA,37,77,45,57,1.1107212475633528
BELONG,EMOSUPS,ST207Q04HA,37,77,66,43,1.003875968992248
BELONG,ST207Q02HA,ST207Q05HA,36,77,57,50,0.9726315789473684
EMOSUPS,PERCOMP,ST207Q05HA,35,66,57,50,1.1032163742690058
EMOSUPS,ST207Q01HA,ST207Q02HA,35,66,55,57,1.002923976608187
BELONG,ST207Q01HA,ST207Q05HA,35,77,55,50,0.98
EMOSUPS,ST206Q01HA,ST207Q02HA,34,66,45,57,1.1907732293697206
EMOSUPS,PERCOMP,PERCOOP,34,66,57,50,1.0716959064327485
EMOSUPS,ST207Q02HA,ST207Q05HA,34,66,57,50,1.0716959064327485
BELONG,PERCOMP,ST207Q04HA,34,77,57,43,1.0681354549163606
BELONG,ST206Q01HA,ST207Q01HA,34,77,45,55,1.0577777777777777
BELONG,PERCOOP,ST207Q05HA,34,77,50,50,1.0472
EMOSUPS,PERCOMP,ST207Q01HA,34,66,57,55,0.9742690058479532
BELONG,PERCOOP,ST207Q01HA,34,77,50,55,0.952
BELONG,PERCOMP,ST206Q01HA,33,77,57,45,0.9906432748538011
BELONG,ST206Q01HA,ST207Q05HA,32,77,45,50,1.0951111111111114
BELONG,ST207Q02HA,ST207Q04HA,32,77,57,43,1.0053039575683396
EMOSUPS,PERCOOP,ST207Q05HA,31,66,50,50,1.1139333333333334
BELONG,EMOSUPS,PV1READ,31,77,66,37,0.9774774774774776
EMOSUPS,ST206Q01HA,ST207Q01HA,30,66,45,55,1.088888888888889
BELONG,PERCOOP,ST207Q04HA,30,77,50,43,1.0744186046511628
BELONG,ST207Q04HA,ST207Q05HA,30,77,43,50,1.0744186046511628
EMOSUPS,PERCOMP,ST206Q01HA,30,66,57,45,1.050682261208577
BELONG,PERCOOP,ST206Q01HA,30,77,50,45,1.0266666666666668
