Predictor,Countries_list
ATTLNACT,"['ALB', 'BRA', 'CAN', 'EST', 'HKG', 'HUN', 'JOR', 'KOR', 'KSV', 'LUX', 'MDA', 'MYS', 'NLD', 'PER', 'QMR', 'SAU', 'TAP']"
BELONG,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BGR', 'BIH', 'BLR', 'BRA', 'BRN', 'CAN', 'CHE', 'CHL', 'COL', 'CRI', 'CZE', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IDN', 'IRL', 'ISL', 'ITA', 'JOR', 'JPN', 'KAZ', 'KOR', 'KSV', 'LTU', 'LUX', 'LVA', 'MAC', 'MAR', 'MDA', 'MEX', 'MLT', 'MNE', 'MYS', 'NLD', 'NOR', 'NZL', 'PAN', 'PER', 'POL', 'PRT', 'QAT', 'QAZ', 'QCI', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SGP', 'SRB', 'SVK', 'SVN', 'SWE', 'TAP', 'THA', 'TUR', 'UKR', 'URY', 'USA', 'VNM']"
COMPETE,"['CHL', 'KOR', 'SGP']"
DISCLIMA,"['ARE', 'AUS', 'BLR', 'CHE', 'CRI', 'CZE', 'DEU', 'DNK', 'EST', 'GBR', 'HKG', 'IDN', 'IRL', 'ISL', 'JPN', 'KOR', 'LVA', 'MAC', 'MDA', 'MEX', 'MLT', 'MYS', 'NLD', 'NOR', 'NZL', 'PHL', 'QCI', 'QRT', 'ROU', 'SGP', 'SWE', 'TAP', 'TUR', 'UKR', 'USA', 'VNM']"
EDUSHORT,"['MAC', 'VNM']"
EMOSUPS,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BGR', 'BIH', 'BLR', 'BRA', 'BRN', 'CHE', 'CHL', 'COL', 'CRI', 'CZE', 'DOM', 'ESP', 'EST', 'FRA', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IDN', 'IRL', 'ISL', 'ITA', 'JOR', 'JPN', 'KAZ', 'KOR', 'KSV', 'LTU', 'LUX', 'MAR', 'MEX', 'MLT', 'MNE', 'NOR', 'NZL', 'PAN', 'PER', 'PHL', 'POL', 'PRT', 'QAT', 'QAZ', 'QCI', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SRB', 'SVK', 'SVN', 'SWE', 'THA', 'TUR', 'UKR', 'URY']"
EUDMO,"['JPN', 'PRT', 'USA']"
GFOFAIL,"['ALB', 'HKG', 'ISL', 'JPN', 'KOR']"
GRADE,"['BEL', 'IDN', 'LUX', 'SGP', 'URY']"
MASTGOAL,"['GEO', 'JPN']"
