Predictor,Countries_with_Rank1,Countries_in_Top10,Avg_Rank,Median_Rank,Mean_Importance,Category
BELONG,33.0,76,2.8157894736842106,2.0,0.05653652896052632,Microsystem
ST004D01T,10.0,64,3.65625,3.0,0.047504853484375,Individual
PV1READ,9.0,65,4.569230769230769,4.0,0.042196320384615384,Individual
EMOSUPS,7.0,63,4.412698412698413,3.0,0.044532655190476195,Microsystem
ST207Q02HA,7.0,49,4.877551020408164,5.0,0.044311718755102036,Microsystem
ST207Q03HA,3.0,47,6.148936170212766,7.0,0.04012373863829787,Microsystem
ST207Q01HA,3.0,35,5.942857142857143,6.0,0.039620986885714284,Microsystem
PERCOMP,1.0,51,6.196078431372549,7.0,0.036350693313725486,Microsystem
ST206Q01HA,1.0,43,5.6976744186046515,6.0,0.03746766423255814,Microsystem
PERCOOP,1.0,33,6.03030303030303,7.0,0.03987506778787879,Microsystem
ST207Q05HA,1.0,30,6.1,6.0,0.035676985966666665,Microsystem
REPEAT,1.0,9,7.444444444444445,8.0,0.04068623088888888,Proximal
ST207Q04HA,,38,7.315789473684211,7.0,0.030196006052631577,Microsystem
DISCLIMA,,36,6.638888888888889,7.0,0.03083810613888889,Microsystem
PV1SCIE,,20,7.25,7.0,0.029761663900000002,Individual
ATTLNACT,,17,7.352941176470588,7.0,0.03002404217647059,Microsystem
SCREADDIFF,,16,6.8125,7.0,0.031321494312499996,Individual
PV1MATH,,12,6.25,6.0,0.031838345,Individual
SWBP,,10,6.6,6.0,0.0320237589,Microsystem
ST184Q01HA,,9,7.333333333333333,8.0,0.030636584222222225,Uncategorized
GFOFAIL,,5,6.8,7.0,0.029406466,Individual
GRADE,,5,6.8,7.0,0.031444457999999995,Individual
METASUM,,5,8.2,10.0,0.031191629999999998,Proximal
ST185Q01HA,,4,5.75,5.5,0.03239880475,Uncategorized
UNDREM,,3,6.333333333333333,6.0,0.029615147333333338,Proximal
METASPAM,,3,7.666666666666667,9.0,0.028879631333333333,Proximal
WORKMAST,,3,8.666666666666666,9.0,0.028857656333333332,Individual
EUDMO,,3,9.0,9.0,0.024916907000000002,Individual
COMPETE,,3,10.0,10.0,0.02612814066666667,Individual
EDUSHORT,,2,6.5,6.5,0.030799124,Macro
TEACHSUP,,2,7.0,7.0,0.029914345,Microsystem
PERFEED,,2,8.5,8.5,0.028540515500000002,Microsystem
MASTGOAL,,2,9.0,9.0,0.0273373315,Individual
TEACHINT,,2,9.5,9.5,0.026431345000000002,Microsystem
RATCMP2,,1,6.0,6.0,0.029942527,Macro
STIMREAD,,1,9.0,9.0,0.02380792,Microsystem
RATCMP1,,1,10.0,10.0,0.023729438,Macro
