Community_ID,Countries
1,"['ALB', 'ARE', 'ARG', 'AUT', 'BEL', 'BIH', 'BLR', 'BRA', 'CHE', 'COL', 'CZE', 'ESP', 'EST', 'GEO', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'JOR', 'KAZ', 'KSV', 'LTU', 'MEX', 'MLT', 'MNE', 'POL', 'QAZ', 'QRT', 'ROU', 'RUS', 'SAU', 'SRB', 'SVN', 'SWE', 'TUR', 'UKR']"
2,"['IDN', 'USA']"
3,['VNM']
4,['SGP']
5,['DEU']
6,['PER']
7,['PHL']
8,['FRA']
9,['CAN']
10,['FIN']
11,['BGR']
12,['MDA']
13,['AUS']
14,"['CHL', 'SVK']"
15,['BRN']
16,['LVA']
17,['MYS']
18,['LUX']
19,['HKG']
20,['DNK']
21,['MAC']
22,['JPN']
23,['PAN']
24,['QMR']
25,['GBR']
26,['NZL']
27,"['NLD', 'TAP']"
28,['CRI']
29,['THA']
30,['ISL']
31,['QCI']
32,['MAR']
33,['NOR']
34,['DOM']
35,['PRT']
36,['URY']
37,['KOR']
38,['QAT']
