Country,Individual,Macro,Microsystem,Proximal,Uncategorized
ALB,5,0,5,0,0
ARE,3,0,7,0,0
ARG,2,0,8,0,0
AUS,2,0,7,0,1
AUT,3,0,7,0,0
BEL,5,0,4,0,1
BGR,1,0,8,0,1
BIH,2,0,8,0,0
BLR,4,0,6,0,0
BRA,3,0,7,0,0
BRN,2,0,8,0,0
CAN,3,0,7,0,0
CHE,1,0,9,0,0
CHL,3,0,7,0,0
COL,2,0,7,0,1
CRI,1,0,8,1,0
CZE,3,0,7,0,0
DEU,3,0,7,0,0
DNK,2,0,7,0,1
DOM,3,0,7,0,0
ESP,3,0,7,0,0
EST,2,0,8,0,0
FIN,1,0,7,2,0
FRA,2,0,7,1,0
GBR,2,0,7,0,1
GEO,4,0,6,0,0
GRC,2,0,8,0,0
HKG,4,0,5,1,0
HRV,2,0,8,0,0
HUN,3,0,7,0,0
IDN,4,0,5,1,0
IRL,1,0,9,0,0
ISL,2,0,8,0,0
ITA,2,0,7,1,0
JOR,2,0,8,0,0
JPN,4,0,5,0,1
KAZ,3,0,7,0,0
KOR,3,0,7,0,0
KSV,3,0,7,0,0
LTU,3,0,7,0,0
LUX,3,0,7,0,0
LVA,3,0,6,0,1
MAC,4,2,4,0,0
MAR,1,0,9,0,0
MDA,1,0,8,1,0
MEX,3,0,6,1,0
MLT,2,0,8,0,0
MNE,2,0,8,0,0
MYS,3,0,6,0,1
NLD,4,0,5,1,0
NOR,2,0,8,0,0
NZL,2,0,8,0,0
PAN,1,0,9,0,0
PER,2,0,8,0,0
PHL,3,0,6,1,0
POL,2,0,6,1,1
PRT,3,0,5,1,1
QAT,3,0,6,0,1
QAZ,2,0,8,0,0
QCI,2,0,7,1,0
QMR,2,0,7,1,0
QRT,2,0,8,0,0
ROU,4,0,6,0,0
RUS,2,0,8,0,0
SAU,2,0,8,0,0
SGP,5,0,4,1,0
SRB,3,0,7,0,0
SVK,2,0,8,0,0
SVN,3,0,7,0,0
SWE,2,0,7,0,1
TAP,4,0,6,0,0
THA,3,0,6,1,0
TUR,3,0,6,1,0
UKR,2,0,8,0,0
URY,1,0,8,1,0
USA,4,0,6,0,0
VNM,1,2,6,1,0
